field_name,description,r_class,units,range_or_levels,pct_missing,n_unique,sample_values,notes
DAMAGE_AREA_ID,,character,,4980 unique values,0,4980,"19975000320, 19985000099, 19975000307",
CREATED_DATE,,"POSIXct, POSIXt",,Inf to -Inf,100,0,NA,
MODIFIED_DATE,,"POSIXct, POSIXt",,2021-03-02 10:13:54 to 2021-03-02 10:13:54,99.98,1,2021-03-02 10:13:54,
FEATURE_USER_ID,,character,,NA,100,0,NA,
OBSERVATION_USER_ID,,character,,NA,100,0,NA,
REGION_ID,,integer,,4 to 6,0,3,"5, 4, 6",
LABEL,,character,,NA,100,0,NA,
HOST_CODE,,integer,,-1 to 9999,0,13,"-1, 122, 108",
HOST,,character,,12 unique values,92.1,12,"ponderosa pine, lodgepole pine, fir spp.",
HOST_GROUP_CODE,,integer,,NA,100,0,NA,
HOST_GROUP,,character,,NA,100,0,NA,
DCA_CODE,,integer,,10000 to 90009,0,50,"90000, 23021, 11000",
DCA_COMMON_NAME,,character,,50 unique values,0,50,"unknown, red fir dwarf mistletoe, bark beetles",
DAMAGE_TYPE_CODE,,integer,,1 to 11,0,9,"2, 1, 7",
DAMAGE_TYPE,,character,,"Branch Breakage, Branch flagging, Crown Discoloration, Defoliation, Main stem Broken or Uprooted, Mortality, Mortality - Previously Undocumented, Other Damage, Topkill",0,9,"Mortality, Defoliation, Main stem Broken or Uprooted",
PERCENT_AFFECTED_CODE,,integer,,NA,100,0,NA,
PERCENT_AFFECTED,,character,,NA,100,0,NA,
PERCENT_MIN,,numeric,,NA,100,0,NA,
PERCENT_MAX,,numeric,,NA,100,0,NA,
PERCENT_MID,,numeric,,NA,100,0,NA,
NOTES,,character,,1662 unique values,3.12,1662,"L mortality-Fir 100%, L mortality-Pine 100%, 15",
OBSERVATION_COUNT,,character,,"MULTIPLE, SINGLE",0,2,"SINGLE, MULTIPLE",
COLLECTION_MODE,,character,,NA,100,0,NA,
SNAPGRID_ROW,,integer,,NA,100,0,NA,
SNAPGRID_COLUMN,,integer,,NA,100,0,NA,
AREA_TYPE,,character,,POLYGON,0,1,POLYGON,
ACRES,,numeric,,0 to 47231.1,0,1978,"20.1, 25.4, 773.5",
STATUS,,integer,,1 to 1,0,1,1,
SURVEY_YEAR,,integer,,1997 to 2007,0,11,"1997, 1998, 1999",
LEGACY_SEVERITY_CODE,,integer,,-1 to 3,0,4,"1, -1, 2",
LEGACY_SEVERITY,,character,,"High (> 50% defol.), Low (<= 50% defol.), No Data",0.02,3,"Low (<= 50% defol.), No Data, High (> 50% defol.)",
LEGACY_PATTERN_CODE,,integer,,-1 to 4,0,5,"1, -1, 3",
LEGACY_PATTERN,,character,,"Host type or species <50% - continuous damage, Host type or species <50% - scattered damage, Host type or species >50% - contiguous damage, Host type or species >50% - patchy damage, No data",0,5,"Host type or species >50% - contiguous damage, No data, Host type or species <50% - continuous damage",
LEGACY_TPA,,numeric,,-1 to 250,0,707,"-1, 15.19, 2.01",
LEGACY_NO_TREES,,integer,,-1 to 1057560,0,1063,"-1, 386, 7",
LEGACY_FOREST_TYPE_CODE,,integer,,-1 to 9999,0,41,"3010, 2100, -1",
LEGACY_FOREST_TYPE,,character,,41 unique values,0,41,"Fir, MAJOR PINE TYPE GROUP, No data",
GRP,,integer,,1 to 3,0,3,"1, 2, 3",
OBSERVATION_ID,,character,,5000 unique values,0,5000,"37365, 103152, 37352",
IDS_DATA_SOURCE,,character,,87,0,1,87,
DATA_SOURCE_NAME,,character,,IDS LEGACY FEATURES,0,1,IDS LEGACY FEATURES,
US_AREA,,character,,CONUS,0,1,CONUS,
SHAPE_Length,,numeric,,11.6934657843412 to 85526.025409689,0,4980,"1131.39232108747, 2524.21309700019, 7491.52132653207",
SHAPE_Area,,numeric,,3.26863701349645 to 191139959.726772,0,4980,"81269.1945574514, 102811.896806236, 3130125.56687506",
