column,post_2015,pre_2015
OBSERVATION_ID,1.09834508684615e-05,0
DAMAGE_AREA_ID,0,0
SURVEY_YEAR,0,0
REGION_ID,0,0
HOST_CODE,0.209473446043065,0
DCA_CODE,0,0
DAMAGE_TYPE_CODE,7.32230057897431e-07,0
ACRES,0,0
AREA_TYPE,0.0306723848952655,0
OBSERVATION_COUNT,0,0
PERCENT_AFFECTED_CODE,0.231886275885248,0.857241934114778
PERCENT_MID,0.231886275885248,0.857242898702822
LEGACY_TPA,0.652992514412118,0
LEGACY_NO_TREES,0.652992514412118,0.000588077177332438
LEGACY_SEVERITY_CODE,0.652992514412118,0
SOURCE_FILE,0,0
