"site_id","latitude","longitude","source"
"10_1_1_1",39.301594,-75.56726,"FIA"
"10_1_1_10",39.249329,-75.475148,"FIA"
"10_1_1_103",38.965654,-75.655925,"FIA"
"10_1_1_104",38.922367,-75.422871,"FIA"
"10_1_1_109",38.925093,-75.648941,"FIA"
"10_1_1_111",39.17883,-75.458426,"FIA"
"10_1_1_114",38.893463,-75.642307,"FIA"
"10_1_1_121",39.164657,-75.529941,"FIA"
"10_1_1_122",39.124594,-75.473612,"FIA"
"10_1_1_125",39.134886,-75.730622,"FIA"
"10_1_1_128",39.063074,-75.676665,"FIA"
"10_1_1_132",39.075831,-75.599644,"FIA"
"10_1_1_133",38.844594,-75.704499,"FIA"
"10_1_1_147",38.928181,-75.617906,"FIA"
"10_1_1_148",39.214477,-75.671618,"FIA"
"10_1_1_157",39.16019,-75.628582,"FIA"
"10_1_1_16",38.995643,-75.349931,"FIA"
"10_1_1_164",39.188578,-75.527808,"FIA"
"10_1_1_165",39.119883,-75.673169,"FIA"
"10_1_1_170",39.295144,-75.710644,"FIA"
"10_1_1_175",39.124083,-75.429802,"FIA"
"10_1_1_178",39.209291,-75.743012,"FIA"
"10_1_1_192",39.183161,-75.479402,"FIA"
"10_1_1_198",39.145088,-75.728358,"FIA"
"10_1_1_202",38.955339,-75.5404,"FIA"
"10_1_1_207",39.060805,-75.449338,"FIA"
"10_1_1_209",38.837927,-75.685368,"FIA"
"10_1_1_211",39.299693,-75.49173,"FIA"
"10_1_1_217",39.0984,-75.692431,"FIA"
"10_1_1_22",39.226794,-75.753772,"FIA"
"10_1_1_220",39.195105,-75.419841,"FIA"
"10_1_1_238",39.040084,-75.623223,"FIA"
"10_1_1_239",38.887605,-75.57719,"FIA"
"10_1_1_241",39.270962,-75.655451,"FIA"
"10_1_1_247",38.989391,-75.446886,"FIA"
"10_1_1_253",39.249082,-75.41873,"FIA"
"10_1_1_254",39.012079,-75.372354,"FIA"
"10_1_1_256",38.891813,-75.623805,"FIA"
"10_1_1_257",38.978282,-75.698541,"FIA"
"10_1_1_259",38.864802,-75.548909,"FIA"
"10_1_1_262",39.289903,-75.448541,"FIA"
"10_1_1_263",38.949681,-75.596624,"FIA"
"10_1_1_266",39.053353,-75.698059,"FIA"
"10_1_1_267",38.897002,-75.585964,"FIA"
"10_1_1_283",38.936061,-75.436757,"FIA"
"10_1_1_288",39.252866,-75.575433,"FIA"
"10_1_1_289",39.064528,-75.553544,"FIA"
"10_1_1_294",38.988534,-75.332513,"FIA"
"10_1_1_30",38.888566,-75.720977,"FIA"
"10_1_1_300",39.052705,-75.511764,"FIA"
"10_1_1_307",39.100975,-75.500281,"FIA"
"10_1_1_308",38.908071,-75.516171,"FIA"
"10_1_1_31",39.034964,-75.678535,"FIA"
"10_1_1_317",39.329646,-75.559803,"FIA"
"10_1_1_319",39.186968,-75.535508,"FIA"
"10_1_1_323",39.035416,-75.46372,"FIA"
"10_1_1_324",38.974421,-75.532018,"FIA"
"10_1_1_327",38.949127,-75.425741,"FIA"
"10_1_1_33",38.841559,-75.582669,"FIA"
"10_1_1_332",39.224986,-75.480468,"FIA"
"10_1_1_337",39.295414,-75.443397,"FIA"
"10_1_1_339",39.137174,-75.474275,"FIA"
"10_1_1_342",39.002469,-75.672136,"FIA"
"10_1_1_349",39.346184,-75.544842,"FIA"
"10_1_1_351",38.989343,-75.718306,"FIA"
"10_1_1_353",39.022095,-75.453258,"FIA"
"10_1_1_357",39.239878,-75.704286,"FIA"
"10_1_1_358",38.941893,-75.512534,"FIA"
"10_1_1_36",39.211384,-75.528682,"FIA"
"10_1_1_360",39.122301,-75.604258,"FIA"
"10_1_1_364",39.243633,-75.658125,"FIA"
"10_1_1_370",39.232439,-75.63755,"FIA"
"10_1_1_371",39.004985,-75.496851,"FIA"
"10_1_1_376",39.188619,-75.632715,"FIA"
"10_1_1_381",39.162751,-75.57705,"FIA"
"10_1_1_385",38.988795,-75.46696,"FIA"
"10_1_1_388",38.977259,-75.566508,"FIA"
"10_1_1_39",38.866315,-75.599191,"FIA"
"10_1_1_390",38.990066,-75.587157,"FIA"
"10_1_1_402",39.241564,-75.690028,"FIA"
"10_1_1_403",38.899157,-75.498525,"FIA"
"10_1_1_407",39.302318,-75.580484,"FIA"
"10_1_1_408",39.211897,-75.445878,"FIA"
"10_1_1_409",38.928974,-75.729941,"FIA"
"10_1_1_420",39.17859,-75.620653,"FIA"
"10_1_1_422",39.098353,-75.519429,"FIA"
"10_1_1_425",39.212448,-75.558127,"FIA"
"10_1_1_426",39.090469,-75.425557,"FIA"
"10_1_1_43",39.066193,-75.741472,"FIA"
"10_1_1_435",39.038101,-75.727664,"FIA"
"10_1_1_450",39.177842,-75.740358,"FIA"
"10_1_1_454",38.934306,-75.647164,"FIA"
"10_1_1_455",38.960328,-75.384706,"FIA"
"10_1_1_456",39.068619,-75.487071,"FIA"
"10_1_1_461",39.303522,-75.493444,"FIA"
"10_1_1_469",39.070454,-75.687504,"FIA"
"10_1_1_470",39.012443,-75.405569,"FIA"
"10_1_1_471",39.237208,-75.637599,"FIA"
"10_1_1_478",39.132561,-75.601934,"FIA"
"10_1_1_48",39.279012,-75.503335,"FIA"
"10_1_1_488",38.999907,-75.609511,"FIA"
"10_1_1_489",38.920703,-75.615087,"FIA"
