CN,PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,SUBP,CONDID,SPCD,SPGRPCD,STOCKING,TREECOUNT,TOTAGE,CREATED_DATE,MODIFIED_DATE,TREECOUNT_CALC,TPA_UNADJ,CYCLE,SUBCYCLE,DAMAGE_AGENT_CD1_SRS,PCT_AFFECTED_DAMAGE_AGENT1_SRS,DAMAGE_AGENT_CD2_SRS,PCT_AFFECTED_DAMAGE_AGENT2_SRS,DAMAGE_AGENT_CD3_SRS,PCT_AFFECTED_DAMAGE_AGENT3_SRS,AGECD_RMRS,COUNTCHKCD_RMRS,SPCD_ID_CD
13309592010497,10669232010497,1995,2,1,100,3176,1,1,263.0,13,0.0004,3,,2011-01-12 13:55:59,2011-01-12 18:27:57,3.0,241.528936,1,0,,,,,,,,,
13304389010497,10669140010497,1995,2,1,100,7193,3,1,98.0,17,0.0001,1,,2011-01-12 13:55:54,2011-01-12 18:27:53,1.0,80.509645,1,0,,,,,,,,,
13304390010497,10669140010497,1995,2,1,100,7193,3,1,263.0,13,0.0015,10,,2011-01-12 13:55:54,2011-01-12 18:27:53,10.0,805.096453,1,0,,,,,,,,,
13309687010497,10669180010497,1995,2,1,100,9005,1,1,263.0,13,0.0076,52,,2011-01-12 13:55:55,2011-01-12 18:27:54,52.0,4186.501556,1,0,,,,,,,,,
13309688010497,10669180010497,1995,2,1,100,9005,2,1,98.0,17,0.0006,4,,2011-01-12 13:55:55,2011-01-12 18:27:54,4.0,322.038581,1,0,,,,,,,,,
13309494010497,10669290010497,1995,2,1,100,29255,2,1,263.0,13,0.0013,9,,2011-01-12 13:56:06,2011-01-12 18:28:02,9.0,724.586808,1,0,,,,,,,,,
13309689010497,10669180010497,1995,2,1,100,9005,2,1,263.0,13,0.0041,28,,2011-01-12 13:55:55,2011-01-12 18:27:54,28.0,2254.270068,1,0,,,,,,,,,
13307793010497,10669289010497,1995,2,1,100,27096,1,1,263.0,13,0.0025,17,,2011-01-12 13:56:05,2011-01-12 18:28:01,17.0,1368.66397,1,0,,,,,,,,,
13307794010497,10669289010497,1995,2,1,100,27096,2,1,98.0,17,0.0001,1,,2011-01-12 13:56:05,2011-01-12 18:28:01,1.0,80.509645,1,0,,,,,,,,,
13307795010497,10669289010497,1995,2,1,100,27096,2,1,263.0,13,0.0047,32,,2011-01-12 13:56:05,2011-01-12 18:28:01,32.0,2576.30865,1,0,,,,,,,,,
13309493010497,10669290010497,1995,2,1,100,29255,1,1,263.0,13,0.0034,23,,2011-01-12 13:56:06,2011-01-12 18:28:02,23.0,1851.721842,1,0,,,,,,,,,
13309495010497,10669290010497,1995,2,1,100,29255,3,1,263.0,13,0.0001,1,,2011-01-12 13:56:06,2011-01-12 18:28:02,1.0,80.509645,1,0,,,,,,,,,
13309496010497,10669290010497,1995,2,1,100,29255,4,1,98.0,17,0.0026,18,,2011-01-12 13:56:06,2011-01-12 18:28:02,18.0,1449.173615,1,0,,,,,,,,,
13309497010497,10669290010497,1995,2,1,100,29255,4,1,263.0,13,0.0115,78,,2011-01-12 13:56:06,2011-01-12 18:28:02,78.0,6279.752333,1,0,,,,,,,,,
13309157010497,10669208010497,1995,2,1,100,29407,1,1,42.0,24,0.6064,6,,2011-01-12 13:55:57,2011-01-12 18:27:55,6.0,483.057872,1,0,,,,,,,,,
