CN,PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,SUBP,CONDID,SPCD,SPGRPCD,STOCKING,TREECOUNT,TOTAGE,CREATED_DATE,MODIFIED_DATE,TREECOUNT_CALC,TPA_UNADJ,CYCLE,SUBCYCLE,DAMAGE_AGENT_CD1_SRS,PCT_AFFECTED_DAMAGE_AGENT1_SRS,DAMAGE_AGENT_CD2_SRS,PCT_AFFECTED_DAMAGE_AGENT2_SRS,DAMAGE_AGENT_CD3_SRS,PCT_AFFECTED_DAMAGE_AGENT3_SRS,AGECD_RMRS,COUNTCHKCD_RMRS,SPCD_ID_CD
3520621010690,3520583010690,1985,4,1,3,7,1,1,134.0,23,0.0,,,2004-05-28 00:00:00,,1.0,,1,0,,,,,,,,,
3520622010690,3520583010690,1985,4,1,3,7,1,1,843.0,48,0.0,,,2004-05-28 00:00:00,,2.0,,1,0,,,,,,,,,
3520623010690,3520583010690,1985,4,1,3,7,2,1,134.0,23,0.0,,,2004-05-28 00:00:00,,4.0,,1,0,,,,,,,,,
3520676010690,3520660010690,1985,4,1,3,33,1,1,134.0,23,0.0,,,2004-05-28 00:00:00,,3.0,,1,0,,,,,,,,,
3520677010690,3520660010690,1985,4,1,3,33,2,1,134.0,23,0.0,,,2004-05-28 00:00:00,,1.0,,1,0,,,,,,,,,
3520678010690,3520660010690,1985,4,1,3,33,3,1,134.0,23,0.0,,,2004-05-28 00:00:00,,4.0,,1,0,,,,,,,,,
3520679010690,3520660010690,1985,4,1,3,33,4,1,134.0,23,0.0,,,2004-05-28 00:00:00,,6.0,,1,0,,,,,,,,,
3520897010690,3520880010690,1985,4,1,3,157,4,1,755.0,48,0.0,,,2004-05-28 00:00:00,,1.0,,1,0,,,,,,,,,
3520953010690,3520940010690,1985,4,1,3,188,2,1,460.0,47,0.0,,,2004-05-28 00:00:00,2011-11-23 12:45:08,1.0,,1,0,,,,,,,,,
3520989010690,3520972010690,1985,4,1,3,203,1,1,106.0,23,0.0,,,2004-05-28 00:00:00,,1.0,,1,0,,,,,,,,,
3521042010690,3521024010690,1985,4,1,3,213,2,1,300.0,48,0.0,,,2004-05-28 00:00:00,,1.0,,1,0,,,,,,,,,
3521043010690,3521024010690,1985,4,1,3,213,4,1,300.0,48,0.0,,,2004-05-28 00:00:00,,1.0,,1,0,,,,,,,,,
3521095010690,3521076010690,1985,4,1,3,236,1,1,300.0,48,0.0,,,2004-05-28 00:00:00,,2.0,,1,0,,,,,,,,,
3521096010690,3521076010690,1985,4,1,3,236,1,1,755.0,48,0.0,,,2004-05-28 00:00:00,,1.0,,1,0,,,,,,,,,
3521097010690,3521076010690,1985,4,1,3,236,2,1,755.0,48,0.0,,,2004-05-28 00:00:00,,2.0,,1,0,,,,,,,,,
3521098010690,3521076010690,1985,4,1,3,236,3,1,755.0,48,0.0,,,2004-05-28 00:00:00,,2.0,,1,0,,,,,,,,,
3521099010690,3521076010690,1985,4,1,3,236,4,1,300.0,48,0.0,,,2004-05-28 00:00:00,,1.0,,1,0,,,,,,,,,
3521141010690,3521130010690,1985,4,1,3,243,1,1,134.0,23,0.0,,,2004-05-28 00:00:00,,4.0,,1,0,,,,,,,,,
3521169010690,3521160010690,1985,4,1,3,257,1,1,106.0,23,0.0,,,2004-05-28 00:00:00,,2.0,,1,0,,,,,,,,,
3521257010690,3521210010690,1985,4,1,3,282,5,1,112.0,24,0.0,,,2004-05-28 00:00:00,,1.0,,1,0,,,,,,,,,
3521170010690,3521160010690,1985,4,1,3,257,1,1,847.0,48,0.0,,,2004-05-28 00:00:00,2009-08-14 10:38:32,1.0,,1,0,,,,,,,,,
3521255010690,3521210010690,1985,4,1,3,282,1,1,112.0,24,0.0,,,2004-05-28 00:00:00,,2.0,,1,0,,,,,,,,,
3521256010690,3521210010690,1985,4,1,3,282,4,1,843.0,48,0.0,,,2004-05-28 00:00:00,,3.0,,1,0,,,,,,,,,
3521282010690,3521258010690,1985,4,1,3,283,2,1,134.0,23,0.0,,,2004-05-28 00:00:00,,1.0,,1,0,,,,,,,,,
3521283010690,3521258010690,1985,4,1,3,283,3,1,134.0,23,0.0,,,2004-05-28 00:00:00,,6.0,,1,0,,,,,,,,,
3521284010690,3521258010690,1985,4,1,3,283,4,1,800.0,48,0.0,,,2004-05-28 00:00:00,,3.0,,1,0,,,,,,,,,
3521350010690,3521320010690,1985,4,1,3,295,1,1,134.0,23,0.0,,,2004-05-28 00:00:00,,3.0,,1,0,,,,,,,,,
3521351010690,3521320010690,1985,4,1,3,295,2,1,134.0,23,0.0,,,2004-05-28 00:00:00,,1.0,,1,0,,,,,,,,,
3521352010690,3521320010690,1985,4,1,3,295,4,1,134.0,23,0.0,,,2004-05-28 00:00:00,,1.0,,1,0,,,,,,,,,
3521370010690,3521353010690,1985,4,1,3,296,3,1,810.0,48,0.0,,,2004-05-28 00:00:00,,1.0,,1,0,,,,,,,,,
3521402010690,3521383010690,1985,4,1,3,306,3,1,803.0,48,0.0,,,2004-05-28 00:00:00,,1.0,,1,0,,,,,,,,,
3521403010690,3521383010690,1985,4,1,3,306,4,1,134.0,23,0.0,,,2004-05-28 00:00:00,,1.0,,1,0,,,,,,,,,
3521433010690,3521418010690,1985,4,1,3,310,4,1,847.0,48,0.0,,,2004-05-28 00:00:00,2009-08-14 10:38:32,3.0,,1,0,,,,,,,,,
3521462010690,3521437010690,1985,4,1,3,313,1,1,134.0,23,0.0,,,2004-05-28 00:00:00,,2.0,,1,0,,,,,,,,,
3521463010690,3521437010690,1985,4,1,3,313,3,1,829.0,48,0.0,,,2004-05-28 00:00:00,,5.0,,1,0,,,,,,,,,
3521474010690,3521464010690,1985,4,1,3,314,2,1,810.0,48,0.0,,,2004-05-28 00:00:00,,1.0,,1,0,,,,,,,,,
3521475010690,3521464010690,1985,4,1,3,314,3,1,810.0,48,0.0,,,2004-05-28 00:00:00,,2.0,,1,0,,,,,,,,,
3521552010690,3521498010690,1985,4,1,3,322,1,1,134.0,23,0.0,,,2004-05-28 00:00:00,,2.0,,1,0,,,,,,,,,
3521553010690,3521498010690,1985,4,1,3,322,2,1,134.0,23,0.0,,,2004-05-28 00:00:00,,1.0,,1,0,,,,,,,,,
3521554010690,3521498010690,1985,4,1,3,322,2,1,847.0,48,0.0,,,2004-05-28 00:00:00,2009-08-14 10:38:32,1.0,,1,0,,,,,,,,,
3521555010690,3521498010690,1985,4,1,3,322,3,1,134.0,23,0.0,,,2004-05-28 00:00:00,,4.0,,1,0,,,,,,,,,
3521556010690,3521498010690,1985,4,1,3,322,3,1,847.0,48,0.0,,,2004-05-28 00:00:00,2009-08-14 10:38:32,1.0,,1,0,,,,,,,,,
3521676010690,3521655010690,1985,4,1,3,384,3,1,134.0,23,0.0,,,2004-05-28 00:00:00,,2.0,,1,0,,,,,,,,,
3521677010690,3521655010690,1985,4,1,3,384,3,1,810.0,48,0.0,,,2004-05-28 00:00:00,,1.0,,1,0,,,,,,,,,
3521690010690,3521681010690,1985,4,1,3,386,1,1,63.0,23,0.0,,,2004-05-28 00:00:00,,1.0,,1,0,,,,,,,,,
3521691010690,3521681010690,1985,4,1,3,386,2,1,134.0,23,0.0,,,2004-05-28 00:00:00,,1.0,,1,0,,,,,,,,,
3521712010690,3521692010690,1985,4,1,3,387,2,1,847.0,48,0.0,,,2004-05-28 00:00:00,2009-08-14 10:38:32,6.0,,1,0,,,,,,,,,
3521713010690,3521692010690,1985,4,1,3,387,3,1,847.0,48,0.0,,,2004-05-28 00:00:00,2009-08-14 10:38:32,6.0,,1,0,,,,,,,,,
3521714010690,3521692010690,1985,4,1,3,387,4,1,847.0,48,0.0,,,2004-05-28 00:00:00,2009-08-14 10:38:32,6.0,,1,0,,,,,,,,,
3521744010690,3521715010690,1985,4,1,3,388,2,1,134.0,23,0.0,,,2004-05-28 00:00:00,,1.0,,1,0,,,,,,,,,
3521745010690,3521715010690,1985,4,1,3,388,2,1,810.0,48,0.0,,,2004-05-28 00:00:00,,1.0,,1,0,,,,,,,,,
3521758010690,3521746010690,1985,4,1,3,389,2,1,134.0,23,0.0,,,2004-05-28 00:00:00,,1.0,,1,0,,,,,,,,,
3521974010690,3521955010690,1985,4,1,3,463,1,1,810.0,48,0.0,,,2004-05-28 00:00:00,,3.0,,1,0,,,,,,,,,
3522123010690,3522117010690,1985,4,1,3,524,1,1,134.0,23,0.0,,,2004-05-28 00:00:00,,1.0,,1,0,,,,,,,,,
3522188010690,3522166010690,1985,4,1,3,550,2,1,829.0,48,0.0,,,2004-05-28 00:00:00,,2.0,,1,0,,,,,,,,,
3522281010690,3522234010690,1985,4,1,3,553,2,1,118.0,24,0.0,,,2004-05-28 00:00:00,,1.0,,1,0,,,,,,,,,
3522282010690,3522234010690,1985,4,1,3,553,3,1,847.0,48,0.0,,,2004-05-28 00:00:00,2009-08-14 10:38:32,2.0,,1,0,,,,,,,,,
3522283010690,3522234010690,1985,4,1,3,553,4,1,134.0,23,0.0,,,2004-05-28 00:00:00,,2.0,,1,0,,,,,,,,,
3522322010690,3522293010690,1985,4,1,3,560,2,1,134.0,23,0.0,,,2004-05-28 00:00:00,,2.0,,1,0,,,,,,,,,
3522323010690,3522293010690,1985,4,1,3,560,4,1,134.0,23,0.0,,,2004-05-28 00:00:00,,3.0,,1,0,,,,,,,,,
3522373010690,3522351010690,1985,4,1,3,578,4,1,63.0,23,0.0,,,2004-05-28 00:00:00,,1.0,,1,0,,,,,,,,,
3522397010690,3522374010690,1985,4,1,3,581,4,1,847.0,48,0.0,,,2004-05-28 00:00:00,2009-08-14 10:38:32,1.0,,1,0,,,,,,,,,
3522498010690,3522457010690,1985,4,1,3,608,2,1,847.0,48,0.0,,,2004-05-28 00:00:00,2009-08-14 10:38:32,5.0,,1,0,,,,,,,,,
3522499010690,3522457010690,1985,4,1,3,608,4,1,847.0,48,0.0,,,2004-05-28 00:00:00,2009-08-14 10:38:32,6.0,,1,0,,,,,,,,,
3540802010690,3540780010690,1985,4,1,9,1,1,1,814.0,48,0.0,,,2004-05-28 00:00:00,,6.0,,1,0,,,,,,,,,
3540829010690,3540803010690,1985,4,1,9,2,1,1,65.0,23,0.0,,,2004-05-28 00:00:00,,6.0,,1,0,,,,,,,,,
3540830010690,3540803010690,1985,4,1,9,2,1,1,122.0,11,0.0,,,2004-05-28 00:00:00,,4.0,,1,0,,,,,,,,,
3540831010690,3540803010690,1985,4,1,9,2,1,1,803.0,48,0.0,,,2004-05-28 00:00:00,,4.0,,1,0,,,,,,,,,
3540872010690,3540832010690,1985,4,1,9,3,1,1,803.0,48,0.0,,,2004-05-28 00:00:00,,6.0,,1,0,,,,,,,,,
3540898010690,3540873010690,1985,4,1,9,4,1,1,63.0,23,0.0,,,2004-05-28 00:00:00,,6.0,,1,0,,,,,,,,,
3540899010690,3540873010690,1985,4,1,9,4,1,1,122.0,11,0.0,,,2004-05-28 00:00:00,,6.0,,1,0,,,,,,,,,
3540900010690,3540873010690,1985,4,1,9,4,1,1,803.0,48,0.0,,,2004-05-28 00:00:00,,6.0,,1,0,,,,,,,,,
3540970010690,3540902010690,1985,4,1,9,5,1,1,803.0,48,0.0,,,2004-05-28 00:00:00,,6.0,,1,0,,,,,,,,,
3540901010690,3540873010690,1985,4,1,9,4,1,1,814.0,48,0.0,,,2004-05-28 00:00:00,,3.0,,1,0,,,,,,,,,
3540968010690,3540902010690,1985,4,1,9,5,1,1,63.0,23,0.0,,,2004-05-28 00:00:00,,5.0,,1,0,,,,,,,,,
3540969010690,3540902010690,1985,4,1,9,5,1,1,122.0,11,0.0,,,2004-05-28 00:00:00,,6.0,,1,0,,,,,,,,,
3540971010690,3540902010690,1985,4,1,9,5,1,1,814.0,48,0.0,,,2004-05-28 00:00:00,,6.0,,1,0,,,,,,,,,
3541009010690,3540972010690,1985,4,1,9,6,1,1,63.0,23,0.0,,,2004-05-28 00:00:00,,2.0,,1,0,,,,,,,,,
3541010010690,3540972010690,1985,4,1,9,6,1,1,106.0,23,0.0,,,2004-05-28 00:00:00,,6.0,,1,0,,,,,,,,,
3541029010690,3541011010690,1985,4,1,9,7,1,1,63.0,23,0.0,,,2004-05-28 00:00:00,,6.0,,1,0,,,,,,,,,
3541030010690,3541011010690,1985,4,1,9,7,1,1,106.0,23,0.0,,,2004-05-28 00:00:00,,6.0,,1,0,,,,,,,,,
3541031010690,3541011010690,1985,4,1,9,7,1,1,803.0,48,0.0,,,2004-05-28 00:00:00,,6.0,,1,0,,,,,,,,,
3541047010690,3541032010690,1985,4,1,9,8,1,1,106.0,23,0.0,,,2004-05-28 00:00:00,,5.0,,1,0,,,,,,,,,
3541062010690,3541048010690,1985,4,1,9,9,1,1,63.0,23,0.0,,,2004-05-28 00:00:00,,6.0,,1,0,,,,,,,,,
3541066010690,3541063010690,1985,4,1,9,10,1,1,63.0,23,0.0,,,2004-05-28 00:00:00,,2.0,,1,0,,,,,,,,,
3541079010690,3541067010690,1985,4,1,9,11,1,1,63.0,23,0.0,,,2004-05-28 00:00:00,,6.0,,1,0,,,,,,,,,
3541080010690,3541067010690,1985,4,1,9,11,1,1,106.0,23,0.0,,,2004-05-28 00:00:00,,2.0,,1,0,,,,,,,,,
3541081010690,3541067010690,1985,4,1,9,11,1,1,122.0,11,0.0,,,2004-05-28 00:00:00,,1.0,,1,0,,,,,,,,,
3541082010690,3541067010690,1985,4,1,9,11,1,1,803.0,48,0.0,,,2004-05-28 00:00:00,,6.0,,1,0,,,,,,,,,
3541109010690,3541083010690,1985,4,1,9,12,1,1,63.0,23,0.0,,,2004-05-28 00:00:00,,6.0,,1,0,,,,,,,,,
3541110010690,3541083010690,1985,4,1,9,12,1,1,122.0,11,0.0,,,2004-05-28 00:00:00,,6.0,,1,0,,,,,,,,,
3541111010690,3541083010690,1985,4,1,9,12,1,1,803.0,48,0.0,,,2004-05-28 00:00:00,,6.0,,1,0,,,,,,,,,
3541112010690,3541083010690,1985,4,1,9,12,1,1,810.0,48,0.0,,,2004-05-28 00:00:00,,1.0,,1,0,,,,,,,,,
3541163010690,3541113010690,1985,4,1,9,13,1,1,63.0,23,0.0,,,2004-05-28 00:00:00,,3.0,,1,0,,,,,,,,,
3541164010690,3541113010690,1985,4,1,9,13,1,1,106.0,23,0.0,,,2004-05-28 00:00:00,,6.0,,1,0,,,,,,,,,
3541165010690,3541113010690,1985,4,1,9,13,1,1,803.0,48,0.0,,,2004-05-28 00:00:00,,6.0,,1,0,,,,,,,,,
3541195010690,3541166010690,1985,4,1,9,14,1,1,63.0,23,0.0,,,2004-05-28 00:00:00,,1.0,,1,0,,,,,,,,,
3541196010690,3541166010690,1985,4,1,9,14,1,1,122.0,11,0.0,,,2004-05-28 00:00:00,,6.0,,1,0,,,,,,,,,
3541197010690,3541166010690,1985,4,1,9,14,1,1,803.0,48,0.0,,,2004-05-28 00:00:00,,6.0,,1,0,,,,,,,,,
3541239010690,3541198010690,1985,4,1,9,15,1,1,63.0,23,0.0,,,2004-05-28 00:00:00,,2.0,,1,0,,,,,,,,,
3541240010690,3541198010690,1985,4,1,9,15,1,1,106.0,23,0.0,,,2004-05-28 00:00:00,,6.0,,1,0,,,,,,,,,
3541241010690,3541198010690,1985,4,1,9,15,1,1,122.0,11,0.0,,,2004-05-28 00:00:00,,4.0,,1,0,,,,,,,,,
3541242010690,3541198010690,1985,4,1,9,15,1,1,803.0,48,0.0,,,2004-05-28 00:00:00,,6.0,,1,0,,,,,,,,,
3541256010690,3541243010690,1985,4,1,9,16,1,1,803.0,48,0.0,,,2004-05-28 00:00:00,,6.0,,1,0,,,,,,,,,
