CN,PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,SUBP,CONDID,SPCD,SPGRPCD,STOCKING,TREECOUNT,TOTAGE,CREATED_DATE,MODIFIED_DATE,TREECOUNT_CALC,TPA_UNADJ,CYCLE,SUBCYCLE,DAMAGE_AGENT_CD1_SRS,PCT_AFFECTED_DAMAGE_AGENT1_SRS,DAMAGE_AGENT_CD2_SRS,PCT_AFFECTED_DAMAGE_AGENT2_SRS,DAMAGE_AGENT_CD3_SRS,PCT_AFFECTED_DAMAGE_AGENT3_SRS,AGECD_RMRS,COUNTCHKCD_RMRS,SPCD_ID_CD
3592312010690,3592267010690,1984,8,1,35,26,1,1,814.0,48,0.0,,,2004-06-04 00:00:00,,6.0,,1,0,,,,,,,,,
3592386010690,3592373010690,1984,8,1,35,38,1,1,814.0,48,0.0,,,2004-06-04 00:00:00,,6.0,,1,0,,,,,,,,,
3592494010690,3592455010690,1984,8,1,35,47,1,1,814.0,48,0.0,,,2004-06-04 00:00:00,,6.0,,1,0,,,,,,,,,
3592597010690,3592575010690,1984,8,1,35,66,1,1,814.0,48,0.0,,,2004-06-04 00:00:00,,1.0,,1,0,,,,,,,,,
3593912010690,3593877010690,1984,8,1,41,21,1,1,814.0,48,0.0,,,2004-06-04 00:00:00,,6.0,,1,0,,,,,,,,,
3594006010690,3593975010690,1984,8,1,41,37,1,1,814.0,48,0.0,,,2004-06-04 00:00:00,,6.0,,1,0,,,,,,,,,
3594235010690,3594196010690,1984,8,1,41,71,1,1,814.0,48,0.0,,,2004-06-04 00:00:00,,6.0,,1,0,,,,,,,,,
3594324010690,3594290010690,1984,8,1,41,88,1,1,69.0,23,0.0,,,2004-06-04 00:00:00,,2.0,,1,0,,,,,,,,,
3594325010690,3594290010690,1984,8,1,41,88,1,1,106.0,23,0.0,,,2004-06-04 00:00:00,,3.0,,1,0,,,,,,,,,
3594326010690,3594290010690,1984,8,1,41,88,1,1,814.0,48,0.0,,,2004-06-04 00:00:00,,6.0,,1,0,,,,,,,,,
3594566010690,3594528010690,1984,8,1,41,140,1,1,814.0,48,0.0,,,2004-06-04 00:00:00,,6.0,,1,0,,,,,,,,,
3594707010690,3594686010690,1984,8,1,41,169,4,1,814.0,48,0.0,,,2004-06-04 00:00:00,,6.0,,1,0,,,,,,,,,
3594773010690,3594753010690,1984,8,1,41,185,1,1,65.0,23,0.0,,,2004-06-04 00:00:00,,1.0,,1,0,,,,,,,,,
3594774010690,3594753010690,1984,8,1,41,185,1,1,106.0,23,0.0,,,2004-06-04 00:00:00,,6.0,,1,0,,,,,,,,,
3594775010690,3594753010690,1984,8,1,41,185,1,1,122.0,11,0.0,,,2004-06-04 00:00:00,,1.0,,1,0,,,,,,,,,
3594776010690,3594753010690,1984,8,1,41,185,1,1,814.0,48,0.0,,,2004-06-04 00:00:00,,6.0,,1,0,,,,,,,,,
