CN,SRV_CN,CTY_CN,PREV_PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,PLOT_STATUS_CD,PLOT_NONSAMPLE_REASN_CD,MEASYEAR,MEASMON,MEASDAY,REMPER,KINDCD,DESIGNCD,RDDISTCD,WATERCD,LAT,LON,ELEV,GROW_TYP_CD,MORT_TYP_CD,P2PANEL,P3PANEL,MANUAL,KINDCD_NC,QA_STATUS,CREATED_DATE,MODIFIED_DATE,MICROPLOT_LOC,DECLINATION,SAMP_METHOD_CD,SUBP_EXAMINE_CD,MACRO_BREAKPOINT_DIA,INTENSITY,CYCLE,SUBCYCLE,TOPO_POSITION_PNW,NF_SAMPLING_STATUS_CD,NF_PLOT_STATUS_CD,NF_PLOT_NONSAMPLE_REASN_CD,P2VEG_SAMPLING_STATUS_CD,P2VEG_SAMPLING_LEVEL_DETAIL_CD,INVASIVE_SAMPLING_STATUS_CD,INVASIVE_SPECIMEN_RULE_CD,DESIGNCD_P2A,MANUAL_DB,SUBPANEL,FUTFORCD_RMRS,MANUAL_NCRS,MANUAL_NERS,MANUAL_RMRS,PAC_ISLAND_PNWRS,PLOT_SEASON_NERS,PREV_MICROPLOT_LOC_RMRS,PREV_PLOT_STATUS_CD_RMRS,REUSECD1,REUSECD2,REUSECD3,GRND_LYR_SAMPLING_STATUS_CD,GRND_LYR_SAMPLING_METHOD_CD
9165666010661,9165665010661,1320296010538,,1985,9,1,1,5,1,,1984,5,0,12.0,0,101,,,41.36121,-73.24956,,2,2,,,0.0,,,2003-09-26 00:00:00,2024-11-05 14:00:44,,,1,4,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,
9165676010661,9165665010661,1320296010538,,1985,9,1,1,6,1,,1984,4,0,12.0,0,101,,,41.2501,-73.13844,,2,2,,,0.0,,,2003-09-26 00:00:00,2024-11-05 14:00:44,,,1,4,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,
9165697010661,9165665010661,1320296010538,,1985,9,1,1,7,2,,1984,5,0,12.0,0,101,,,41.30565,-73.16622,,2,2,,,0.0,,,2003-09-26 00:00:00,2024-11-05 14:00:44,,,1,4,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,
9165699010661,9165665010661,1320296010538,,1985,9,1,1,10,1,,1984,6,0,13.0,0,101,,,41.47232,-73.41623,,2,2,,,0.0,,,2003-09-26 00:00:00,2024-11-05 14:00:44,,,1,4,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,
9165750010661,9165665010661,1320296010538,,1985,9,1,1,11,2,,1984,5,0,12.0,0,101,,,41.05565,-73.66624,,2,2,,,0.0,,,2003-09-26 00:00:00,2024-11-05 14:00:44,,,1,4,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,
9165752010661,9165665010661,1320296010538,,1985,9,1,1,13,2,,1984,5,0,12.0,0,101,,,41.36121,-73.22178,,2,2,,,0.0,,,2003-09-26 00:00:00,2024-11-05 14:00:44,,,1,4,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,
9165760010661,9165665010661,1320296010538,,1985,9,1,1,15,1,,1984,5,0,12.0,0,101,,,41.36121,-73.16622,,2,2,,,0.0,,,2003-09-26 00:00:00,2024-11-05 14:00:44,,,1,4,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,
9165779010661,9165665010661,1320296010538,,1985,9,1,1,16,2,,1984,5,0,12.0,0,101,,,41.36121,-73.30512,,2,2,,,0.0,,,2003-09-26 00:00:00,2024-11-05 14:00:44,,,1,4,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,
9165781010661,9165665010661,1320296010538,,1985,9,1,1,18,1,,1984,5,0,12.0,0,101,,,41.16676,-73.30512,,2,2,,,0.0,,,2003-09-26 00:00:00,2024-11-05 14:00:44,,,1,4,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,
9165801010661,9165665010661,1320296010538,,1985,9,1,1,20,1,,1984,5,0,12.0,0,101,,,41.2501,-73.36067,,2,2,,,0.0,,,2003-09-26 00:00:00,2024-11-05 14:00:44,,,1,4,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,
