CN,PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,SUBP,CONDID,SPCD,SPGRPCD,STOCKING,TREECOUNT,TOTAGE,CREATED_DATE,MODIFIED_DATE,TREECOUNT_CALC,TPA_UNADJ,CYCLE,SUBCYCLE,DAMAGE_AGENT_CD1_SRS,PCT_AFFECTED_DAMAGE_AGENT1_SRS,DAMAGE_AGENT_CD2_SRS,PCT_AFFECTED_DAMAGE_AGENT2_SRS,DAMAGE_AGENT_CD3_SRS,PCT_AFFECTED_DAMAGE_AGENT3_SRS,AGECD_RMRS,COUNTCHKCD_RMRS,SPCD_ID_CD
55915050010538,55915032010538,2003,9,1,1,112,1,1,531.0,33,0.0002,,,2005-09-08 07:31:41,2025-03-31 10:49:50,1.0,74.965282,5,1,,,,,,,,,
55915048010538,55915032010538,2003,9,1,1,112,1,1,762.0,41,0.0053,,,2005-09-08 07:31:41,2025-03-31 10:49:50,2.0,149.930565,5,1,,,,,,,,,
55915052010538,55915032010538,2003,9,1,1,112,2,1,531.0,33,0.0001,,,2005-09-08 07:31:41,2025-03-31 10:49:50,1.0,74.965282,5,1,,,,,,,,,
55915054010538,55915032010538,2003,9,1,1,112,3,1,762.0,41,0.0049,,,2005-09-08 07:31:41,2025-03-31 10:49:50,2.0,149.930565,5,1,,,,,,,,,
55915056010538,55915032010538,2003,9,1,1,112,4,1,531.0,33,0.0006,,,2005-09-08 07:31:41,2025-03-31 10:49:50,4.0,299.86113,5,1,,,,,,,,,
55914771010538,55914751010538,2003,9,1,1,373,1,1,316.0,32,0.0007,,,2005-09-08 07:31:39,2025-03-31 10:49:50,1.0,74.965282,5,1,,,,,,,,,
55914773010538,55914751010538,2003,9,1,1,373,1,1,391.0,43,0.0007,,,2005-09-08 07:31:39,2025-03-31 10:49:50,1.0,74.965282,5,1,,,,,,,,,
55914769010538,55914751010538,2003,9,1,1,373,1,1,541.0,36,0.0098,,,2005-09-08 07:31:39,2025-03-31 10:49:50,3.0,224.895847,5,1,,,,,,,,,
55914775010538,55914751010538,2003,9,1,1,373,2,1,316.0,32,0.0007,,,2005-09-08 07:31:39,2025-03-31 10:49:50,1.0,74.965282,5,1,,,,,,,,,
55914777010538,55914751010538,2003,9,1,1,373,4,1,391.0,43,0.0013,,,2005-09-08 07:31:39,2025-03-31 10:49:50,2.0,149.930565,5,1,,,,,,,,,
55915170010538,55915154010538,2003,9,1,3,97,1,1,544.0,36,0.0001,,,2005-09-08 07:31:42,2025-03-31 10:49:50,1.0,74.965282,5,1,,,,,,,,,
55915174010538,55915154010538,2003,9,1,3,97,2,1,544.0,36,0.0001,,,2005-09-08 07:31:42,2025-03-31 10:49:50,1.0,74.965282,5,1,,,,,,,,,
55915172010538,55915154010538,2003,9,1,3,97,2,1,762.0,41,0.0024,,,2005-09-08 07:31:42,2025-03-31 10:49:50,1.0,74.965282,5,1,,,,,,,,,
55915295010538,55915277010538,2003,9,1,3,165,1,1,316.0,32,0.0001,,,2005-09-08 07:31:43,2025-03-31 10:49:50,1.0,74.965282,5,1,,,,,,,,,
55915293010538,55915277010538,2003,9,1,3,165,1,1,762.0,41,0.0001,,,2005-09-08 07:31:43,2025-03-31 10:49:50,6.0,449.791695,5,1,,,,,,,,,
55915299010538,55915277010538,2003,9,1,3,165,2,1,318.0,31,0.0001,,,2005-09-08 07:31:43,2025-03-31 10:49:50,1.0,74.965282,5,1,,,,,,,,,
55915297010538,55915277010538,2003,9,1,3,165,2,1,762.0,41,0.0098,,,2005-09-08 07:31:43,2025-03-31 10:49:50,4.0,299.86113,5,1,,,,,,,,,
55915307010538,55915277010538,2003,9,1,3,165,3,1,318.0,31,0.0003,,,2005-09-08 07:31:43,2025-03-31 10:49:50,2.0,149.930565,5,1,,,,,,,,,
55915309010538,55915277010538,2003,9,1,3,165,3,1,403.0,29,0.0004,,,2005-09-08 07:31:43,2025-03-31 10:49:50,1.0,74.965282,5,1,,,,,,,,,
55915301010538,55915277010538,2003,9,1,3,165,3,1,541.0,36,0.0147,,,2005-09-08 07:31:43,2025-03-31 10:49:50,6.0,449.791695,5,1,,,,,,,,,
55915303010538,55915277010538,2003,9,1,3,165,3,1,762.0,41,0.0147,,,2005-09-08 07:31:43,2025-03-31 10:49:50,6.0,449.791695,5,1,,,,,,,,,
55915305010538,55915277010538,2003,9,1,3,165,3,1,802.0,25,0.0008,,,2005-09-08 07:31:43,2025-03-31 10:49:50,2.0,149.930565,5,1,,,,,,,,,
55915311010538,55915277010538,2003,9,1,3,165,4,1,762.0,41,0.0147,,,2005-09-08 07:31:43,2025-03-31 10:49:50,6.0,449.791695,5,1,,,,,,,,,
55915313010538,55915277010538,2003,9,1,3,165,4,1,972.0,41,0.0001,,,2005-09-08 07:31:43,2025-03-31 10:49:50,1.0,74.965282,5,1,,,,,,,,,
55915453010538,55915431010538,2003,9,1,3,198,3,4,833.0,26,0.0001,,,2005-09-08 07:31:44,2025-03-31 10:49:50,1.0,74.965282,5,1,,,,,,,,,
55915486010538,55915470010538,2003,9,1,3,230,2,1,316.0,32,0.001,,,2005-09-08 07:31:45,2025-03-31 10:49:50,2.0,149.930565,5,1,,,,,,,,,
55915488010538,55915470010538,2003,9,1,3,230,2,1,531.0,33,0.0001,,,2005-09-08 07:31:45,2025-03-31 10:49:50,1.0,74.965282,5,1,,,,,,,,,
55915490010538,55915470010538,2003,9,1,3,230,2,1,762.0,41,0.0024,,,2005-09-08 07:31:45,2025-03-31 10:49:50,1.0,74.965282,5,1,,,,,,,,,
55915492010538,55915470010538,2003,9,1,3,230,4,1,531.0,33,0.0001,,,2005-09-08 07:31:45,2025-03-31 10:49:50,6.0,449.791695,5,1,,,,,,,,,
55915814010538,55915798010538,2003,9,1,3,365,1,1,531.0,33,0.0001,,,2005-09-08 07:31:47,2025-03-31 10:49:50,1.0,74.965282,5,1,,,,,,,,,
55915816010538,55915798010538,2003,9,1,3,365,1,1,762.0,41,0.0049,,,2005-09-08 07:31:47,2025-03-31 10:49:50,2.0,149.930565,5,1,,,,,,,,,
55915818010538,55915798010538,2003,9,1,3,365,2,1,318.0,31,0.0001,,,2005-09-08 07:31:47,2025-03-31 10:49:50,4.0,299.86113,5,1,,,,,,,,,
55915822010538,55915798010538,2003,9,1,3,365,3,1,318.0,31,0.0006,,,2005-09-08 07:31:47,2025-03-31 10:49:50,4.0,299.86113,5,1,,,,,,,,,
55915824010538,55915798010538,2003,9,1,3,365,3,1,403.0,29,0.0004,,,2005-09-08 07:31:47,2025-03-31 10:49:50,1.0,74.965282,5,1,,,,,,,,,
55915820010538,55915798010538,2003,9,1,3,365,3,1,541.0,36,0.0122,,,2005-09-08 07:31:47,2025-03-31 10:49:50,5.0,374.826412,5,1,,,,,,,,,
55915826010538,55915798010538,2003,9,1,3,365,4,1,318.0,31,0.0009,,,2005-09-08 07:31:47,2025-03-31 10:49:50,6.0,449.791695,5,1,,,,,,,,,
55915828010538,55915798010538,2003,9,1,3,365,4,1,531.0,33,0.0001,,,2005-09-08 07:31:47,2025-03-31 10:49:50,1.0,74.965282,5,1,,,,,,,,,
55915830010538,55915798010538,2003,9,1,3,365,4,1,833.0,26,0.0004,,,2005-09-08 07:31:47,2025-03-31 10:49:50,1.0,74.965282,5,1,,,,,,,,,
55915579010538,55915563010538,2003,9,1,3,518,1,1,541.0,36,0.4061,,,2005-09-08 07:31:45,2025-03-31 10:49:50,2.0,149.930565,5,1,,,,,,,,,
55915581010538,55915563010538,2003,9,1,3,518,2,1,762.0,41,10.1514,,,2005-09-08 07:31:45,2025-03-31 10:49:50,1.0,74.965282,5,1,,,,,,,,,
55915640010538,55915620010538,2003,9,1,3,563,1,1,316.0,32,0.002,,,2005-09-08 07:31:46,2025-03-31 10:49:50,4.0,299.86113,5,1,,,,,,,,,
55915636010538,55915620010538,2003,9,1,3,563,1,1,762.0,41,0.0024,,,2005-09-08 07:31:46,2025-03-31 10:49:50,1.0,74.965282,5,1,,,,,,,,,
55915642010538,55915620010538,2003,9,1,3,563,1,1,802.0,25,0.0024,,,2005-09-08 07:31:46,2025-03-31 10:49:50,6.0,449.791695,5,1,,,,,,,,,
55915644010538,55915620010538,2003,9,1,3,563,1,1,833.0,26,0.0004,,,2005-09-08 07:31:46,2025-03-31 10:49:50,1.0,74.965282,5,1,,,,,,,,,
55915638010538,55915620010538,2003,9,1,3,563,1,1,837.0,28,0.0004,,,2005-09-08 07:31:46,2025-03-31 10:49:50,1.0,74.965282,5,1,,,,,,,,,
55915650010538,55915620010538,2003,9,1,3,563,2,1,316.0,32,0.002,,,2005-09-08 07:31:46,2025-03-31 10:49:50,4.0,299.86113,5,1,,,,,,,,,
55915648010538,55915620010538,2003,9,1,3,563,2,1,372.0,42,0.0007,,,2005-09-08 07:31:46,2025-03-31 10:49:50,5.0,374.826412,5,1,,,,,,,,,
55915646010538,55915620010538,2003,9,1,3,563,2,1,407.0,29,0.0004,,,2005-09-08 07:31:46,2025-03-31 10:49:50,1.0,74.965282,5,1,,,,,,,,,
55915652010538,55915620010538,2003,9,1,3,563,2,1,802.0,25,0.0004,,,2005-09-08 07:31:46,2025-03-31 10:49:50,1.0,74.965282,5,1,,,,,,,,,
55915654010538,55915620010538,2003,9,1,3,563,2,1,833.0,26,0.0004,,,2005-09-08 07:31:46,2025-03-31 10:49:50,1.0,74.965282,5,1,,,,,,,,,
55915662010538,55915620010538,2003,9,1,3,563,3,1,316.0,32,0.0005,,,2005-09-08 07:31:46,2025-03-31 10:49:50,1.0,74.965282,5,1,,,,,,,,,
55915660010538,55915620010538,2003,9,1,3,563,3,1,356.0,43,0.0005,,,2005-09-08 07:31:46,2025-03-31 10:49:50,1.0,74.965282,5,1,,,,,,,,,
55915666010538,55915620010538,2003,9,1,3,563,3,1,403.0,29,0.0004,,,2005-09-08 07:31:46,2025-03-31 10:49:50,1.0,74.965282,5,1,,,,,,,,,
55915664010538,55915620010538,2003,9,1,3,563,3,1,802.0,25,0.0004,,,2005-09-08 07:31:46,2025-03-31 10:49:50,1.0,74.965282,5,1,,,,,,,,,
55915658010538,55915620010538,2003,9,1,3,563,3,1,833.0,26,0.0004,,,2005-09-08 07:31:46,2025-03-31 10:49:50,1.0,74.965282,5,1,,,,,,,,,
55915656010538,55915620010538,2003,9,1,3,563,3,1,837.0,28,0.0024,,,2005-09-08 07:31:46,2025-03-31 10:49:50,6.0,449.791695,5,1,,,,,,,,,
55915672010538,55915620010538,2003,9,1,3,563,4,1,403.0,29,0.0008,,,2005-09-08 07:31:46,2025-03-31 10:49:50,2.0,149.930565,5,1,,,,,,,,,
55915678010538,55915620010538,2003,9,1,3,563,4,1,407.0,29,0.0004,,,2005-09-08 07:31:46,2025-03-31 10:49:50,1.0,74.965282,5,1,,,,,,,,,
55915668010538,55915620010538,2003,9,1,3,563,4,1,802.0,25,0.0024,,,2005-09-08 07:31:46,2025-03-31 10:49:50,6.0,449.791695,5,1,,,,,,,,,
55915670010538,55915620010538,2003,9,1,3,563,4,1,833.0,26,0.0004,,,2005-09-08 07:31:46,2025-03-31 10:49:50,1.0,74.965282,5,1,,,,,,,,,
55915674010538,55915620010538,2003,9,1,3,563,4,1,837.0,28,0.002,,,2005-09-08 07:31:46,2025-03-31 10:49:50,5.0,374.826412,5,1,,,,,,,,,
55915676010538,55915620010538,2003,9,1,3,563,4,1,931.0,41,0.0008,,,2005-09-08 07:31:46,2025-03-31 10:49:50,2.0,149.930565,5,1,,,,,,,,,
55915918010538,55915893010538,2003,9,1,3,578,1,1,316.0,32,0.0009,,,2005-09-08 07:31:48,2025-03-31 10:49:50,1.0,74.965282,5,1,,,,,,,,,
55915914010538,55915893010538,2003,9,1,3,578,1,1,762.0,41,0.0091,,,2005-09-08 07:31:48,2025-03-31 10:49:50,2.0,149.930565,5,1,,,,,,,,,
55915916010538,55915893010538,2003,9,1,3,578,1,1,802.0,25,0.0015,,,2005-09-08 07:31:48,2025-03-31 10:49:50,2.0,149.930565,5,1,,,,,,,,,
55915922010538,55915893010538,2003,9,1,3,578,3,1,356.0,43,0.0018,,,2005-09-08 07:31:48,2025-03-31 10:49:50,2.0,149.930565,5,1,,,,,,,,,
55915920010538,55915893010538,2003,9,1,3,578,3,1,763.0,43,0.0036,,,2005-09-08 07:31:48,2025-03-31 10:49:50,4.0,299.86113,5,1,,,,,,,,,
55916147010538,55916129010538,2003,9,1,5,51,1,1,372.0,42,0.0001,,,2005-09-08 07:31:50,2025-03-31 10:49:50,1.0,74.965282,5,1,,,,,,,,,
55916145010538,55916129010538,2003,9,1,5,51,1,1,531.0,33,0.0001,,,2005-09-08 07:31:50,2025-03-31 10:49:50,1.0,74.965282,5,1,,,,,,,,,
55916149010538,55916129010538,2003,9,1,5,51,4,1,261.0,7,0.0001,,,2005-09-08 07:31:50,2025-03-31 10:49:50,1.0,74.965282,5,1,,,,,,,,,
55916303010538,55916281010538,2003,9,1,5,104,1,1,315.0,43,0.0001,,,2005-09-08 07:31:51,2025-03-31 10:49:50,1.0,74.965282,5,1,,,,,,,,,
55916297010538,55916281010538,2003,9,1,5,104,1,1,356.0,43,0.0029,,,2005-09-08 07:31:51,2025-03-31 10:49:50,6.0,449.791695,5,1,,,,,,,,,
55916301010538,55916281010538,2003,9,1,5,104,1,1,541.0,36,0.0024,,,2005-09-08 07:31:51,2025-03-31 10:49:50,1.0,74.965282,5,1,,,,,,,,,
55916299010538,55916281010538,2003,9,1,5,104,1,1,833.0,26,0.0008,,,2005-09-08 07:31:51,2025-03-31 10:49:50,2.0,149.930565,5,1,,,,,,,,,
55916307010538,55916281010538,2003,9,1,5,104,2,1,315.0,43,0.0001,,,2005-09-08 07:31:51,2025-03-31 10:49:50,1.0,74.965282,5,1,,,,,,,,,
55916305010538,55916281010538,2003,9,1,5,104,2,1,356.0,43,0.0001,,,2005-09-08 07:31:51,2025-03-31 10:49:50,2.0,149.930565,5,1,,,,,,,,,
55916311010538,55916281010538,2003,9,1,5,104,3,1,356.0,43,0.001,,,2005-09-08 07:31:51,2025-03-31 10:49:50,2.0,149.930565,5,1,,,,,,,,,
55916309010538,55916281010538,2003,9,1,5,104,3,1,701.0,43,0.0015,,,2005-09-08 07:31:51,2025-03-31 10:49:50,3.0,224.895847,5,1,,,,,,,,,
55916313010538,55916281010538,2003,9,1,5,104,3,1,762.0,41,0.0024,,,2005-09-08 07:31:51,2025-03-31 10:49:50,1.0,74.965282,5,1,,,,,,,,,
55916315010538,55916281010538,2003,9,1,5,104,3,1,802.0,25,0.0004,,,2005-09-08 07:31:51,2025-03-31 10:49:50,1.0,74.965282,5,1,,,,,,,,,
55916317010538,55916281010538,2003,9,1,5,104,4,1,802.0,25,0.0004,,,2005-09-08 07:31:51,2025-03-31 10:49:50,1.0,74.965282,5,1,,,,,,,,,
55916412010538,55916396010538,2003,9,1,5,254,1,1,316.0,32,0.0005,,,2005-09-08 07:31:52,2025-03-31 10:49:50,1.0,74.965282,5,1,,,,,,,,,
55916416010538,55916396010538,2003,9,1,5,254,1,1,500.0,43,0.0004,,,2005-09-08 07:31:52,2025-03-31 10:49:50,1.0,74.965282,5,1,,,,,,,,,
55916414010538,55916396010538,2003,9,1,5,254,1,1,541.0,36,0.0024,,,2005-09-08 07:31:52,2025-03-31 10:49:50,1.0,74.965282,5,1,,,,,,,,,
55916418010538,55916396010538,2003,9,1,5,254,2,1,833.0,26,0.0001,,,2005-09-08 07:31:52,2025-03-31 10:49:50,2.0,149.930565,5,1,,,,,,,,,
55916420010538,55916396010538,2003,9,1,5,254,3,1,762.0,41,0.0049,,,2005-09-08 07:31:52,2025-03-31 10:49:50,2.0,149.930565,5,1,,,,,,,,,
55917006010538,55916990010538,2003,9,1,5,287,1,1,315.0,43,0.0009,,,2005-09-08 07:31:57,2025-03-31 10:49:50,6.0,449.791695,5,1,,,,,,,,,
55917008010538,55916990010538,2003,9,1,5,287,1,1,372.0,42,0.0001,,,2005-09-08 07:31:57,2025-03-31 10:49:50,1.0,74.965282,5,1,,,,,,,,,
55917012010538,55916990010538,2003,9,1,5,287,2,1,315.0,43,0.0001,,,2005-09-08 07:31:57,2025-03-31 10:49:50,1.0,74.965282,5,1,,,,,,,,,
55917010010538,55916990010538,2003,9,1,5,287,2,1,531.0,33,0.0001,,,2005-09-08 07:31:57,2025-03-31 10:49:50,1.0,74.965282,5,1,,,,,,,,,
55917014010538,55916990010538,2003,9,1,5,287,3,1,315.0,43,0.0001,,,2005-09-08 07:31:57,2025-03-31 10:49:50,1.0,74.965282,5,1,,,,,,,,,
55916809010538,55916790010538,2003,9,1,5,366,3,2,261.0,7,0.0007,,,2005-09-08 07:31:55,2025-03-31 10:49:50,6.0,449.791695,5,1,,,,,,,,,
55916018010538,55916001010538,2003,9,1,5,382,1,1,802.0,25,0.0004,,,2005-09-08 07:31:49,2025-03-31 10:49:50,1.0,74.965282,5,1,,,,,,,,,
55916016010538,55916001010538,2003,9,1,5,382,1,1,833.0,26,0.0004,,,2005-09-08 07:31:49,2025-03-31 10:49:50,1.0,74.965282,5,1,,,,,,,,,
55916020010538,55916001010538,2003,9,1,5,382,2,1,356.0,43,0.0015,,,2005-09-08 07:31:49,2025-03-31 10:49:50,3.0,224.895847,5,1,,,,,,,,,
55916026010538,55916001010538,2003,9,1,5,382,2,1,531.0,33,0.0001,,,2005-09-08 07:31:49,2025-03-31 10:49:50,1.0,74.965282,5,1,,,,,,,,,
55916024010538,55916001010538,2003,9,1,5,382,2,1,802.0,25,0.0004,,,2005-09-08 07:31:49,2025-03-31 10:49:50,1.0,74.965282,5,1,,,,,,,,,
55916022010538,55916001010538,2003,9,1,5,382,2,1,833.0,26,0.0008,,,2005-09-08 07:31:49,2025-03-31 10:49:50,2.0,149.930565,5,1,,,,,,,,,
55916028010538,55916001010538,2003,9,1,5,382,3,1,531.0,33,0.0003,,,2005-09-08 07:31:49,2025-03-31 10:49:50,2.0,149.930565,5,1,,,,,,,,,
55916030010538,55916001010538,2003,9,1,5,382,4,1,316.0,32,0.0005,,,2005-09-08 07:31:49,2025-03-31 10:49:50,1.0,74.965282,5,1,,,,,,,,,
55916902010538,55916884010538,2003,9,1,5,436,3,2,541.0,36,0.8121,,,2005-09-08 07:31:56,2025-03-31 10:49:50,1.0,74.965282,5,1,,,,,,,,,
55916904010538,55916884010538,2003,9,1,5,436,3,2,762.0,41,0.8121,,,2005-09-08 07:31:56,2025-03-31 10:49:50,1.0,74.965282,5,1,,,,,,,,,
55916657010538,55916635010538,2003,9,1,5,452,1,1,833.0,26,0.001,,,2005-09-08 07:31:54,2025-03-31 10:49:50,2.0,149.930565,5,1,,,,,,,,,
55916659010538,55916635010538,2003,9,1,5,452,2,1,762.0,41,0.013,,,2005-09-08 07:31:54,2025-03-31 10:49:50,4.0,299.86113,5,1,,,,,,,,,
55916661010538,55916635010538,2003,9,1,5,452,2,1,833.0,26,0.0005,,,2005-09-08 07:31:54,2025-03-31 10:49:50,1.0,74.965282,5,1,,,,,,,,,
55916663010538,55916635010538,2003,9,1,5,452,3,1,129.0,4,0.0001,,,2005-09-08 07:31:54,2025-03-31 10:49:50,1.0,74.965282,5,1,,,,,,,,,
55916665010538,55916635010538,2003,9,1,5,452,3,1,316.0,32,0.0001,,,2005-09-08 07:31:54,2025-03-31 10:49:50,1.0,74.965282,5,1,,,,,,,,,
55916536010538,55916520010538,2003,9,1,5,521,1,1,372.0,42,0.0001,,,2005-09-08 07:31:53,2025-03-31 10:49:50,1.0,74.965282,5,1,,,,,,,,,
55916667010538,55916635010538,2003,9,1,5,452,4,2,762.0,41,0.0001,,,2005-09-08 07:31:54,2025-03-31 10:49:50,6.0,449.791695,5,1,,,,,,,,,
55916669010538,55916635010538,2003,9,1,5,452,4,2,802.0,25,0.0001,,,2005-09-08 07:31:54,2025-03-31 10:49:50,1.0,74.965282,5,1,,,,,,,,,
55916540010538,55916520010538,2003,9,1,5,521,1,1,315.0,43,0.0001,,,2005-09-08 07:31:53,2025-03-31 10:49:50,1.0,74.965282,5,1,,,,,,,,,
55916538010538,55916520010538,2003,9,1,5,521,1,1,701.0,43,0.0005,,,2005-09-08 07:31:53,2025-03-31 10:49:50,1.0,74.965282,5,1,,,,,,,,,
55916544010538,55916520010538,2003,9,1,5,521,2,1,315.0,43,0.0001,,,2005-09-08 07:31:53,2025-03-31 10:49:50,1.0,74.965282,5,1,,,,,,,,,
55916542010538,55916520010538,2003,9,1,5,521,2,1,701.0,43,0.001,,,2005-09-08 07:31:53,2025-03-31 10:49:50,2.0,149.930565,5,1,,,,,,,,,
55916546010538,55916520010538,2003,9,1,5,521,3,1,315.0,43,0.0003,,,2005-09-08 07:31:53,2025-03-31 10:49:50,2.0,149.930565,5,1,,,,,,,,,
55916552010538,55916520010538,2003,9,1,5,521,3,1,372.0,42,0.0001,,,2005-09-08 07:31:53,2025-03-31 10:49:50,1.0,74.965282,5,1,,,,,,,,,
55916550010538,55916520010538,2003,9,1,5,521,3,1,832.0,27,0.0004,,,2005-09-08 07:31:53,2025-03-31 10:49:50,1.0,74.965282,5,1,,,,,,,,,
55916548010538,55916520010538,2003,9,1,5,521,3,1,833.0,26,0.0008,,,2005-09-08 07:31:53,2025-03-31 10:49:50,2.0,149.930565,5,1,,,,,,,,,
55916558010538,55916520010538,2003,9,1,5,521,4,1,315.0,43,0.0001,,,2005-09-08 07:31:53,2025-03-31 10:49:50,1.0,74.965282,5,1,,,,,,,,,
55916556010538,55916520010538,2003,9,1,5,521,4,1,372.0,42,0.0003,,,2005-09-08 07:31:53,2025-03-31 10:49:50,2.0,149.930565,5,1,,,,,,,,,
55916560010538,55916520010538,2003,9,1,5,521,4,1,403.0,29,0.0004,,,2005-09-08 07:31:53,2025-03-31 10:49:50,1.0,74.965282,5,1,,,,,,,,,
55916554010538,55916520010538,2003,9,1,5,521,4,1,833.0,26,0.0008,,,2005-09-08 07:31:53,2025-03-31 10:49:50,2.0,149.930565,5,1,,,,,,,,,
55916929010538,55916911010538,2003,9,1,5,638,4,2,261.0,7,0.0001,,,2005-09-08 07:31:56,2025-03-31 10:49:50,1.0,74.965282,5,1,,,,,,,,,
55917115010538,55917099010538,2003,9,1,5,663,2,1,315.0,43,0.0007,,,2005-09-08 07:31:58,2025-03-31 10:49:50,5.0,374.826412,5,1,,,,,,,,,
55917119010538,55917099010538,2003,9,1,5,663,2,1,409.0,29,0.0004,,,2005-09-08 07:31:58,2025-03-31 10:49:50,1.0,74.965282,5,1,,,,,,,,,
55917117010538,55917099010538,2003,9,1,5,663,2,1,833.0,26,0.0012,,,2005-09-08 07:31:58,2025-03-31 10:49:50,3.0,224.895847,5,1,,,,,,,,,
55917125010538,55917099010538,2003,9,1,5,663,3,1,315.0,43,0.0003,,,2005-09-08 07:31:58,2025-03-31 10:49:50,2.0,149.930565,5,1,,,,,,,,,
55917127010538,55917099010538,2003,9,1,5,663,3,1,316.0,32,0.0005,,,2005-09-08 07:31:58,2025-03-31 10:49:50,1.0,74.965282,5,1,,,,,,,,,
55917121010538,55917099010538,2003,9,1,5,663,3,1,372.0,42,0.0009,,,2005-09-08 07:31:58,2025-03-31 10:49:50,6.0,449.791695,5,1,,,,,,,,,
55917133010538,55917099010538,2003,9,1,5,663,4,1,421.0,43,0.0005,,,2005-09-08 07:31:58,2025-03-31 10:49:50,1.0,74.965282,5,1,,,,,,,,,
55917129010538,55917099010538,2003,9,1,5,663,3,1,409.0,29,0.0004,,,2005-09-08 07:31:58,2025-03-31 10:49:50,1.0,74.965282,5,1,,,,,,,,,
55917123010538,55917099010538,2003,9,1,5,663,3,1,833.0,26,0.0024,,,2005-09-08 07:31:58,2025-03-31 10:49:50,6.0,449.791695,5,1,,,,,,,,,
55917131010538,55917099010538,2003,9,1,5,663,4,1,315.0,43,0.0009,,,2005-09-08 07:31:58,2025-03-31 10:49:50,6.0,449.791695,5,1,,,,,,,,,
55917256010538,55917238010538,2003,9,1,7,511,3,2,391.0,43,0.0039,,,2005-09-08 07:31:59,2025-03-31 10:49:50,2.0,149.930565,5,1,,,,,,,,,
55917289010538,55917271010538,2003,9,1,7,607,2,2,762.0,41,0.0098,,,2005-09-08 07:31:59,2025-03-31 10:49:50,1.0,74.965282,5,1,,,,,,,,,
55917225010538,55917206010538,2003,9,1,7,631,2,2,544.0,36,0.0034,,,2005-09-08 07:31:58,2025-03-31 10:49:50,6.0,449.791695,5,1,,,,,,,,,
55917675010538,55917655010538,2003,9,1,9,296,2,1,762.0,41,0.0195,,,2005-09-08 07:32:03,2025-03-31 10:49:50,6.0,449.791695,5,1,,,,,,,,,
55917677010538,55917655010538,2003,9,1,9,296,2,1,833.0,26,0.0005,,,2005-09-08 07:32:03,2025-03-31 10:49:50,1.0,74.965282,5,1,,,,,,,,,
55917673010538,55917655010538,2003,9,1,9,296,2,1,999.0,43,0.0039,,,2005-09-08 07:32:03,2025-03-31 10:49:50,6.0,449.791695,5,1,,,,,,,,,
55917486010538,55917467010538,2003,9,1,9,434,1,1,762.0,41,0.0031,,,2005-09-08 07:32:00,2025-03-31 10:49:50,1.0,74.965282,5,1,,,,,,,,,
55917488010538,55917467010538,2003,9,1,9,434,3,1,541.0,36,0.0156,,,2005-09-08 07:32:00,2025-03-31 10:49:50,5.0,374.826412,5,1,,,,,,,,,
55917490010538,55917467010538,2003,9,1,9,434,3,1,762.0,41,0.0031,,,2005-09-08 07:32:00,2025-03-31 10:49:50,1.0,74.965282,5,1,,,,,,,,,
55917492010538,55917467010538,2003,9,1,9,434,4,1,762.0,41,0.0031,,,2005-09-08 07:32:00,2025-03-31 10:49:50,1.0,74.965282,5,1,,,,,,,,,
55917339010538,55917320010538,2003,9,1,9,639,1,1,999.0,43,0.0006,,,2005-09-08 07:31:59,2025-03-31 10:49:50,1.0,74.965282,5,1,,,,,,,,,
55918339010538,55918323010538,2003,9,1,11,24,3,1,762.0,41,0.0073,,,2005-09-08 07:32:08,2025-03-31 10:49:50,3.0,224.895847,5,1,,,,,,,,,
