CN,SRV_CN,CTY_CN,PREV_PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,PLOT_STATUS_CD,PLOT_NONSAMPLE_REASN_CD,MEASYEAR,MEASMON,MEASDAY,REMPER,KINDCD,DESIGNCD,RDDISTCD,WATERCD,LAT,LON,ELEV,GROW_TYP_CD,MORT_TYP_CD,P2PANEL,P3PANEL,MANUAL,KINDCD_NC,QA_STATUS,CREATED_DATE,MODIFIED_DATE,MICROPLOT_LOC,DECLINATION,SAMP_METHOD_CD,SUBP_EXAMINE_CD,MACRO_BREAKPOINT_DIA,INTENSITY,CYCLE,SUBCYCLE,TOPO_POSITION_PNW,NF_SAMPLING_STATUS_CD,NF_PLOT_STATUS_CD,NF_PLOT_NONSAMPLE_REASN_CD,P2VEG_SAMPLING_STATUS_CD,P2VEG_SAMPLING_LEVEL_DETAIL_CD,INVASIVE_SAMPLING_STATUS_CD,INVASIVE_SPECIMEN_RULE_CD,DESIGNCD_P2A,MANUAL_DB,SUBPANEL,FUTFORCD_RMRS,MANUAL_NCRS,MANUAL_NERS,MANUAL_RMRS,PAC_ISLAND_PNWRS,PLOT_SEASON_NERS,PREV_MICROPLOT_LOC_RMRS,PREV_PLOT_STATUS_CD_RMRS,REUSECD1,REUSECD2,REUSECD3,GRND_LYR_SAMPLING_STATUS_CD,GRND_LYR_SAMPLING_METHOD_CD
9187278010661,9187277010661,1320304010538,,1986,10,1,1,1,1,,1987,1,0,16.0,0,101,,,38.94456,-75.61076,,2,2,,,0.0,,,2003-09-26 00:00:00,2024-10-21 11:05:06,,,1,4,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,
9187313010661,9187277010661,1320304010538,,1986,10,1,1,2,1,,1985,6,0,14.0,0,101,,,39.27789,-75.52742,,2,2,,,0.0,,,2003-09-26 00:00:00,2024-10-21 11:05:06,,,1,4,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,
9187346010661,9187277010661,1320304010538,,1986,10,1,1,3,1,,1987,1,0,16.0,0,101,,,38.91678,-75.52742,,2,2,,,0.0,,,2003-09-26 00:00:00,2024-10-21 11:05:06,,,1,4,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,
9187385010661,9187277010661,1320304010538,,1986,10,1,1,4,1,,1985,9,0,15.0,0,101,,,39.00011,-75.6941,,2,2,,,0.0,,,2003-09-26 00:00:00,2024-10-21 11:05:06,,,1,4,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,
9187421010661,9187277010661,1320304010538,,1986,10,1,1,5,1,,1987,1,0,16.0,0,101,,,38.86122,-75.6941,,2,2,,,0.0,,,2003-09-26 00:00:00,2024-10-21 11:05:06,,,1,4,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,
9187451010661,9187277010661,1320304010538,,1986,10,1,1,6,1,,1985,9,0,15.0,0,101,,,39.41678,-75.66632,,2,2,,,0.0,,,2003-09-26 00:00:00,2024-10-21 11:05:06,,,1,4,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,
9187484010661,9187277010661,1320304010538,,1986,10,1,1,7,1,,1985,9,0,15.0,0,101,,,38.86122,-75.72187,,2,2,,,0.0,,,2003-09-26 00:00:00,2024-10-21 11:05:06,,,1,4,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,
9187525010661,9187277010661,1320304010538,,1986,10,1,1,8,1,,1985,9,0,15.0,0,101,,,38.91678,-75.72187,,2,2,,,0.0,,,2003-09-26 00:00:00,2024-10-21 11:05:06,,,1,4,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,
9187556010661,9187277010661,1320304010538,,1986,10,1,1,9,1,,1987,1,0,16.0,0,101,,,38.94456,-75.72187,,2,2,,,0.0,,,2003-09-26 00:00:00,2024-10-21 11:05:06,,,1,4,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,
9187603010661,9187277010661,1320304010538,,1986,10,1,1,11,1,,1985,6,0,14.0,0,101,,,39.02789,-75.72187,,2,2,,,0.0,,,2003-09-26 00:00:00,2024-10-21 11:05:06,,,1,4,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,
9187683010661,9187277010661,1320304010538,,1986,10,1,1,12,1,,1985,6,0,14.0,0,101,,,39.22233,-75.72188,,2,2,,,0.0,,,2003-09-26 00:00:00,2024-10-21 11:05:06,,,1,4,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,
9187721010661,9187277010661,1320304010538,,1986,10,1,1,13,2,,1985,10,0,15.0,0,101,,,38.889,-75.63854,,2,2,,,0.0,,,2003-09-26 00:00:00,2024-10-21 11:05:06,,,1,4,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,
9187723010661,9187277010661,1320304010538,,1986,10,1,1,14,1,,1985,6,0,14.0,0,101,,,39.11122,-75.61076,,2,2,,,0.0,,,2003-09-26 00:00:00,2024-10-21 11:05:06,,,1,4,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,
9187776010661,9187277010661,1320304010538,,1986,10,1,1,15,1,,1985,6,0,14.0,0,101,,,39.16678,-75.61076,,2,2,,,0.0,,,2003-09-26 00:00:00,2024-10-21 11:05:06,,,1,4,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,
9187817010661,9187277010661,1320304010538,,1986,10,1,1,16,1,,1985,6,0,14.0,0,101,,,39.19456,-75.61076,,2,2,,,0.0,,,2003-09-26 00:00:00,2024-10-21 11:05:06,,,1,4,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,
