CN,PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,SUBP,CONDID,SPCD,SPGRPCD,STOCKING,TREECOUNT,TOTAGE,CREATED_DATE,MODIFIED_DATE,TREECOUNT_CALC,TPA_UNADJ,CYCLE,SUBCYCLE,DAMAGE_AGENT_CD1_SRS,PCT_AFFECTED_DAMAGE_AGENT1_SRS,DAMAGE_AGENT_CD2_SRS,PCT_AFFECTED_DAMAGE_AGENT2_SRS,DAMAGE_AGENT_CD3_SRS,PCT_AFFECTED_DAMAGE_AGENT3_SRS,AGECD_RMRS,COUNTCHKCD_RMRS,SPCD_ID_CD
65457859010538,60134557010538,2004,10,1,1,48,2,1,316.0,32,0.0049,10,,2007-01-29 10:56:12,2025-04-22 11:44:10,10.0,749.652825,5,1,,,,,,,,,
65457861010538,60134557010538,2004,10,1,1,48,3,1,653.0,43,0.0039,8,,2007-01-29 10:56:12,2025-04-22 11:44:10,8.0,599.72226,5,1,,,,,,,,,
65457863010538,60134557010538,2004,10,1,1,48,4,1,316.0,32,0.0029,6,,2007-01-29 10:56:12,2025-04-22 11:44:10,6.0,449.791695,5,1,,,,,,,,,
65458070010538,60134770010538,2004,10,1,1,132,1,2,316.0,32,0.0419,1,,2007-01-29 10:56:14,2025-04-22 11:44:10,1.0,74.965282,5,1,,,,,,,,,
65458068010538,60134770010538,2004,10,1,1,132,1,2,611.0,34,0.0223,3,,2007-01-29 10:56:14,2025-04-22 11:44:10,3.0,224.895847,5,1,,,,,,,,,
65458074010538,60134770010538,2004,10,1,1,132,2,2,316.0,32,0.0067,8,,2007-01-29 10:56:15,2025-04-22 11:44:10,8.0,599.72226,5,1,,,,,,,,,
65458072010538,60134770010538,2004,10,1,1,132,2,2,611.0,34,0.0013,9,,2007-01-29 10:56:15,2025-04-22 11:44:10,9.0,674.687542,5,1,,,,,,,,,
65458196010538,60134902010538,2004,10,1,1,202,1,1,316.0,32,0.0009,1,,2007-01-29 10:56:17,2025-04-22 11:44:10,1.0,74.965282,5,1,,,,,,,,,
65458192010538,60134902010538,2004,10,1,1,202,1,1,591.0,42,0.0087,10,,2007-01-29 10:56:16,2025-04-22 11:44:10,10.0,749.652825,5,1,,,,,,,,,
65458198010538,60134902010538,2004,10,1,1,202,1,1,693.0,35,0.0003,2,,2007-01-29 10:56:17,2025-04-22 11:44:10,2.0,149.930565,5,1,,,,,,,,,
65458194010538,60134902010538,2004,10,1,1,202,1,1,762.0,41,0.0044,1,,2007-01-29 10:56:16,2025-04-22 11:44:10,1.0,74.965282,5,1,,,,,,,,,
65458202010538,60134902010538,2004,10,1,1,202,2,1,410.0,29,0.0008,2,,2007-01-29 10:56:17,2025-04-22 11:44:10,2.0,149.930565,5,1,,,,,,,,,
65458200010538,60134902010538,2004,10,1,1,202,2,1,591.0,42,0.0054,11,,2007-01-29 10:56:17,2025-04-22 11:44:10,11.0,824.618107,5,1,,,,,,,,,
65458206010538,60134902010538,2004,10,1,1,202,3,1,491.0,42,0.001,2,,2007-01-29 10:56:18,2025-04-22 11:44:10,2.0,149.930565,5,1,,,,,,,,,
65458204010538,60134902010538,2004,10,1,1,202,3,1,591.0,42,0.0108,22,,2007-01-29 10:56:18,2025-04-22 11:44:10,22.0,1649.236214,5,1,,,,,,,,,
65458208010538,60134902010538,2004,10,1,1,202,4,1,653.0,43,0.002,4,,2007-01-29 10:56:18,2025-04-22 11:44:10,4.0,299.86113,5,1,,,,,,,,,
65457467010538,60134154010538,2004,10,1,1,238,1,1,591.0,42,0.002,3,,2007-01-29 10:56:04,2025-04-22 11:44:10,3.0,224.895847,5,1,,,,,,,,,
65457465010538,60134154010538,2004,10,1,1,238,1,1,611.0,34,0.0003,3,,2007-01-29 10:56:04,2025-04-22 11:44:10,3.0,224.895847,5,1,,,,,,,,,
65457469010538,60134154010538,2004,10,1,1,238,2,1,591.0,42,0.0013,2,,2007-01-29 10:56:04,2025-04-22 11:44:10,2.0,149.930565,5,1,,,,,,,,,
65457473010538,60134154010538,2004,10,1,1,238,2,1,802.0,25,0.0005,1,,2007-01-29 10:56:04,2025-04-22 11:44:10,1.0,74.965282,5,1,,,,,,,,,
65457471010538,60134154010538,2004,10,1,1,238,2,1,931.0,41,0.0005,1,,2007-01-29 10:56:04,2025-04-22 11:44:10,1.0,74.965282,5,1,,,,,,,,,
65457475010538,60134154010538,2004,10,1,1,238,3,1,591.0,42,0.0039,6,,2007-01-29 10:56:05,2025-04-22 11:44:10,6.0,449.791695,5,1,,,,,,,,,
65457477010538,60134154010538,2004,10,1,1,238,3,1,611.0,34,0.0002,2,,2007-01-29 10:56:05,2025-04-22 11:44:10,2.0,149.930565,5,1,,,,,,,,,
65457479010538,60134154010538,2004,10,1,1,238,3,1,693.0,35,0.0002,2,,2007-01-29 10:56:05,2025-04-22 11:44:10,2.0,149.930565,5,1,,,,,,,,,
65457483010538,60134154010538,2004,10,1,1,238,4,2,316.0,32,9.1753,1,,2007-01-29 10:56:05,2025-04-22 11:44:10,1.0,74.965282,5,1,,,,,,,,,
65457481010538,60134154010538,2004,10,1,1,238,4,2,611.0,34,110.8247,18,,2007-01-29 10:56:05,2025-04-22 11:44:10,18.0,1349.375084,5,1,,,,,,,,,
65458369010538,60135076010538,2004,10,1,1,239,3,2,316.0,32,0.7776,1,,2007-01-29 10:56:20,2025-04-22 11:44:10,1.0,74.965282,5,1,,,,,,,,,
65458365010538,60135076010538,2004,10,1,1,239,3,2,591.0,42,2.3327,3,,2007-01-29 10:56:20,2025-04-22 11:44:10,3.0,224.895847,5,1,,,,,,,,,
65458367010538,60135076010538,2004,10,1,1,239,3,2,611.0,34,0.5218,1,,2007-01-29 10:56:20,2025-04-22 11:44:10,1.0,74.965282,5,1,,,,,,,,,
65457664010538,60134358010538,2004,10,1,1,241,1,1,316.0,32,0.0031,6,,2007-01-29 10:56:07,2025-04-22 11:44:10,6.0,449.791695,5,1,,,,,,,,,
65457666010538,60134358010538,2004,10,1,1,241,1,1,693.0,35,0.0006,6,,2007-01-29 10:56:08,2025-04-22 11:44:10,6.0,449.791695,5,1,,,,,,,,,
65457668010538,60134358010538,2004,10,1,1,241,1,1,762.0,41,0.0156,6,,2007-01-29 10:56:08,2025-04-22 11:44:10,6.0,449.791695,5,1,,,,,,,,,
65457670010538,60134358010538,2004,10,1,1,241,2,1,693.0,35,0.0003,4,,2007-01-29 10:56:08,2025-04-22 11:44:10,4.0,299.86113,5,1,,,,,,,,,
65457676010538,60134358010538,2004,10,1,1,241,3,1,316.0,32,0.0001,1,,2007-01-29 10:56:09,2025-04-22 11:44:10,1.0,74.965282,5,1,,,,,,,,,
65457674010538,60134358010538,2004,10,1,1,241,3,1,693.0,35,0.0001,4,,2007-01-29 10:56:08,2025-04-22 11:44:10,4.0,299.86113,5,1,,,,,,,,,
