CN,SRV_CN,CTY_CN,PREV_PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,PLOT_STATUS_CD,PLOT_NONSAMPLE_REASN_CD,MEASYEAR,MEASMON,MEASDAY,REMPER,KINDCD,DESIGNCD,RDDISTCD,WATERCD,LAT,LON,ELEV,GROW_TYP_CD,MORT_TYP_CD,P2PANEL,P3PANEL,MANUAL,KINDCD_NC,QA_STATUS,CREATED_DATE,MODIFIED_DATE,MICROPLOT_LOC,DECLINATION,SAMP_METHOD_CD,SUBP_EXAMINE_CD,MACRO_BREAKPOINT_DIA,INTENSITY,CYCLE,SUBCYCLE,TOPO_POSITION_PNW,NF_SAMPLING_STATUS_CD,NF_PLOT_STATUS_CD,NF_PLOT_NONSAMPLE_REASN_CD,P2VEG_SAMPLING_STATUS_CD,P2VEG_SAMPLING_LEVEL_DETAIL_CD,INVASIVE_SAMPLING_STATUS_CD,INVASIVE_SPECIMEN_RULE_CD,DESIGNCD_P2A,MANUAL_DB,SUBPANEL,FUTFORCD_RMRS,MANUAL_NCRS,MANUAL_NERS,MANUAL_RMRS,PAC_ISLAND_PNWRS,PLOT_SEASON_NERS,PREV_MICROPLOT_LOC_RMRS,PREV_PLOT_STATUS_CD_RMRS,REUSECD1,REUSECD2,REUSECD3,GRND_LYR_SAMPLING_STATUS_CD,GRND_LYR_SAMPLING_METHOD_CD
47825408010497,5436507020004,2875891010901,,2010,15,1,1,2125,2,,2012,9,1,,1,1,,,20.293266,-155.875009,100,,,3,,5.1,,1,2015-12-21 18:21:25,2025-08-22 13:15:22,OFFSET,,2,1,,1,2,0,,,,,,,,,,9.4,1,,,,,Ocean,,,,,,,,
49613321010497,5436507020004,2875891010901,,2010,15,1,1,2127,2,,2015,9,1,,1,1,,,20.277031,-155.831656,100,,,2,,5.1,,1,2015-12-21 18:22:04,2025-08-22 13:15:20,OFFSET,,2,1,,1,2,0,,,,,,,,,,9.4,2,,,,,Ocean,,,,,,,,
47825410010497,5436507020004,2875891010901,,2010,15,1,1,2130,2,,2011,9,1,,1,1,,,20.263138,-155.794233,100,,,2,,5.1,,1,2015-12-21 18:21:25,2025-08-22 13:15:20,OFFSET,,2,1,,1,2,0,,,,,,,,,,9.4,1,,,,,Ocean,,,,,,,,
47825411010497,5436507020004,2875891010901,,2010,15,1,1,2133,2,,2012,9,1,,1,1,,,20.263849,-155.735143,100,,,3,,5.1,,1,2015-12-21 18:21:25,2025-08-22 13:15:20,OFFSET,,2,1,,1,2,0,,,,,,,,,,9.4,1,,,,,Ocean,,,,,,,,
47825413010497,5436507020004,2875891010901,,2010,15,1,1,2137,2,,2012,9,1,,1,1,,,20.245663,-155.922613,100,,,3,,5.1,,1,2015-12-21 18:21:26,2025-08-22 13:15:20,OFFSET,,2,1,,1,2,0,,,,,,,,,,9.4,1,,,,,Ocean,,,,,,,,
47825417010497,5436507020004,2875891010901,,2010,15,1,1,2150,2,,2012,9,1,,1,1,,,20.221237,-155.937559,100,,,3,,5.1,,1,2015-12-21 18:21:26,2025-08-22 13:15:20,OFFSET,,2,1,,1,2,0,,,,,,,,,,9.4,1,,,,,Ocean,,,,,,,,
49613388010497,5436507020004,2875891010901,,2010,15,1,1,2152,2,,2014,9,1,,1,1,,,20.210187,-155.667077,100,,,5,,5.1,,1,2015-12-21 18:22:06,2025-08-22 13:15:20,OFFSET,,2,1,,1,2,0,,,,,,,,,,9.4,1,,,,,Ocean,,,,,,,,
47825418010497,5436507020004,2875891010901,,2010,15,1,1,2153,2,,2011,9,1,,1,1,,,20.202524,-155.905958,100,,,2,,5.1,,1,2015-12-21 18:21:26,2025-08-22 13:15:20,OFFSET,,2,1,,1,2,0,,,,,,,,,,9.4,1,,,,,Ocean,,,,,,,,
49613373010497,5436507020004,2875891010901,,2010,15,1,1,2168,2,,2015,9,1,,1,1,,,20.167353,-155.936181,100,,,1,,5.1,,1,2015-12-21 18:22:06,2025-08-22 13:15:20,OFFSET,,2,1,,1,2,0,,,,,,,,,,9.4,2,,,,,Ocean,,,,,,,,
49613460010497,5436507020004,2875891010901,,2010,15,1,1,2171,2,,2014,9,1,,1,1,,,20.166762,-155.653553,100,,,5,,5.1,,1,2015-12-21 18:22:09,2025-08-22 13:15:18,OFFSET,,2,1,,1,2,0,,,,,,,,,,9.4,1,,,,,Ocean,,,,,,,,
