CN,PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,SUBP,CONDID,SPCD,SPGRPCD,STOCKING,TREECOUNT,TOTAGE,CREATED_DATE,MODIFIED_DATE,TREECOUNT_CALC,TPA_UNADJ,CYCLE,SUBCYCLE,DAMAGE_AGENT_CD1_SRS,PCT_AFFECTED_DAMAGE_AGENT1_SRS,DAMAGE_AGENT_CD2_SRS,PCT_AFFECTED_DAMAGE_AGENT2_SRS,DAMAGE_AGENT_CD3_SRS,PCT_AFFECTED_DAMAGE_AGENT3_SRS,AGECD_RMRS,COUNTCHKCD_RMRS,SPCD_ID_CD
365828091489998,47825253010497,2010,15,1,1,2146,1,1,7412.0,54,0.001,2,,2015-12-17 12:39:56,2025-01-13 18:43:29,2.0,149.930565,2,0,,,,,,,,,
365828092489998,47825253010497,2010,15,1,1,2146,2,1,8356.0,54,0.0001,2,,2015-12-17 12:39:56,2025-01-13 18:43:29,2.0,149.930565,2,0,,,,,,,,,
365828093489998,47825253010497,2010,15,1,1,2146,2,1,8400.0,54,0.0001,9,,2015-12-17 12:39:56,2025-01-13 18:43:29,9.0,674.687542,2,0,,,,,,,,,
365828094489998,47825253010497,2010,15,1,1,2146,2,1,8435.0,54,0.0001,1,,2015-12-17 12:39:56,2025-01-13 18:43:29,1.0,74.965282,2,0,,,,,,,,,
365828151489998,47825254010497,2010,15,1,1,2159,1,1,8356.0,54,30.0,16,,2015-12-17 12:39:57,2025-01-13 18:43:29,16.0,1199.444519,2,0,,,,,,,,,
365828152489998,47825254010497,2010,15,1,1,2159,2,1,8356.0,54,9.7196,1,,2015-12-17 12:39:57,2025-01-13 18:43:29,1.0,74.965282,2,0,,,,,,,,,
365828153489998,47825254010497,2010,15,1,1,2159,3,1,8356.0,54,30.0,12,,2015-12-17 12:39:57,2025-01-13 18:43:29,12.0,899.583389,2,0,,,,,,,,,
365828154489998,47825254010497,2010,15,1,1,2159,4,1,8356.0,54,19.4391,2,,2015-12-17 12:39:57,2025-01-13 18:43:29,2.0,149.930565,2,0,,,,,,,,,
365859023489998,49612674010497,2010,15,1,1,2163,1,1,8355.0,54,0.0001,50,,2015-12-17 12:39:20,2025-01-13 18:43:29,50.0,3748.264123,2,0,,,,,,,,,
365859024489998,49612674010497,2010,15,1,1,2163,2,1,8355.0,54,0.0455,93,,2015-12-17 12:39:20,2025-01-13 18:43:29,93.0,6971.771268,2,0,,,,,,,,,
365859025489998,49612674010497,2010,15,1,1,2163,3,1,8355.0,54,0.0001,15,,2015-12-17 12:39:20,2025-01-13 18:43:29,15.0,1124.479237,2,0,,,,,,,,,
365859026489998,49612674010497,2010,15,1,1,2163,4,1,8355.0,54,0.046,94,,2015-12-17 12:39:20,2025-01-13 18:43:29,94.0,7046.73655,2,0,,,,,,,,,
365859115489998,49612675010497,2010,15,1,1,2167,3,1,6547.0,54,0.0005,1,,2015-12-17 12:39:20,2025-01-13 18:43:29,1.0,74.965282,2,0,,,,,,,,,
365859116489998,49612675010497,2010,15,1,1,2167,3,1,8355.0,54,0.0015,3,,2015-12-17 12:39:20,2025-01-13 18:43:29,3.0,224.895847,2,0,,,,,,,,,
365828240489998,47825256010497,2010,15,1,1,2187,1,1,7724.0,54,0.0001,6,,2015-12-18 18:11:49,2025-01-13 18:43:29,6.0,449.791695,2,0,,,,,,,,,
365828241489998,47825256010497,2010,15,1,1,2187,1,1,7783.0,54,0.0001,41,,2015-12-18 18:11:49,2025-01-13 18:43:29,41.0,3073.57658,2,0,,,,,,,,,
365828242489998,47825256010497,2010,15,1,1,2187,1,1,7926.0,54,0.0001,1,,2015-12-18 18:11:49,2025-01-13 18:43:29,1.0,74.965282,2,0,,,,,,,,,
365828243489998,47825256010497,2010,15,1,1,2187,2,1,7724.0,54,0.6217,1,,2015-12-18 18:11:49,2025-01-13 18:43:29,1.0,74.965282,2,0,,,,,,,,,
