CN,PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,SUBP,CONDID,SPCD,SPGRPCD,STOCKING,TREECOUNT,TOTAGE,CREATED_DATE,MODIFIED_DATE,TREECOUNT_CALC,TPA_UNADJ,CYCLE,SUBCYCLE,DAMAGE_AGENT_CD1_SRS,PCT_AFFECTED_DAMAGE_AGENT1_SRS,DAMAGE_AGENT_CD2_SRS,PCT_AFFECTED_DAMAGE_AGENT2_SRS,DAMAGE_AGENT_CD3_SRS,PCT_AFFECTED_DAMAGE_AGENT3_SRS,AGECD_RMRS,COUNTCHKCD_RMRS,SPCD_ID_CD
65377519010661,65377464010661,1999,19,1,5,20005,1,1,318.0,31,0.0007,5,,2004-06-07 07:31:05,2025-08-22 12:01:46,5.0,374.826412,4,1,,,,,,,,,
65377520010661,65377464010661,1999,19,1,5,20005,1,1,391.0,43,0.0015,3,,2004-06-07 07:31:05,2025-08-22 12:01:46,3.0,224.895847,4,1,,,,,,,,,
65377521010661,65377464010661,1999,19,1,5,20005,1,1,541.0,36,0.0049,2,,2004-06-07 07:31:05,2025-08-22 12:01:46,2.0,149.930565,4,1,,,,,,,,,
65377522010661,65377464010661,1999,19,1,5,20005,1,1,701.0,43,0.0015,3,,2004-06-07 07:31:05,2025-08-22 12:01:46,3.0,224.895847,4,1,,,,,,,,,
65377523010661,65377464010661,1999,19,1,5,20005,1,1,762.0,41,0.0024,1,,2004-06-07 07:31:05,2025-08-22 12:01:46,1.0,74.965282,4,1,,,,,,,,,
65377524010661,65377464010661,1999,19,1,5,20005,1,1,951.0,38,0.0004,6,,2004-06-07 07:31:05,2025-08-22 12:01:46,6.0,449.791695,4,1,,,,,,,,,
65377525010661,65377464010661,1999,19,1,5,20005,2,1,541.0,36,0.0024,1,,2004-06-07 07:31:05,2025-08-22 12:01:46,1.0,74.965282,4,1,,,,,,,,,
65377526010661,65377464010661,1999,19,1,5,20005,2,1,833.0,26,0.0004,1,,2004-06-07 07:31:05,2025-08-22 12:01:46,1.0,74.965282,4,1,,,,,,,,,
65377527010661,65377464010661,1999,19,1,5,20005,3,1,391.0,43,0.0024,5,,2004-06-07 07:31:05,2025-08-22 12:01:46,5.0,374.826412,4,1,,,,,,,,,
65377528010661,65377464010661,1999,19,1,5,20005,3,1,544.0,36,0.0001,1,,2004-06-07 07:31:05,2025-08-22 12:01:46,1.0,74.965282,4,1,,,,,,,,,
65377515010661,65377464010661,1999,19,1,5,20005,3,1,762.0,41,0.0024,1,,2004-06-07 07:31:04,2025-08-22 12:01:46,1.0,74.965282,4,1,,,,,,,,,
65377516010661,65377464010661,1999,19,1,5,20005,3,1,975.0,41,0.0003,2,,2004-06-07 07:31:04,2025-08-22 12:01:46,2.0,149.930565,4,1,,,,,,,,,
