CN,PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,SUBP,CONDID,SPCD,SPGRPCD,STOCKING,TREECOUNT,TOTAGE,CREATED_DATE,MODIFIED_DATE,TREECOUNT_CALC,TPA_UNADJ,CYCLE,SUBCYCLE,DAMAGE_AGENT_CD1_SRS,PCT_AFFECTED_DAMAGE_AGENT1_SRS,DAMAGE_AGENT_CD2_SRS,PCT_AFFECTED_DAMAGE_AGENT2_SRS,DAMAGE_AGENT_CD3_SRS,PCT_AFFECTED_DAMAGE_AGENT3_SRS,AGECD_RMRS,COUNTCHKCD_RMRS,SPCD_ID_CD
66659578010661,66659562010661,2001,17,1,3,20049,1,1,403.0,29,0.4625,1,,2004-06-07 21:10:49,2025-04-09 10:30:32,1.0,74.965282,5,1,,,,,,,,,
66659579010661,66659562010661,2001,17,1,3,20049,1,1,491.0,42,9.7196,25,,2004-06-07 21:10:49,2025-04-09 10:30:32,25.0,1874.132061,5,1,,,,,,,,,
66659580010661,66659562010661,2001,17,1,3,20049,1,1,971.0,41,0.4117,1,,2004-06-07 21:10:49,2025-04-09 10:30:32,1.0,74.965282,5,1,,,,,,,,,
66659691010661,66659674010661,2001,17,1,3,20201,3,2,313.0,41,0.0001,1,,2004-06-07 21:10:53,2025-04-09 10:30:31,1.0,74.965282,5,1,,,,,,,,,
66659692010661,66659674010661,2001,17,1,3,20201,3,2,316.0,32,0.0001,2,,2004-06-07 21:10:53,2025-04-09 10:30:31,2.0,149.930565,5,1,,,,,,,,,
66659693010661,66659674010661,2001,17,1,3,20201,3,2,975.0,41,0.0001,1,,2004-06-07 21:10:53,2025-04-09 10:30:31,1.0,74.965282,5,1,,,,,,,,,
66674139010661,66674079010661,2001,17,1,55,20030,1,1,68.0,9,0.0006,2,,2004-06-07 21:14:18,2025-04-09 10:30:31,2.0,149.930565,5,1,,,,,,,,,
66674143010661,66674079010661,2001,17,1,55,20030,1,1,462.0,41,0.0002,1,,2004-06-07 21:14:18,2025-04-09 10:30:31,1.0,74.965282,5,1,,,,,,,,,
66674144010661,66674079010661,2001,17,1,55,20030,1,1,602.0,40,0.001,1,,2004-06-07 21:14:18,2025-04-09 10:30:31,1.0,74.965282,5,1,,,,,,,,,
66674148010661,66674079010661,2001,17,1,55,20030,1,1,975.0,41,0.0008,4,,2004-06-07 21:14:18,2025-04-09 10:30:31,4.0,299.86113,5,1,,,,,,,,,
66674151010661,66674079010661,2001,17,1,55,20030,2,1,68.0,9,0.0003,1,,2004-06-07 21:14:18,2025-04-09 10:30:31,1.0,74.965282,5,1,,,,,,,,,
66674154010661,66674079010661,2001,17,1,55,20030,2,1,462.0,41,0.0002,1,,2004-06-07 21:14:18,2025-04-09 10:30:31,1.0,74.965282,5,1,,,,,,,,,
66674157010661,66674079010661,2001,17,1,55,20030,2,1,471.0,43,0.0028,4,,2004-06-07 21:14:18,2025-04-09 10:30:31,4.0,299.86113,5,1,,,,,,,,,
66674159010661,66674079010661,2001,17,1,55,20030,2,1,817.0,28,0.0011,2,,2004-06-07 21:14:18,2025-04-09 10:30:31,2.0,149.930565,5,1,,,,,,,,,
66674164010661,66674079010661,2001,17,1,55,20030,2,1,975.0,41,0.0002,1,,2004-06-07 21:14:18,2025-04-09 10:30:31,1.0,74.965282,5,1,,,,,,,,,
66674167010661,66674079010661,2001,17,1,55,20030,3,1,462.0,41,0.0002,1,,2004-06-07 21:14:18,2025-04-09 10:30:31,1.0,74.965282,5,1,,,,,,,,,
66674172010661,66674079010661,2001,17,1,55,20030,3,1,972.0,41,0.0004,2,,2004-06-07 21:14:18,2025-04-09 10:30:31,2.0,149.930565,5,1,,,,,,,,,
66674760010661,66674707010661,2001,17,1,55,20043,3,2,402.0,29,63.483,1,,2004-06-07 21:14:28,2025-04-09 10:30:30,1.0,74.965282,5,1,,,,,,,,,
66674764010661,66674707010661,2001,17,1,55,20043,3,2,971.0,41,56.517,1,,2004-06-07 21:14:28,2025-04-09 10:30:30,1.0,74.965282,5,1,,,,,,,,,
66674810010661,66674775010661,2001,17,1,55,20044,1,1,402.0,29,0.0004,1,,2004-06-07 21:14:28,2025-04-09 10:30:32,1.0,74.965282,5,1,,,,,,,,,
66674813010661,66674775010661,2001,17,1,55,20044,1,1,541.0,36,0.0073,3,,2004-06-07 21:14:28,2025-04-09 10:30:32,3.0,224.895847,5,1,,,,,,,,,
66674814010661,66674775010661,2001,17,1,55,20044,1,1,931.0,41,0.0008,2,,2004-06-07 21:14:28,2025-04-09 10:30:32,2.0,149.930565,5,1,,,,,,,,,
66674816010661,66674775010661,2001,17,1,55,20044,1,1,972.0,41,0.0011,8,,2004-06-07 21:14:28,2025-04-09 10:30:32,8.0,599.72226,5,1,,,,,,,,,
66674819010661,66674775010661,2001,17,1,55,20044,2,1,403.0,29,0.0012,3,,2004-06-07 21:14:28,2025-04-09 10:30:32,3.0,224.895847,5,1,,,,,,,,,
66674822010661,66674775010661,2001,17,1,55,20044,2,1,471.0,43,0.002,4,,2004-06-07 21:14:28,2025-04-09 10:30:32,4.0,299.86113,5,1,,,,,,,,,
66674824010661,66674775010661,2001,17,1,55,20044,2,1,541.0,36,0.0098,4,,2004-06-07 21:14:29,2025-04-09 10:30:32,4.0,299.86113,5,1,,,,,,,,,
66674829010661,66674775010661,2001,17,1,55,20044,2,1,802.0,25,0.0008,2,,2004-06-07 21:14:29,2025-04-09 10:30:32,2.0,149.930565,5,1,,,,,,,,,
66674831010661,66674775010661,2001,17,1,55,20044,2,1,833.0,26,0.0004,1,,2004-06-07 21:14:29,2025-04-09 10:30:32,1.0,74.965282,5,1,,,,,,,,,
66674833010661,66674775010661,2001,17,1,55,20044,2,1,931.0,41,0.0024,6,,2004-06-07 21:14:29,2025-04-09 10:30:32,6.0,449.791695,5,1,,,,,,,,,
66674837010661,66674775010661,2001,17,1,55,20044,2,1,972.0,41,0.0003,2,,2004-06-07 21:14:29,2025-04-09 10:30:32,2.0,149.930565,5,1,,,,,,,,,
66674839010661,66674775010661,2001,17,1,55,20044,3,1,403.0,29,0.0004,1,,2004-06-07 21:14:29,2025-04-09 10:30:32,1.0,74.965282,5,1,,,,,,,,,
