CN,PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,SUBP,CONDID,SPCD,SPGRPCD,STOCKING,TREECOUNT,TOTAGE,CREATED_DATE,MODIFIED_DATE,TREECOUNT_CALC,TPA_UNADJ,CYCLE,SUBCYCLE,DAMAGE_AGENT_CD1_SRS,PCT_AFFECTED_DAMAGE_AGENT1_SRS,DAMAGE_AGENT_CD2_SRS,PCT_AFFECTED_DAMAGE_AGENT2_SRS,DAMAGE_AGENT_CD3_SRS,PCT_AFFECTED_DAMAGE_AGENT3_SRS,AGECD_RMRS,COUNTCHKCD_RMRS,SPCD_ID_CD
66801270010661,66801253010661,2001,20,1,13,20391,3,1,462.0,41,0.0001,2,,2004-06-07 22:18:50,2025-05-21 11:27:33,2.0,149.930565,5,1,,,,,,,,,
66803009010661,66802995010661,2001,20,1,27,20324,3,1,462.0,41,0.0006,4,,2004-06-07 22:19:36,2025-05-21 11:27:35,4.0,299.86113,5,1,,,,,,,,,
66803010010661,66802995010661,2001,20,1,27,20324,3,1,602.0,40,0.0051,7,,2004-06-07 22:19:36,2025-05-21 11:27:35,7.0,524.756977,5,1,,,,,,,,,
66803183010661,66803166010661,2001,20,1,27,20377,4,2,462.0,41,0.001,2,,2004-06-07 22:19:41,2025-05-21 11:27:29,2.0,149.930565,5,1,,,,,,,,,
66805188010661,66805172010661,2001,20,1,41,20429,1,1,68.0,9,0.0003,1,,2004-06-07 22:20:38,2025-05-21 11:27:27,1.0,74.965282,5,1,,,,,,,,,
66805189010661,66805172010661,2001,20,1,41,20429,1,1,823.0,25,0.0005,1,,2004-06-07 22:20:38,2025-05-21 11:27:27,1.0,74.965282,5,1,,,,,,,,,
66805190010661,66805172010661,2001,20,1,41,20429,1,1,972.0,41,0.0008,4,,2004-06-07 22:20:38,2025-05-21 11:27:27,4.0,299.86113,5,1,,,,,,,,,
66805191010661,66805172010661,2001,20,1,41,20429,3,1,682.0,42,0.0013,2,,2004-06-07 22:20:38,2025-05-21 11:27:27,2.0,149.930565,5,1,,,,,,,,,
66805192010661,66805172010661,2001,20,1,41,20429,3,1,972.0,41,0.0023,12,,2004-06-07 22:20:38,2025-05-21 11:27:27,12.0,899.583389,5,1,,,,,,,,,
66793874010661,66793858010661,2001,20,1,43,20282,1,1,402.0,29,0.2434,7,,2004-06-07 22:15:24,2025-05-21 11:27:32,7.0,524.756977,5,1,,,,,,,,,
66793875010661,66793858010661,2001,20,1,43,20282,1,1,462.0,41,0.0126,1,,2004-06-07 22:15:24,2025-05-21 11:27:32,1.0,74.965282,5,1,,,,,,,,,
66793876010661,66793858010661,2001,20,1,43,20282,1,1,837.0,28,0.0348,1,,2004-06-07 22:15:24,2025-05-21 11:27:32,1.0,74.965282,5,1,,,,,,,,,
66793877010661,66793858010661,2001,20,1,43,20282,1,1,975.0,41,0.2769,22,,2004-06-07 22:15:24,2025-05-21 11:27:32,22.0,1649.236214,5,1,,,,,,,,,
66793878010661,66793858010661,2001,20,1,43,20282,2,1,402.0,29,0.0014,2,,2004-06-07 22:15:24,2025-05-21 11:27:32,2.0,149.930565,5,1,,,,,,,,,
66793879010661,66793858010661,2001,20,1,43,20282,2,1,975.0,41,0.0005,2,,2004-06-07 22:15:24,2025-05-21 11:27:32,2.0,149.930565,5,1,,,,,,,,,
66793924010661,66793907010661,2001,20,1,43,20286,2,1,823.0,25,0.8415,2,,2004-06-07 22:15:26,2025-05-21 11:27:38,2.0,149.930565,5,1,,,,,,,,,
66793926010661,66793907010661,2001,20,1,43,20286,3,1,975.0,41,1.1238,3,,2004-06-07 22:15:26,2025-05-21 11:27:38,3.0,224.895847,5,1,,,,,,,,,
66794137010661,66794120010661,2001,20,1,45,20238,1,1,313.0,41,35.3526,3,,2004-06-07 22:15:32,2025-05-21 11:27:35,3.0,224.895847,5,1,,,,,,,,,
66794138010661,66794120010661,2001,20,1,45,20238,3,1,313.0,41,1.4088,5,,2004-06-07 22:15:32,2025-05-21 11:27:35,5.0,374.826412,5,1,,,,,,,,,
66794139010661,66794120010661,2001,20,1,45,20238,3,1,462.0,41,1.6906,6,,2004-06-07 22:15:32,2025-05-21 11:27:35,6.0,449.791695,5,1,,,,,,,,,
66794239010661,66794223010661,2001,20,1,45,20258,3,1,462.0,41,0.0002,1,,2004-06-07 22:15:35,2025-05-21 11:27:32,1.0,74.965282,5,1,,,,,,,,,
66794240010661,66794223010661,2001,20,1,45,20258,3,1,541.0,36,0.0033,1,,2004-06-07 22:15:35,2025-05-21 11:27:32,1.0,74.965282,5,1,,,,,,,,,
66795987010661,66795971010661,2001,20,1,59,20309,3,1,602.0,40,0.0029,1,,2004-06-07 22:16:23,2025-05-21 11:27:32,1.0,74.965282,5,1,,,,,,,,,
66794174010661,66794157010661,2001,20,1,45,20241,3,2,462.0,41,0.0001,1,,2004-06-07 22:15:33,2025-05-21 11:27:32,1.0,74.965282,5,1,,,,,,,,,
