CN,PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,SUBP,CONDID,SPCD,SPGRPCD,STOCKING,TREECOUNT,TOTAGE,CREATED_DATE,MODIFIED_DATE,TREECOUNT_CALC,TPA_UNADJ,CYCLE,SUBCYCLE,DAMAGE_AGENT_CD1_SRS,PCT_AFFECTED_DAMAGE_AGENT1_SRS,DAMAGE_AGENT_CD2_SRS,PCT_AFFECTED_DAMAGE_AGENT2_SRS,DAMAGE_AGENT_CD3_SRS,PCT_AFFECTED_DAMAGE_AGENT3_SRS,AGECD_RMRS,COUNTCHKCD_RMRS,SPCD_ID_CD
55924308010538,55924287010538,2003,25,1,1,327,3,2,356.0,43,0.0059,,,2005-09-08 07:39:10,2025-03-17 11:42:39,3.0,224.895847,5,1,,,,,,,,,
55924310010538,55924287010538,2003,25,1,1,327,3,2,762.0,41,0.0098,,,2005-09-08 07:39:10,2025-03-17 11:42:39,1.0,74.965282,5,1,,,,,,,,,
55924304010538,55924287010538,2003,25,1,1,327,3,2,802.0,25,0.0047,,,2005-09-08 07:39:10,2025-03-17 11:42:39,3.0,224.895847,5,1,,,,,,,,,
55924306010538,55924287010538,2003,25,1,1,327,3,2,806.0,28,0.0047,,,2005-09-08 07:39:10,2025-03-17 11:42:39,3.0,224.895847,5,1,,,,,,,,,
55924361010538,55924346010538,2003,25,1,1,1017,2,1,126.0,3,0.1833,,,2005-09-08 07:39:11,2025-03-17 11:42:43,1.0,74.965282,5,1,,,,,,,,,
55924363010538,55924346010538,2003,25,1,1,1017,4,1,762.0,41,0.29,,,2005-09-08 07:39:11,2025-03-17 11:42:43,1.0,74.965282,5,1,,,,,,,,,
55924184010538,55924167010538,2003,25,1,1,1064,1,1,126.0,3,0.0004,,,2005-09-08 07:39:09,2025-03-17 11:42:41,1.0,74.965282,5,1,,,,,,,,,
55924186010538,55924167010538,2003,25,1,1,1064,1,1,802.0,25,0.0008,,,2005-09-08 07:39:09,2025-03-17 11:42:41,2.0,149.930565,5,1,,,,,,,,,
55924182010538,55924167010538,2003,25,1,1,1064,1,1,806.0,28,0.002,,,2005-09-08 07:39:09,2025-03-17 11:42:41,5.0,374.826412,5,1,,,,,,,,,
55924188010538,55924167010538,2003,25,1,1,1064,2,1,316.0,32,0.0005,,,2005-09-08 07:39:09,2025-03-17 11:42:41,1.0,74.965282,5,1,,,,,,,,,
55924190010538,55924167010538,2003,25,1,1,1064,3,1,802.0,25,0.0016,,,2005-09-08 07:39:09,2025-03-17 11:42:41,4.0,299.86113,5,1,,,,,,,,,
55924192010538,55924167010538,2003,25,1,1,1064,3,1,806.0,28,0.0012,,,2005-09-08 07:39:09,2025-03-17 11:42:41,3.0,224.895847,5,1,,,,,,,,,
55924424010538,55924406010538,2003,25,1,3,38,1,1,315.0,43,0.0003,,,2005-09-08 07:39:11,2025-03-17 11:42:42,2.0,149.930565,5,1,,,,,,,,,
55924426010538,55924406010538,2003,25,1,3,38,1,1,318.0,31,0.0001,,,2005-09-08 07:39:11,2025-03-17 11:42:42,1.0,74.965282,5,1,,,,,,,,,
55924422010538,55924406010538,2003,25,1,3,38,1,1,531.0,33,0.0006,,,2005-09-08 07:39:11,2025-03-17 11:42:42,4.0,299.86113,5,1,,,,,,,,,
55924428010538,55924406010538,2003,25,1,3,38,1,1,762.0,41,0.0024,,,2005-09-08 07:39:11,2025-03-17 11:42:42,1.0,74.965282,5,1,,,,,,,,,
55924432010538,55924406010538,2003,25,1,3,38,2,1,315.0,43,0.0006,,,2005-09-08 07:39:11,2025-03-17 11:42:42,4.0,299.86113,5,1,,,,,,,,,
55924430010538,55924406010538,2003,25,1,3,38,2,1,318.0,31,0.0006,,,2005-09-08 07:39:11,2025-03-17 11:42:42,4.0,299.86113,5,1,,,,,,,,,
55924434010538,55924406010538,2003,25,1,3,38,2,1,531.0,33,0.0003,,,2005-09-08 07:39:11,2025-03-17 11:42:42,2.0,149.930565,5,1,,,,,,,,,
55924440010538,55924406010538,2003,25,1,3,38,3,1,315.0,43,0.0001,,,2005-09-08 07:39:11,2025-03-17 11:42:42,1.0,74.965282,5,1,,,,,,,,,
55924438010538,55924406010538,2003,25,1,3,38,3,1,318.0,31,0.0007,,,2005-09-08 07:39:11,2025-03-17 11:42:42,5.0,374.826412,5,1,,,,,,,,,
55924436010538,55924406010538,2003,25,1,3,38,3,1,531.0,33,0.0007,,,2005-09-08 07:39:11,2025-03-17 11:42:42,5.0,374.826412,5,1,,,,,,,,,
55924442010538,55924406010538,2003,25,1,3,38,3,1,762.0,41,0.0024,,,2005-09-08 07:39:11,2025-03-17 11:42:42,1.0,74.965282,5,1,,,,,,,,,
55924446010538,55924406010538,2003,25,1,3,38,4,1,315.0,43,0.0006,,,2005-09-08 07:39:11,2025-03-17 11:42:42,4.0,299.86113,5,1,,,,,,,,,
55924444010538,55924406010538,2003,25,1,3,38,4,1,531.0,33,0.0009,,,2005-09-08 07:39:11,2025-03-17 11:42:42,6.0,449.791695,5,1,,,,,,,,,
55924448010538,55924406010538,2003,25,1,3,38,4,1,762.0,41,0.0024,,,2005-09-08 07:39:11,2025-03-17 11:42:42,1.0,74.965282,5,1,,,,,,,,,
55924696010538,55924670010538,2003,25,1,3,254,1,1,316.0,32,0.0013,,,2005-09-08 07:39:13,2025-03-17 11:42:43,2.0,149.930565,5,1,,,,,,,,,
55924694010538,55924670010538,2003,25,1,3,254,1,1,318.0,31,0.0011,,,2005-09-08 07:39:13,2025-03-17 11:42:43,6.0,449.791695,5,1,,,,,,,,,
55924692010538,55924670010538,2003,25,1,3,254,1,1,762.0,41,0.0188,,,2005-09-08 07:39:13,2025-03-17 11:42:43,6.0,449.791695,5,1,,,,,,,,,
55924698010538,55924670010538,2003,25,1,3,254,1,1,833.0,26,0.0005,,,2005-09-08 07:39:13,2025-03-17 11:42:43,1.0,74.965282,5,1,,,,,,,,,
55924704010538,55924670010538,2003,25,1,3,254,2,1,316.0,32,0.0006,,,2005-09-08 07:39:13,2025-03-17 11:42:43,1.0,74.965282,5,1,,,,,,,,,
55924702010538,55924670010538,2003,25,1,3,254,2,1,318.0,31,0.0004,,,2005-09-08 07:39:13,2025-03-17 11:42:43,2.0,149.930565,5,1,,,,,,,,,
55924700010538,55924670010538,2003,25,1,3,254,2,1,391.0,43,0.0025,,,2005-09-08 07:39:13,2025-03-17 11:42:43,4.0,299.86113,5,1,,,,,,,,,
55924708010538,55924670010538,2003,25,1,3,254,3,1,318.0,31,0.0002,,,2005-09-08 07:39:13,2025-03-17 11:42:43,1.0,74.965282,5,1,,,,,,,,,
55924706010538,55924670010538,2003,25,1,3,254,3,1,400.0,29,0.0005,,,2005-09-08 07:39:13,2025-03-17 11:42:43,1.0,74.965282,5,1,,,,,,,,,
55925297010538,55925279010538,2003,25,1,3,336,1,1,318.0,31,0.0009,,,2005-09-08 07:39:18,2025-03-17 11:42:43,6.0,449.791695,5,1,,,,,,,,,
55925295010538,55925279010538,2003,25,1,3,336,1,1,762.0,41,0.0147,,,2005-09-08 07:39:18,2025-03-17 11:42:43,6.0,449.791695,5,1,,,,,,,,,
55925299010538,55925279010538,2003,25,1,3,336,1,1,833.0,26,0.002,,,2005-09-08 07:39:18,2025-03-17 11:42:43,5.0,374.826412,5,1,,,,,,,,,
55925301010538,55925279010538,2003,25,1,3,336,1,1,999.0,43,0.0029,,,2005-09-08 07:39:18,2025-03-17 11:42:43,6.0,449.791695,5,1,,,,,,,,,
55925303010538,55925279010538,2003,25,1,3,336,2,1,763.0,43,0.0029,,,2005-09-08 07:39:18,2025-03-17 11:42:43,6.0,449.791695,5,1,,,,,,,,,
55925305010538,55925279010538,2003,25,1,3,336,2,1,833.0,26,0.0008,,,2005-09-08 07:39:18,2025-03-17 11:42:43,2.0,149.930565,5,1,,,,,,,,,
55925319010538,55925279010538,2003,25,1,3,336,3,1,129.0,4,0.0004,,,2005-09-08 07:39:18,2025-03-17 11:42:43,1.0,74.965282,5,1,,,,,,,,,
55925309010538,55925279010538,2003,25,1,3,336,3,1,316.0,32,0.0029,,,2005-09-08 07:39:18,2025-03-17 11:42:43,6.0,449.791695,5,1,,,,,,,,,
55925313010538,55925279010538,2003,25,1,3,336,3,1,318.0,31,0.0004,,,2005-09-08 07:39:18,2025-03-17 11:42:43,3.0,224.895847,5,1,,,,,,,,,
55925317010538,55925279010538,2003,25,1,3,336,3,1,371.0,30,0.0003,,,2005-09-08 07:39:18,2025-03-17 11:42:43,2.0,149.930565,5,1,,,,,,,,,
55925307010538,55925279010538,2003,25,1,3,336,3,1,541.0,36,0.0147,,,2005-09-08 07:39:18,2025-03-17 11:42:43,6.0,449.791695,5,1,,,,,,,,,
55925315010538,55925279010538,2003,25,1,3,336,3,1,762.0,41,0.0073,,,2005-09-08 07:39:18,2025-03-17 11:42:43,3.0,224.895847,5,1,,,,,,,,,
55925311010538,55925279010538,2003,25,1,3,336,3,1,833.0,26,0.0024,,,2005-09-08 07:39:18,2025-03-17 11:42:43,6.0,449.791695,5,1,,,,,,,,,
55925325010538,55925279010538,2003,25,1,3,336,4,1,316.0,32,0.001,,,2005-09-08 07:39:18,2025-03-17 11:42:43,2.0,149.930565,5,1,,,,,,,,,
55925321010538,55925279010538,2003,25,1,3,336,4,1,531.0,33,0.0009,,,2005-09-08 07:39:18,2025-03-17 11:42:43,6.0,449.791695,5,1,,,,,,,,,
55925323010538,55925279010538,2003,25,1,3,336,4,1,833.0,26,0.0004,,,2005-09-08 07:39:18,2025-03-17 11:42:43,1.0,74.965282,5,1,,,,,,,,,
55924773010538,55924757010538,2003,25,1,3,525,1,1,315.0,43,0.0003,,,2005-09-08 07:39:14,2025-03-17 11:42:41,2.0,149.930565,5,1,,,,,,,,,
55924779010538,55924757010538,2003,25,1,3,525,1,1,316.0,32,0.0005,,,2005-09-08 07:39:14,2025-03-17 11:42:41,1.0,74.965282,5,1,,,,,,,,,
55924783010538,55924757010538,2003,25,1,3,525,1,1,372.0,42,0.0001,,,2005-09-08 07:39:14,2025-03-17 11:42:41,1.0,74.965282,5,1,,,,,,,,,
55924781010538,55924757010538,2003,25,1,3,525,1,1,762.0,41,0.0024,,,2005-09-08 07:39:14,2025-03-17 11:42:41,1.0,74.965282,5,1,,,,,,,,,
55924775010538,55924757010538,2003,25,1,3,525,1,1,802.0,25,0.0008,,,2005-09-08 07:39:14,2025-03-17 11:42:41,2.0,149.930565,5,1,,,,,,,,,
55924777010538,55924757010538,2003,25,1,3,525,1,1,833.0,26,0.0008,,,2005-09-08 07:39:14,2025-03-17 11:42:41,2.0,149.930565,5,1,,,,,,,,,
55924785010538,55924757010538,2003,25,1,3,525,3,1,315.0,43,0.0009,,,2005-09-08 07:39:14,2025-03-17 11:42:41,6.0,449.791695,5,1,,,,,,,,,
55924787010538,55924757010538,2003,25,1,3,525,3,1,541.0,36,0.0024,,,2005-09-08 07:39:14,2025-03-17 11:42:41,1.0,74.965282,5,1,,,,,,,,,
55924791010538,55924757010538,2003,25,1,3,525,3,1,802.0,25,0.0004,,,2005-09-08 07:39:14,2025-03-17 11:42:41,1.0,74.965282,5,1,,,,,,,,,
55924789010538,55924757010538,2003,25,1,3,525,3,1,833.0,26,0.0004,,,2005-09-08 07:39:14,2025-03-17 11:42:41,1.0,74.965282,5,1,,,,,,,,,
55924795010538,55924757010538,2003,25,1,3,525,4,1,403.0,29,0.0004,,,2005-09-08 07:39:14,2025-03-17 11:42:41,1.0,74.965282,5,1,,,,,,,,,
55924793010538,55924757010538,2003,25,1,3,525,4,1,833.0,26,0.0004,,,2005-09-08 07:39:14,2025-03-17 11:42:41,1.0,74.965282,5,1,,,,,,,,,
55925534010538,55925518010538,2003,25,1,3,536,1,1,531.0,33,0.0001,,,2005-09-08 07:39:20,2025-03-17 11:42:43,3.0,224.895847,5,1,,,,,,,,,
55925538010538,55925518010538,2003,25,1,3,536,2,1,315.0,43,0.0007,,,2005-09-08 07:39:20,2025-03-17 11:42:43,5.0,374.826412,5,1,,,,,,,,,
55925536010538,55925518010538,2003,25,1,3,536,2,1,531.0,33,0.0009,,,2005-09-08 07:39:20,2025-03-17 11:42:43,6.0,449.791695,5,1,,,,,,,,,
55925540010538,55925518010538,2003,25,1,3,536,2,1,701.0,43,0.0005,,,2005-09-08 07:39:20,2025-03-17 11:42:43,1.0,74.965282,5,1,,,,,,,,,
55925542010538,55925518010538,2003,25,1,3,536,3,1,315.0,43,0.0001,,,2005-09-08 07:39:20,2025-03-17 11:42:43,1.0,74.965282,5,1,,,,,,,,,
55925408010538,55925388010538,2003,25,1,3,577,3,1,833.0,26,0.0008,,,2005-09-08 07:39:19,2025-03-17 11:42:42,2.0,149.930565,5,1,,,,,,,,,
55925544010538,55925518010538,2003,25,1,3,536,4,1,315.0,43,0.0003,,,2005-09-08 07:39:20,2025-03-17 11:42:43,2.0,149.930565,5,1,,,,,,,,,
55925546010538,55925518010538,2003,25,1,3,536,4,1,701.0,43,0.0005,,,2005-09-08 07:39:20,2025-03-17 11:42:43,1.0,74.965282,5,1,,,,,,,,,
55925404010538,55925388010538,2003,25,1,3,577,2,1,403.0,29,0.0004,,,2005-09-08 07:39:19,2025-03-17 11:42:42,1.0,74.965282,5,1,,,,,,,,,
55925406010538,55925388010538,2003,25,1,3,577,3,1,316.0,32,0.0029,,,2005-09-08 07:39:19,2025-03-17 11:42:42,6.0,449.791695,5,1,,,,,,,,,
55925410010538,55925388010538,2003,25,1,3,577,3,1,541.0,36,0.0024,,,2005-09-08 07:39:19,2025-03-17 11:42:42,1.0,74.965282,5,1,,,,,,,,,
55925416010538,55925388010538,2003,25,1,3,577,4,1,129.0,4,0.0004,,,2005-09-08 07:39:19,2025-03-17 11:42:42,1.0,74.965282,5,1,,,,,,,,,
55925412010538,55925388010538,2003,25,1,3,577,4,1,372.0,42,0.0003,,,2005-09-08 07:39:19,2025-03-17 11:42:42,2.0,149.930565,5,1,,,,,,,,,
55925414010538,55925388010538,2003,25,1,3,577,4,1,802.0,25,0.0004,,,2005-09-08 07:39:19,2025-03-17 11:42:42,1.0,74.965282,5,1,,,,,,,,,
55925164010538,55925139010538,2003,25,1,3,622,1,1,315.0,43,0.0001,,,2005-09-08 07:39:17,2025-03-17 11:42:43,1.0,74.965282,5,1,,,,,,,,,
55925154010538,55925139010538,2003,25,1,3,622,1,1,318.0,31,0.0001,,,2005-09-08 07:39:17,2025-03-17 11:42:43,1.0,74.965282,5,1,,,,,,,,,
55925166010538,55925139010538,2003,25,1,3,622,1,1,531.0,33,0.0001,,,2005-09-08 07:39:17,2025-03-17 11:42:43,1.0,74.965282,5,1,,,,,,,,,
