CN,PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,CONDID,COND_STATUS_CD,COND_NONSAMPLE_REASN_CD,RESERVCD,OWNCD,OWNGRPCD,ADFORCD,FORTYPCD,FLDTYPCD,MAPDEN,STDAGE,STDSZCD,FLDSZCD,SITECLCD,SICOND,SIBASE,SISP,STDORGCD,STDORGSP,PROP_BASIS,CONDPROP_UNADJ,MICRPROP_UNADJ,SUBPPROP_UNADJ,MACRPROP_UNADJ,SLOPE,ASPECT,PHYSCLCD,GSSTKCD,ALSTKCD,DSTRBCD1,DSTRBYR1,DSTRBCD2,DSTRBYR2,DSTRBCD3,DSTRBYR3,TRTCD1,TRTYR1,TRTCD2,TRTYR2,TRTCD3,TRTYR3,PRESNFCD,BALIVE,FLDAGE,ALSTK,GSSTK,FORTYPCDCALC,HABTYPCD1,HABTYPCD1_PUB_CD,HABTYPCD1_DESCR_PUB_CD,HABTYPCD2,HABTYPCD2_PUB_CD,HABTYPCD2_DESCR_PUB_CD,MIXEDCONFCD,VOL_LOC_GRP,SITECLCDEST,SITETREE_TREE,SITECL_METHOD,CARBON_DOWN_DEAD,CARBON_LITTER,CARBON_SOIL_ORG,CARBON_UNDERSTORY_AG,CARBON_UNDERSTORY_BG,CREATED_DATE,MODIFIED_DATE,CYCLE,SUBCYCLE,SOIL_ROOTING_DEPTH_PNW,GROUND_LAND_CLASS_PNW,PLANT_STOCKABILITY_FACTOR_PNW,STND_COND_CD_PNWRS,STND_STRUC_CD_PNWRS,STUMP_CD_PNWRS,FIRE_SRS,GRAZING_SRS,HARVEST_TYPE1_SRS,HARVEST_TYPE2_SRS,HARVEST_TYPE3_SRS,LAND_USE_SRS,OPERABILITY_SRS,STAND_STRUCTURE_SRS,NF_COND_STATUS_CD,NF_COND_NONSAMPLE_REASN_CD,CANOPY_CVR_SAMPLE_METHOD_CD,LIVE_CANOPY_CVR_PCT,LIVE_MISSING_CANOPY_CVR_PCT,NBR_LIVE_STEMS,OWNSUBCD,INDUSTRIALCD_FIADB,RESERVCD_5,ADMIN_WITHDRAWN_CD,CHAINING_CD,LAND_COVER_CLASS_CD_RET,AFFORESTATION_CD,PREV_AFFORESTATION_CD,DWM_FUELBED_TYPCD,NVCS_PRIMARY_CLASS,NVCS_LEVEL_1_CD,NVCS_LEVEL_2_CD,NVCS_LEVEL_3_CD,NVCS_LEVEL_4_CD,NVCS_LEVEL_5_CD,NVCS_LEVEL_6_CD,NVCS_LEVEL_7_CD,NVCS_LEVEL_8_CD,AGE_BASIS_CD_PNWRS,COND_STATUS_CHNG_CD_RMRS,CRCOVPCT_RMRS,DOMINANT_SPECIES1_PNWRS,DOMINANT_SPECIES2_PNWRS,DOMINANT_SPECIES3_PNWRS,DSTRBCD1_P2A,DSTRBCD2_P2A,DSTRBCD3_P2A,DSTRBYR1_P2A,DSTRBYR2_P2A,DSTRBYR3_P2A,FLDTYPCD_30,FOREST_COMMUNITY_PNWRS,LAND_USECD_RMRS,MAICF,PCTBARE_RMRS,QMD_RMRS,RANGETYPCD_RMRS,SDIMAX_RMRS,SDIPCT_RMRS,SDI_RMRS,STAND_STRUCTURE_ME_NERS,TREES_PRESENT_NCRS,TREES_PRESENT_NERS,TRTCD1_P2A,TRTCD2_P2A,TRTCD3_P2A,TRTOPCD,TRTYR1_P2A,TRTYR2_P2A,TRTYR3_P2A,LAND_COVER_CLASS_CD,SIEQN_REF_CD,SICOND_FVS,SIBASE_FVS,SISP_FVS,SIEQN_REF_CD_FVS,MQUADPROP_UNADJ,SOILPROP_UNADJ,FOREST_COND_STATUS_CHANGE_CD
9531124010661,9531123010661,1986,24,2,3,4,1,1,,0,25,20,,506,,,45,2,,6,,50,,0,,,1.0,1.0,1.0,,5,5,29,1,1,,,,,,,,,,,,,,93.1884,,,,,,,,,,,,,,,,1.904778,2.816757,23.676674,0.752703,0.083634,2003-09-26 00:00:00,2009-10-28 15:35:38,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9531159010661,9531158010661,1986,24,2,3,5,1,1,,0,46,40,,508,,,65,1,,6,,50,,0,,,1.0,1.0,1.0,,5,5,29,2,1,,,,,,,,,,,,,,114.9431,,,,,,,,,,,,,,,,3.243651,3.627571,23.676674,0.729047,0.081005,2003-09-26 00:00:00,2009-10-28 15:35:39,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9531194010661,9531193010661,1986,24,2,3,15,1,1,,0,46,40,,520,,,65,1,,4,,50,,0,,,1.0,1.0,1.0,,5,5,29,1,1,,,,,,,,,,,,,,104.3651,,,,,,,,,,,,,,,,3.233743,3.627571,23.676674,0.729166,0.081018,2003-09-26 00:00:00,2009-10-28 15:35:39,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9531229010661,9531228010661,1986,24,2,3,27,1,2,,,46,40,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-09-26 00:00:00,2009-10-28 15:35:39,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9531243010661,9531242010661,1986,24,2,3,34,1,2,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-09-26 00:00:00,2009-10-28 15:35:39,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9531245010661,9531244010661,1986,24,2,3,37,1,2,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-09-26 00:00:00,2009-10-28 15:35:39,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9531247010661,9531246010661,1986,24,2,3,38,1,1,,0,46,40,,163,,,65,1,,5,,50,,0,,,1.0,1.0,1.0,,5,5,29,2,2,,,,,,,,,,,,,,42.9867,,,,,,,,,,,,,,,,0.876619,6.115436,34.561515,1.443759,0.160418,2003-09-26 00:00:00,2009-10-28 15:35:39,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9531276010661,9531275010661,1986,24,2,3,39,1,1,,0,46,40,,500,,,5,3,,7,,,,0,,,1.0,1.0,1.0,,0,0,29,3,1,,,,,,,,,,,,,,5.5241,,,,,,,,,,,,,,,,4.1834,2.523212,23.676674,0.887319,0.098591,2003-09-26 00:00:00,2009-10-28 15:35:39,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9531280010661,9531279010661,1986,24,2,3,41,1,1,,0,46,40,,702,,,85,1,,6,,50,,0,,,1.0,1.0,1.0,,5,5,29,3,3,,,,,,,,,,,,,,64.7517,,,,,,,,,,,,,,,,1.801608,4.307565,49.812922,0.712644,0.079183,2003-09-26 00:00:00,2009-10-28 15:35:39,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9531311010661,9531310010661,1986,24,2,3,42,1,2,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-09-26 00:00:00,2009-10-28 15:35:39,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9531313010661,9531312010661,1986,24,2,3,43,1,2,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-09-26 00:00:00,2009-10-28 15:35:39,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9531315010661,9531314010661,1986,24,2,3,44,1,2,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-09-26 00:00:00,2009-10-28 15:35:39,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9531317010661,9531316010661,1986,24,2,3,46,1,1,,0,46,40,,500,,,45,2,,7,,,,0,,,1.0,1.0,1.0,,0,0,29,2,2,,,,,,,,,,,,,,66.332,,,,,,,,,,,,,,,,1.581666,2.816757,23.676674,0.760823,0.084536,2003-09-26 00:00:00,2009-10-28 15:35:39,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9531363010661,9531362010661,1986,24,2,3,47,1,1,,0,46,40,,508,,,-999,1,,4,,50,,0,,,1.0,1.0,1.0,,5,5,29,2,2,,,,,,,,,,,,,,86.2706,,,,,,,,,,,,,,,,2.082991,3.657903,23.676674,0.752247,0.083583,2003-09-26 00:00:00,2009-10-28 15:35:39,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9531403010661,9531402010661,1986,24,2,3,49,1,2,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-09-26 00:00:00,2009-10-28 15:35:39,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9531405010661,9531404010661,1986,24,2,3,50,1,2,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-09-26 00:00:00,2009-10-28 15:35:39,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9531407010661,9531406010661,1986,24,2,3,51,1,2,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-09-26 00:00:00,2009-10-28 15:35:39,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9531409010661,9531408010661,1986,24,2,3,54,1,2,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-09-26 00:00:00,2009-10-28 15:35:39,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9531411010661,9531410010661,1986,24,2,3,55,1,2,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-09-26 00:00:00,2009-10-28 15:35:39,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9531413010661,9531412010661,1986,24,2,3,57,1,1,,0,46,40,,508,,,-999,1,,4,,50,,0,,,1.0,1.0,1.0,,5,5,29,1,1,,,,,,,,,,,,,,116.3507,,,,,,,,,,,,,,,,3.22434,3.657903,23.676674,0.732811,0.081423,2003-09-26 00:00:00,2009-10-28 15:35:39,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9531457010661,9531456010661,1986,24,2,3,84,1,1,,0,46,40,,520,,,45,2,,5,,50,,0,,,1.0,1.0,1.0,,5,5,29,1,1,,,,,,,,,,,,,,58.1559,,,,,,,,,,,,,,,,1.549712,2.816757,23.676674,0.761729,0.084637,2003-09-26 00:00:00,2009-10-28 15:35:39,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9531516010661,9531515010661,1986,24,2,3,86,1,1,,0,46,40,,406,,,45,1,,4,,50,,0,,,1.0,1.0,1.0,,5,5,29,2,1,,,,,,,,,,,,,,121.1871,,,,,,,,,,,,,,,,2.907783,10.542785,29.840258,0.99081,0.11009,2003-09-26 00:00:00,2009-10-28 15:35:40,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9531568010661,9531567010661,1986,24,2,3,87,1,1,,0,46,40,,163,,,-999,3,,6,,50,,0,,,1.0,1.0,1.0,,5,5,19,2,3,,,,,,,,,,,,,,36.0346,,,,,,,,,,,,,,,,0.718341,6.155982,34.561515,1.646342,0.182927,2003-09-26 00:00:00,2009-10-28 15:35:40,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
