CN,PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,SUBP,CONDID,SPCD,SPGRPCD,STOCKING,TREECOUNT,TOTAGE,CREATED_DATE,MODIFIED_DATE,TREECOUNT_CALC,TPA_UNADJ,CYCLE,SUBCYCLE,DAMAGE_AGENT_CD1_SRS,PCT_AFFECTED_DAMAGE_AGENT1_SRS,DAMAGE_AGENT_CD2_SRS,PCT_AFFECTED_DAMAGE_AGENT2_SRS,DAMAGE_AGENT_CD3_SRS,PCT_AFFECTED_DAMAGE_AGENT3_SRS,AGECD_RMRS,COUNTCHKCD_RMRS,SPCD_ID_CD
65480535010538,59912146010538,2004,24,2,3,938,4,1,762.0,41,0.0046,1,,2007-01-29 11:35:29,2025-06-03 09:46:40,1.0,74.965282,6,1,,,,,,,,,
65480713010538,59912336010538,2004,24,2,5,379,1,1,762.0,41,0.0049,1,,2007-01-29 11:35:31,2025-06-03 09:46:39,1.0,74.965282,6,1,,,,,,,,,
65480717010538,59912336010538,2004,24,2,5,379,2,1,316.0,32,0.0489,1,,2007-01-29 11:35:31,2025-06-03 09:46:39,1.0,74.965282,6,1,,,,,,,,,
65480715010538,59912336010538,2004,24,2,5,379,2,1,541.0,36,0.2442,1,,2007-01-29 11:35:31,2025-06-03 09:46:39,1.0,74.965282,6,1,,,,,,,,,
65480753010538,59912376010538,2004,24,2,5,1159,1,1,531.0,33,0.0004,3,,2007-01-29 11:35:32,2025-06-03 09:46:42,3.0,224.895847,6,1,,,,,,,,,
65480755010538,59912376010538,2004,24,2,5,1159,2,1,531.0,33,0.0001,1,,2007-01-29 11:35:32,2025-06-03 09:46:42,1.0,74.965282,6,1,,,,,,,,,
65480759010538,59912376010538,2004,24,2,5,1159,3,1,531.0,33,0.0001,1,,2007-01-29 11:35:33,2025-06-03 09:46:42,1.0,74.965282,6,1,,,,,,,,,
65480757010538,59912376010538,2004,24,2,5,1159,3,1,762.0,41,0.0049,2,,2007-01-29 11:35:32,2025-06-03 09:46:42,2.0,149.930565,6,1,,,,,,,,,
65480761010538,59912376010538,2004,24,2,5,1159,4,1,356.0,43,0.001,2,,2007-01-29 11:35:33,2025-06-03 09:46:42,2.0,149.930565,6,1,,,,,,,,,
65480763010538,59912376010538,2004,24,2,5,1159,4,1,391.0,43,0.0005,1,,2007-01-29 11:35:33,2025-06-03 09:46:42,1.0,74.965282,6,1,,,,,,,,,
65480765010538,59912376010538,2004,24,2,5,1159,4,1,802.0,25,0.0004,1,,2007-01-29 11:35:33,2025-06-03 09:46:42,1.0,74.965282,6,1,,,,,,,,,
