CN,PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,SUBP,CONDID,SPCD,SPGRPCD,STOCKING,TREECOUNT,TOTAGE,CREATED_DATE,MODIFIED_DATE,TREECOUNT_CALC,TPA_UNADJ,CYCLE,SUBCYCLE,DAMAGE_AGENT_CD1_SRS,PCT_AFFECTED_DAMAGE_AGENT1_SRS,DAMAGE_AGENT_CD2_SRS,PCT_AFFECTED_DAMAGE_AGENT2_SRS,DAMAGE_AGENT_CD3_SRS,PCT_AFFECTED_DAMAGE_AGENT3_SRS,AGECD_RMRS,COUNTCHKCD_RMRS,SPCD_ID_CD
66835937010661,66835920010661,2001,38,1,5,20414,1,1,763.0,43,0.0001,3,,2004-06-07 23:21:17,2025-03-31 11:35:55,3.0,224.895847,4,1,,,,,,,,,
66835938010661,66835920010661,2001,38,1,5,20414,1,1,823.0,25,0.0001,2,,2004-06-07 23:21:17,2025-03-31 11:35:55,2.0,149.930565,4,1,,,,,,,,,
66835939010661,66835920010661,2001,38,1,5,20414,2,1,544.0,36,0.0005,3,,2004-06-07 23:21:17,2025-03-31 11:35:55,3.0,224.895847,4,1,,,,,,,,,
66835940010661,66835920010661,2001,38,1,5,20414,2,1,763.0,43,0.0037,6,,2004-06-07 23:21:17,2025-03-31 11:35:55,6.0,449.791695,4,1,,,,,,,,,
66835941010661,66835920010661,2001,38,1,5,20414,2,1,823.0,25,0.001,2,,2004-06-07 23:21:17,2025-03-31 11:35:55,2.0,149.930565,4,1,,,,,,,,,
66835942010661,66835920010661,2001,38,1,5,20414,3,1,544.0,36,0.0014,8,,2004-06-07 23:21:17,2025-03-31 11:35:55,8.0,599.72226,4,1,,,,,,,,,
66835943010661,66835920010661,2001,38,1,5,20414,3,1,763.0,43,0.0037,6,,2004-06-07 23:21:17,2025-03-31 11:35:55,6.0,449.791695,4,1,,,,,,,,,
66835944010661,66835920010661,2001,38,1,5,20414,3,1,823.0,25,0.0005,1,,2004-06-07 23:21:17,2025-03-31 11:35:55,1.0,74.965282,4,1,,,,,,,,,
66835945010661,66835920010661,2001,38,1,5,20414,3,1,972.0,41,0.0002,1,,2004-06-07 23:21:17,2025-03-31 11:35:55,1.0,74.965282,4,1,,,,,,,,,
66835946010661,66835920010661,2001,38,1,5,20414,4,1,500.0,43,0.0005,1,,2004-06-07 23:21:17,2025-03-31 11:35:55,1.0,74.965282,4,1,,,,,,,,,
