CN,PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,SUBP,CONDID,SPCD,SPGRPCD,STOCKING,TREECOUNT,TOTAGE,CREATED_DATE,MODIFIED_DATE,TREECOUNT_CALC,TPA_UNADJ,CYCLE,SUBCYCLE,DAMAGE_AGENT_CD1_SRS,PCT_AFFECTED_DAMAGE_AGENT1_SRS,DAMAGE_AGENT_CD2_SRS,PCT_AFFECTED_DAMAGE_AGENT2_SRS,DAMAGE_AGENT_CD3_SRS,PCT_AFFECTED_DAMAGE_AGENT3_SRS,AGECD_RMRS,COUNTCHKCD_RMRS,SPCD_ID_CD
70972021010661,70971965010661,2001,31,1,37,20231,3,2,544.0,36,0.0001,2,,2004-06-29 05:09:25,2025-10-01 08:39:29,2.0,149.930565,4,1,,,,,,,,,
70972026010661,70971965010661,2001,31,1,37,20231,3,2,552.0,42,0.0001,1,,2004-06-29 05:09:32,2025-10-01 08:39:29,1.0,74.965282,4,1,,,,,,,,,
70972033010661,70971965010661,2001,31,1,37,20231,3,2,682.0,42,0.0001,2,,2004-06-29 05:09:40,2025-10-01 08:39:29,2.0,149.930565,4,1,,,,,,,,,
70972037010661,70971965010661,2001,31,1,37,20231,3,2,763.0,43,0.0001,1,,2004-06-29 05:09:47,2025-10-01 08:39:29,1.0,74.965282,4,1,,,,,,,,,
70972644010661,70972590010661,2001,31,1,39,20238,3,1,462.0,41,0.0002,1,,2004-06-29 05:28:41,2025-10-01 08:39:29,1.0,74.965282,4,1,,,,,,,,,
70980717010661,70980658010661,2001,31,1,51,20234,1,1,544.0,36,0.0057,20,,2004-06-29 09:34:16,2025-10-01 08:39:28,20.0,1499.305649,4,1,,,,,,,,,
70980719010661,70980658010661,2001,31,1,51,20234,1,1,972.0,41,0.01,35,,2004-06-29 09:34:24,2025-10-01 08:39:28,35.0,2623.784886,4,1,,,,,,,,,
70980724010661,70980658010661,2001,31,1,51,20234,2,2,68.0,9,33.8396,9,,2004-06-29 09:34:31,2025-10-01 08:39:28,9.0,674.687542,4,1,,,,,,,,,
70980729010661,70980658010661,2001,31,1,51,20234,2,2,544.0,36,17.3013,3,,2004-06-29 09:34:39,2025-10-01 08:39:28,3.0,224.895847,4,1,,,,,,,,,
70980733010661,70980658010661,2001,31,1,51,20234,2,2,972.0,41,5.7671,1,,2004-06-29 09:34:46,2025-10-01 08:39:28,1.0,74.965282,4,1,,,,,,,,,
70980738010661,70980658010661,2001,31,1,51,20234,3,2,68.0,9,1.3421,5,,2004-06-29 09:34:53,2025-10-01 08:39:28,5.0,374.826412,4,1,,,,,,,,,
70980741010661,70980658010661,2001,31,1,51,20234,3,2,544.0,36,0.8234,2,,2004-06-29 09:35:01,2025-10-01 08:39:28,2.0,149.930565,4,1,,,,,,,,,
70980746010661,70980658010661,2001,31,1,51,20234,3,2,682.0,42,1.1663,3,,2004-06-29 09:35:09,2025-10-01 08:39:28,3.0,224.895847,4,1,,,,,,,,,
70980748010661,70980658010661,2001,31,1,51,20234,4,1,391.0,43,0.002,2,,2004-06-29 09:35:16,2025-10-01 08:39:28,2.0,149.930565,4,1,,,,,,,,,
70980753010661,70980658010661,2001,31,1,51,20234,4,1,544.0,36,0.0026,9,,2004-06-29 09:35:24,2025-10-01 08:39:28,9.0,674.687542,4,1,,,,,,,,,
70980757010661,70980658010661,2001,31,1,51,20234,4,1,682.0,42,0.0039,4,,2004-06-29 09:35:31,2025-10-01 08:39:28,4.0,299.86113,4,1,,,,,,,,,
70980760010661,70980658010661,2001,31,1,51,20234,4,1,972.0,41,0.0046,16,,2004-06-29 09:35:38,2025-10-01 08:39:28,16.0,1199.444519,4,1,,,,,,,,,
70980925010661,70980865010661,2001,31,1,51,20237,1,1,68.0,9,0.0014,3,,2004-06-29 09:40:12,2025-10-01 08:39:28,3.0,224.895847,4,1,,,,,,,,,
70980929010661,70980865010661,2001,31,1,51,20237,1,1,462.0,41,0.0003,1,,2004-06-29 09:40:20,2025-10-01 08:39:28,1.0,74.965282,4,1,,,,,,,,,
70980932010661,70980865010661,2001,31,1,51,20237,1,1,544.0,36,0.0003,1,,2004-06-29 09:40:28,2025-10-01 08:39:28,1.0,74.965282,4,1,,,,,,,,,
70980933010661,70980865010661,2001,31,1,51,20237,1,1,682.0,42,0.0023,2,,2004-06-29 09:40:34,2025-10-01 08:39:28,2.0,149.930565,4,1,,,,,,,,,
70980938010661,70980865010661,2001,31,1,51,20237,1,1,823.0,25,0.0018,2,,2004-06-29 09:40:42,2025-10-01 08:39:28,2.0,149.930565,4,1,,,,,,,,,
70980944010661,70980865010661,2001,31,1,51,20237,1,1,951.0,38,0.0009,6,,2004-06-29 09:40:49,2025-10-01 08:39:28,6.0,449.791695,4,1,,,,,,,,,
70980948010661,70980865010661,2001,31,1,51,20237,2,1,975.0,41,0.0001,1,,2004-06-29 09:40:56,2025-10-01 08:39:28,1.0,74.965282,4,1,,,,,,,,,
70981816010661,70981760010661,2001,31,1,53,20258,1,1,682.0,42,5.2625,20,,2004-06-29 10:08:04,2025-10-01 08:39:29,20.0,1499.305649,4,1,,,,,,,,,
70981820010661,70981760010661,2001,31,1,53,20258,3,1,313.0,41,2.7864,10,,2004-06-29 10:08:12,2025-10-01 08:39:29,10.0,749.652825,4,1,,,,,,,,,
70984722010661,70984672010661,2001,31,1,63,20295,2,1,68.0,9,0.0003,1,,2004-06-29 10:30:42,2025-10-01 08:39:28,1.0,74.965282,4,1,,,,,,,,,
70984727010661,70984672010661,2001,31,1,63,20295,4,1,68.0,9,0.0003,1,,2004-06-29 10:30:42,2025-10-01 08:39:28,1.0,74.965282,4,1,,,,,,,,,
70985762010661,70985716010661,2001,31,1,67,20235,2,2,462.0,41,0.006,8,,2004-06-29 10:30:52,2025-10-01 08:39:28,8.0,599.72226,4,1,,,,,,,,,
70986260010661,70986218010661,2001,31,1,67,20284,2,1,68.0,9,0.2684,1,,2004-06-29 10:30:57,2025-10-01 08:39:28,1.0,74.965282,4,1,,,,,,,,,
70952777010661,70952747010661,2001,31,1,83,20246,1,1,313.0,41,0.0001,2,,2004-06-28 18:46:50,2025-10-01 08:39:28,2.0,149.930565,4,1,,,,,,,,,
70952779010661,70952747010661,2001,31,1,83,20246,1,1,462.0,41,0.0001,4,,2004-06-28 18:46:54,2025-10-01 08:39:28,4.0,299.86113,4,1,,,,,,,,,
