CN,SRV_CN,CTY_CN,PREV_PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,PLOT_STATUS_CD,PLOT_NONSAMPLE_REASN_CD,MEASYEAR,MEASMON,MEASDAY,REMPER,KINDCD,DESIGNCD,RDDISTCD,WATERCD,LAT,LON,ELEV,GROW_TYP_CD,MORT_TYP_CD,P2PANEL,P3PANEL,MANUAL,KINDCD_NC,QA_STATUS,CREATED_DATE,MODIFIED_DATE,MICROPLOT_LOC,DECLINATION,SAMP_METHOD_CD,SUBP_EXAMINE_CD,MACRO_BREAKPOINT_DIA,INTENSITY,CYCLE,SUBCYCLE,TOPO_POSITION_PNW,NF_SAMPLING_STATUS_CD,NF_PLOT_STATUS_CD,NF_PLOT_NONSAMPLE_REASN_CD,P2VEG_SAMPLING_STATUS_CD,P2VEG_SAMPLING_LEVEL_DETAIL_CD,INVASIVE_SAMPLING_STATUS_CD,INVASIVE_SPECIMEN_RULE_CD,DESIGNCD_P2A,MANUAL_DB,SUBPANEL,FUTFORCD_RMRS,MANUAL_NCRS,MANUAL_NERS,MANUAL_RMRS,PAC_ISLAND_PNWRS,PLOT_SEASON_NERS,PREV_MICROPLOT_LOC_RMRS,PREV_PLOT_STATUS_CD_RMRS,REUSECD1,REUSECD2,REUSECD3,GRND_LYR_SAMPLING_STATUS_CD,GRND_LYR_SAMPLING_METHOD_CD
22868229010661,22866867010661,1320361010538,,1983,33,2,3,154,1,,1983,10,0,,0,101,,,44.13896,-71.02729,,,,,,0.0,,,2003-10-07 00:00:00,2024-11-21 10:35:48,,,1,4,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,
22868266010661,22866867010661,1320361010538,,1983,33,2,3,155,1,,1983,10,0,,0,101,,,44.05563,-71.02729,,,,,,0.0,,,2003-10-07 00:00:00,2024-11-21 10:35:48,,,1,4,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,
22868307010661,22866867010661,1320361010538,,1983,33,2,3,156,1,,1983,9,0,,0,101,,,44.00007,-70.99951,,,,,,0.0,,,2003-10-07 00:00:00,2024-11-21 10:35:48,,,1,4,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,
22868366010661,22866867010661,1320361010538,,1983,33,2,3,157,1,,1983,7,0,,0,101,,,43.77785,-70.99951,,,,,,0.0,,,2003-10-07 00:00:00,2024-11-21 10:35:48,,,1,4,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,
22868404010661,22866867010661,1320361010538,,1983,33,2,3,158,1,,1983,7,0,,0,101,,,43.7223,-70.99951,,,,,,0.0,,,2003-10-07 00:00:00,2024-11-21 10:35:48,,,1,4,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,
22868456010661,22866867010661,1320361010538,,1983,33,2,3,159,1,,1983,7,0,,0,101,,,43.69452,-71.02729,,,,,,0.0,,,2003-10-07 00:00:00,2024-11-21 10:35:48,,,1,4,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,
22868516010661,22866867010661,1320361010538,,1983,33,2,3,160,1,,1983,7,0,,0,101,,,43.66674,-71.02729,,,,,,0.0,,,2003-10-07 00:00:00,2024-11-21 10:35:48,,,1,4,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,
22868571010661,22866867010661,1320361010538,,1983,33,2,3,161,2,,1983,6,0,,0,101,,,43.61119,-70.99951,,,,,,0.0,,,2003-10-07 00:00:00,2024-11-21 10:35:48,,,1,4,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,
22868573010661,22866867010661,1320361010538,,1983,33,2,3,162,1,,1983,6,0,,0,101,,,43.52786,-71.02729,,,,,,0.0,,,2003-10-07 00:00:00,2024-11-21 10:35:48,,,1,4,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,
22868611010661,22866867010661,1320361010538,,1983,33,2,3,163,1,,1983,6,0,,0,101,,,43.52786,-71.02729,,,,,,0.0,,,2003-10-07 00:00:00,2024-11-21 10:35:48,,,1,4,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,
