CN,SRV_CN,CTY_CN,PREV_PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,PLOT_STATUS_CD,PLOT_NONSAMPLE_REASN_CD,MEASYEAR,MEASMON,MEASDAY,REMPER,KINDCD,DESIGNCD,RDDISTCD,WATERCD,LAT,LON,ELEV,GROW_TYP_CD,MORT_TYP_CD,P2PANEL,P3PANEL,MANUAL,KINDCD_NC,QA_STATUS,CREATED_DATE,MODIFIED_DATE,MICROPLOT_LOC,DECLINATION,SAMP_METHOD_CD,SUBP_EXAMINE_CD,MACRO_BREAKPOINT_DIA,INTENSITY,CYCLE,SUBCYCLE,TOPO_POSITION_PNW,NF_SAMPLING_STATUS_CD,NF_PLOT_STATUS_CD,NF_PLOT_NONSAMPLE_REASN_CD,P2VEG_SAMPLING_STATUS_CD,P2VEG_SAMPLING_LEVEL_DETAIL_CD,INVASIVE_SAMPLING_STATUS_CD,INVASIVE_SPECIMEN_RULE_CD,DESIGNCD_P2A,MANUAL_DB,SUBPANEL,FUTFORCD_RMRS,MANUAL_NCRS,MANUAL_NERS,MANUAL_RMRS,PAC_ISLAND_PNWRS,PLOT_SEASON_NERS,PREV_MICROPLOT_LOC_RMRS,PREV_PLOT_STATUS_CD_RMRS,REUSECD1,REUSECD2,REUSECD3,GRND_LYR_SAMPLING_STATUS_CD,GRND_LYR_SAMPLING_METHOD_CD
9682851010661,9682850010661,1320371010538,,1987,34,1,1,1,2,,1986,12,0,16.0,0,101,,,39.63901,-74.83294,,2,2,,,0.0,,,2003-09-26 00:00:00,2024-09-13 07:52:12,,,1,4,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,
9682853010661,9682850010661,1320371010538,,1987,34,1,1,2,1,,1986,12,0,16.0,0,101,,,39.66678,-74.74961,,2,2,,,0.0,,,2003-09-26 00:00:00,2024-09-13 07:52:12,,,1,4,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,
9682873010661,9682850010661,1320371010538,,1987,34,1,1,3,2,,1986,12,0,16.0,0,101,,,39.50012,-74.74961,,2,2,,,0.0,,,2003-09-26 00:00:00,2024-09-13 07:52:12,,,1,4,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,
9682875010661,9682850010661,1320371010538,,1987,34,1,1,5,1,,1986,12,0,16.0,0,101,,,39.36123,-74.74961,,2,2,,,0.0,,,2003-09-26 00:00:00,2024-09-13 07:52:12,,,1,4,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,
9682920010661,9682850010661,1320371010538,,1987,34,1,1,6,1,,1986,12,0,16.0,0,101,,,39.33345,-74.77739,,2,2,,,0.0,,,2003-09-26 00:00:00,2024-09-13 07:52:12,,,1,4,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,
9682945010661,9682850010661,1320371010538,,1987,34,1,1,7,1,,1986,12,0,16.0,0,101,,,39.50012,-74.80517,,2,2,,,0.0,,,2003-09-26 00:00:00,2024-09-13 07:52:12,,,1,4,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,
9682968010661,9682850010661,1320371010538,,1987,34,1,1,10,1,,1986,12,0,16.0,0,101,,,39.50012,-74.69405,,2,2,,,0.0,,,2003-09-26 00:00:00,2024-09-13 07:52:12,,,1,4,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,
9682997010661,9682850010661,1320371010538,,1987,34,1,1,12,1,,1986,12,0,16.0,0,101,,,39.52789,-74.69405,,2,2,,,0.0,,,2003-09-26 00:00:00,2024-09-13 07:52:12,,,1,4,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,
9683023010661,9682850010661,1320371010538,,1987,34,1,1,16,1,,1986,12,0,16.0,0,101,,,39.44456,-74.63849,,2,2,,,0.0,,,2003-09-26 00:00:00,2024-09-13 07:52:12,,,1,4,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,
9683044010661,9682850010661,1320371010538,,1987,34,1,1,17,2,,1986,12,0,16.0,0,101,,,39.38901,-74.63849,,2,2,,,0.0,,,2003-09-26 00:00:00,2024-09-13 07:52:12,,,1,4,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,
