CN,PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,SUBP,CONDID,SPCD,SPGRPCD,STOCKING,TREECOUNT,TOTAGE,CREATED_DATE,MODIFIED_DATE,TREECOUNT_CALC,TPA_UNADJ,CYCLE,SUBCYCLE,DAMAGE_AGENT_CD1_SRS,PCT_AFFECTED_DAMAGE_AGENT1_SRS,DAMAGE_AGENT_CD2_SRS,PCT_AFFECTED_DAMAGE_AGENT2_SRS,DAMAGE_AGENT_CD3_SRS,PCT_AFFECTED_DAMAGE_AGENT3_SRS,AGECD_RMRS,COUNTCHKCD_RMRS,SPCD_ID_CD
66085219010538,59774641010538,2004,34,1,1,168,1,1,816.0,43,0.0012,3,,2007-02-07 07:25:43,2025-06-02 12:57:44,3.0,224.895847,5,1,,,,,,,,,
66085221010538,59774641010538,2004,34,1,1,168,2,1,806.0,28,0.0197,1,,2007-02-07 07:25:43,2025-06-02 12:57:44,1.0,74.965282,5,1,,,,,,,,,
66085223010538,59774641010538,2004,34,1,1,168,3,1,356.0,43,0.0005,1,,2007-02-07 07:25:44,2025-06-02 12:57:44,1.0,74.965282,5,1,,,,,,,,,
66085225010538,59774641010538,2004,34,1,1,168,3,1,931.0,41,0.0004,1,,2007-02-07 07:25:44,2025-06-02 12:57:44,1.0,74.965282,5,1,,,,,,,,,
66085227010538,59774641010538,2004,34,1,1,168,4,1,931.0,41,0.0012,3,,2007-02-07 07:25:44,2025-06-02 12:57:44,3.0,224.895847,5,1,,,,,,,,,
66084817010538,59774234010538,2004,34,1,1,399,3,1,835.0,27,0.0008,2,,2007-02-07 07:25:38,2025-06-02 12:57:44,2.0,149.930565,5,1,,,,,,,,,
66084927010538,59774346010538,2004,34,1,1,715,1,1,802.0,25,0.0004,1,,2007-02-07 07:25:39,2025-06-02 12:57:44,1.0,74.965282,5,1,,,,,,,,,
66084931010538,59774346010538,2004,34,1,1,715,3,1,802.0,25,0.0008,2,,2007-02-07 07:25:39,2025-06-02 12:57:44,2.0,149.930565,5,1,,,,,,,,,
66084929010538,59774346010538,2004,34,1,1,715,3,1,837.0,28,0.0004,1,,2007-02-07 07:25:39,2025-06-02 12:57:44,1.0,74.965282,5,1,,,,,,,,,
66084933010538,59774346010538,2004,34,1,1,715,4,1,806.0,28,0.0004,1,,2007-02-07 07:25:40,2025-06-02 12:57:44,1.0,74.965282,5,1,,,,,,,,,
66085286010538,59774709010538,2004,34,1,1,809,1,1,316.0,32,0.0005,1,,2007-02-07 07:25:45,2025-06-02 12:57:44,1.0,74.965282,5,1,,,,,,,,,
66085288010538,59774709010538,2004,34,1,1,809,1,1,693.0,35,0.0001,1,,2007-02-07 07:25:45,2025-06-02 12:57:44,1.0,74.965282,5,1,,,,,,,,,
66085290010538,59774709010538,2004,34,1,1,809,2,1,356.0,43,0.0489,2,,2007-02-07 07:25:45,2025-06-02 12:57:44,2.0,149.930565,5,1,,,,,,,,,
66085292010538,59774709010538,2004,34,1,1,809,3,1,43.0,9,0.0051,1,,2007-02-07 07:25:45,2025-06-02 12:57:44,1.0,74.965282,5,1,,,,,,,,,
66084728010538,59774144010538,2004,34,1,1,811,2,1,816.0,43,0.0067,17,,2007-02-07 07:25:35,2025-06-02 12:57:44,17.0,1274.409802,5,1,,,,,,,,,
66084730010538,59774144010538,2004,34,1,1,811,2,1,835.0,27,0.0004,1,,2007-02-07 07:25:36,2025-06-02 12:57:44,1.0,74.965282,5,1,,,,,,,,,
66084732010538,59774144010538,2004,34,1,1,811,3,1,816.0,43,0.0031,8,,2007-02-07 07:25:36,2025-06-02 12:57:44,8.0,599.72226,5,1,,,,,,,,,
66084734010538,59774144010538,2004,34,1,1,811,3,1,833.0,26,0.0004,1,,2007-02-07 07:25:36,2025-06-02 12:57:44,1.0,74.965282,5,1,,,,,,,,,
66084736010538,59774144010538,2004,34,1,1,811,4,1,816.0,43,0.0035,9,,2007-02-07 07:25:36,2025-06-02 12:57:44,9.0,674.687542,5,1,,,,,,,,,
66084738010538,59774144010538,2004,34,1,1,811,4,1,824.0,28,0.0004,1,,2007-02-07 07:25:36,2025-06-02 12:57:44,1.0,74.965282,5,1,,,,,,,,,
66085632010538,59775065010538,2004,34,1,5,49,1,1,762.0,41,0.0024,1,,2007-02-07 07:25:50,2025-06-02 12:57:44,1.0,74.965282,5,1,,,,,,,,,
66085634010538,59775065010538,2004,34,1,5,49,3,1,531.0,33,0.0001,1,,2007-02-07 07:25:50,2025-06-02 12:57:44,1.0,74.965282,5,1,,,,,,,,,
66085642010538,59775065010538,2004,34,1,5,49,4,1,403.0,29,0.0197,1,,2007-02-07 07:25:51,2025-06-02 12:57:44,1.0,74.965282,5,1,,,,,,,,,
66085638010538,59775065010538,2004,34,1,5,49,4,1,531.0,33,0.0359,5,,2007-02-07 07:25:50,2025-06-02 12:57:44,5.0,374.826412,5,1,,,,,,,,,
66085640010538,59775065010538,2004,34,1,5,49,4,1,541.0,36,0.1221,1,,2007-02-07 07:25:51,2025-06-02 12:57:44,1.0,74.965282,5,1,,,,,,,,,
66085636010538,59775065010538,2004,34,1,5,49,4,1,762.0,41,1.4651,12,,2007-02-07 07:25:50,2025-06-02 12:57:44,12.0,899.583389,5,1,,,,,,,,,
66085534010538,59774961010538,2004,34,1,5,207,2,3,316.0,32,0.0001,6,,2007-02-07 07:25:48,2025-06-02 12:57:44,6.0,449.791695,5,1,,,,,,,,,
66085536010538,59774961010538,2004,34,1,5,207,2,3,611.0,34,0.0001,2,,2007-02-07 07:25:48,2025-06-02 12:57:44,2.0,149.930565,5,1,,,,,,,,,
66085538010538,59774961010538,2004,34,1,5,207,4,2,68.0,9,0.0007,1,,2007-02-07 07:25:48,2025-06-02 12:57:44,1.0,74.965282,5,1,,,,,,,,,
66086237010538,59775678010538,2004,34,1,5,553,4,1,316.0,32,0.0005,1,,2007-02-07 07:25:58,2025-06-02 12:57:44,1.0,74.965282,5,1,,,,,,,,,
66086235010538,59775678010538,2004,34,1,5,553,4,1,693.0,35,0.0001,1,,2007-02-07 07:25:58,2025-06-02 12:57:44,1.0,74.965282,5,1,,,,,,,,,
66085831010538,59775269010538,2004,34,1,5,791,1,1,816.0,43,0.0008,2,,2007-02-07 07:25:53,2025-06-02 12:57:44,2.0,149.930565,5,1,,,,,,,,,
66085833010538,59775269010538,2004,34,1,5,791,2,1,816.0,43,0.0087,22,,2007-02-07 07:25:53,2025-06-02 12:57:44,22.0,1649.236214,5,1,,,,,,,,,
66085835010538,59775269010538,2004,34,1,5,791,3,1,816.0,43,0.002,5,,2007-02-07 07:25:54,2025-06-02 12:57:44,5.0,374.826412,5,1,,,,,,,,,
66085837010538,59775269010538,2004,34,1,5,791,4,1,816.0,43,0.011,28,,2007-02-07 07:25:54,2025-06-02 12:57:44,28.0,2099.027909,5,1,,,,,,,,,
66085718010538,59775148010538,2004,34,1,5,1116,2,2,43.0,9,0.0045,8,,2007-02-07 07:25:52,2025-06-02 12:57:44,8.0,599.72226,5,1,,,,,,,,,
66086428010538,59888265010538,2004,34,1,9,395,2,2,816.0,43,0.0034,7,,2007-02-07 07:26:02,2025-06-02 12:57:44,7.0,524.756977,5,1,,,,,,,,,
66086430010538,59888265010538,2004,34,1,9,395,3,2,816.0,43,0.0039,8,,2007-02-07 07:26:02,2025-06-02 12:57:44,8.0,599.72226,5,1,,,,,,,,,
66086432010538,59888265010538,2004,34,1,9,395,4,2,816.0,43,0.0049,10,,2007-02-07 07:26:03,2025-06-02 12:57:44,10.0,749.652825,5,1,,,,,,,,,
