CN,PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,SUBP,CONDID,SPCD,SPGRPCD,STOCKING,TREECOUNT,TOTAGE,CREATED_DATE,MODIFIED_DATE,TREECOUNT_CALC,TPA_UNADJ,CYCLE,SUBCYCLE,DAMAGE_AGENT_CD1_SRS,PCT_AFFECTED_DAMAGE_AGENT1_SRS,DAMAGE_AGENT_CD2_SRS,PCT_AFFECTED_DAMAGE_AGENT2_SRS,DAMAGE_AGENT_CD3_SRS,PCT_AFFECTED_DAMAGE_AGENT3_SRS,AGECD_RMRS,COUNTCHKCD_RMRS,SPCD_ID_CD
3203451010690,3203427010690,1987,35,3,23,255,1,1,755.0,48,0.0,,,2004-05-28 00:00:00,,6.0,,1,0,,,,,,,,,
3203454010690,3203427010690,1987,35,3,23,255,3,1,755.0,48,0.0,,,2004-05-28 00:00:00,,4.0,,1,0,,,,,,,,,
3203968010690,3203925010690,1987,35,3,23,302,1,1,106.0,23,0.0,,,2004-05-28 00:00:00,,1.0,,1,0,,,,,,,,,
3203970010690,3203925010690,1987,35,3,23,302,1,1,847.0,48,0.0,,,2004-05-28 00:00:00,2009-08-14 10:38:32,2.0,,1,0,,,,,,,,,
3203972010690,3203925010690,1987,35,3,23,302,2,1,106.0,23,0.0,,,2004-05-28 00:00:00,,1.0,,1,0,,,,,,,,,
3203973010690,3203925010690,1987,35,3,23,302,4,1,106.0,23,0.0,,,2004-05-28 00:00:00,,1.0,,1,0,,,,,,,,,
2557804010690,2557715010690,1999,35,1,1,15,1,1,106.0,23,0.0003,,,2004-05-26 00:00:00,,4.0,,2,0,,,,,,,,,
2557805010690,2557715010690,1999,35,1,1,15,1,1,122.0,11,0.0001,,,2004-05-26 00:00:00,,1.0,,2,0,,,,,,,,,
2557806010690,2557715010690,1999,35,1,1,15,3,1,106.0,23,0.0002,,,2004-05-26 00:00:00,,3.0,,2,0,,,,,,,,,
2557807010690,2557715010690,1999,35,1,1,15,3,1,814.0,48,0.0003,,,2004-05-26 00:00:00,,6.0,,2,0,,,,,,,,,
2557808010690,2557715010690,1999,35,1,1,15,4,1,66.0,23,0.0001,,,2004-05-26 00:00:00,,1.0,,2,0,,,,,,,,,
2557809010690,2557715010690,1999,35,1,1,15,4,1,106.0,23,0.0003,,,2004-05-26 00:00:00,,5.0,,2,0,,,,,,,,,
2557951010690,2557912010690,1999,35,1,1,31,1,1,814.0,48,0.0003,,,2004-05-26 00:00:00,,6.0,,2,0,,,,,,,,,
2557952010690,2557912010690,1999,35,1,1,31,3,1,122.0,11,0.0001,,,2004-05-26 00:00:00,,1.0,,2,0,,,,,,,,,
2557953010690,2557912010690,1999,35,1,1,31,3,1,814.0,48,0.0003,,,2004-05-26 00:00:00,,6.0,,2,0,,,,,,,,,
2558028010690,2557954010690,1999,35,1,1,32,1,1,106.0,23,0.0003,,,2004-05-26 00:00:00,,4.0,,2,0,,,,,,,,,
