VALUE,MEANING,TYPGRPCD,MANUAL_START,MANUAL_END,ALLOWED_IN_FIELD,CREATED_DATE,MODIFIED_DATE
935,California white oak (valley oak),920,4.0,,Y,2006-10-12 00:00:00,2009-01-28 09:25:54
940,Tanoak / laurel group,940,1.7,,N,2005-02-23 13:29:34,2009-01-28 09:02:33
941,Tanoak,940,1.7,,Y,2005-02-23 13:29:34,2009-01-28 09:19:53
942,California laurel,940,1.7,,Y,2005-02-23 13:29:34,2009-01-28 09:25:55
943,Giant chinkapin,940,1.7,,Y,2005-02-23 13:29:34,2009-01-28 09:19:10
950,retired (Other western hardwoods group),950,1.7,3.0,N,2005-02-23 13:29:34,
951,retired (Pacific madrone),950,1.7,3.0,Y,2005-02-23 13:29:34,
952,retired (Mesquite woodland),950,1.7,3.0,Y,2005-02-23 13:29:34,
953,retired (Mountain brush woodland),950,1.7,3.0,Y,2005-02-23 13:29:34,
954,retired (Intermountain maple woodland),950,1.7,3.0,Y,2005-02-23 13:29:34,
955,retired (Miscellaneous western hardwoods woodland),950,1.7,3.0,Y,2005-02-23 13:29:34,
960,Other hardwoods group,960,4.0,,Y,2006-10-12 00:00:00,2009-01-28 12:17:53
961,Pacific madrone,960,4.0,,Y,2006-10-12 00:00:00,2009-01-28 09:19:35
962,Other hardwoods,960,4.0,,Y,2006-10-12 00:00:00,2009-01-28 09:19:33
970,Woodland hardwoods group,970,4.0,,Y,2006-10-12 00:00:00,2009-01-28 09:25:55
971,Deciduous oak woodland,970,4.0,,Y,2006-10-12 00:00:00,
972,Evergreen oak woodland,970,4.0,,Y,2006-10-12 00:00:00,2009-01-28 09:19:08
973,Mesquite woodland,970,4.0,,Y,2006-10-12 00:00:00,2009-01-28 09:19:22
974,Cercocarpus (mountain brush) woodland,970,4.0,,Y,2006-10-12 00:00:00,
975,Intermountain maple woodland,970,4.0,,Y,2006-10-12 00:00:00,2009-01-28 09:19:15
976,Miscellaneous woodland hardwoods,970,4.0,,Y,2006-10-12 00:00:00,2009-01-28 09:19:23
980,Tropical hardwoods group,980,1.7,,N,2005-02-23 13:29:34,2009-01-28 11:37:23
981,retired (Sable palm),980,1.7,3.0,Y,2005-02-23 13:29:34,
982,Mangrove,980,1.7,,Y,2005-02-23 13:29:34,2009-01-28 09:19:21
983,Palms,980,4.0,,Y,2006-10-12 00:00:00,2009-01-28 09:19:36
984,Dry forest,980,5.0,,Y,2010-09-24 14:05:46,
985,Moist forest,980,5.0,,Y,2010-09-24 14:05:46,
986,Wet and rain forest,980,5.0,,Y,2010-09-24 14:05:46,
987,Lower montane wet and rain forest,980,5.0,,Y,2010-09-24 14:05:46,
988,Cloud forest,980,5.1,,Y,2014-06-18 12:37:37,
989,Other tropical hardwoods,980,4.0,,Y,2006-10-12 00:00:00,2009-01-28 09:19:34
990,Exotic hardwoods group,990,1.7,,N,2005-02-23 13:29:34,2009-01-28 09:25:56
991,Paulownia,990,1.7,,Y,2005-02-23 13:29:34,2009-01-28 09:19:36
992,Melaleuca,990,1.7,,Y,2005-02-23 13:29:34,2009-01-28 09:19:22
993,Eucalyptus,990,1.7,,Y,2005-02-23 13:29:34,2009-01-28 09:19:07
995,Other exotic hardwoods,990,1.7,,Y,2005-02-23 13:29:34,2009-01-28 09:19:31
999,Nonstocked,999,1.7,,N,2005-02-23 13:29:34,
100,White / red / jack pine group,100,1.7,,N,2005-02-23 13:29:31,2009-01-27 15:21:47
101,Jack pine,100,1.7,,Y,2005-02-23 13:29:31,2009-01-27 15:21:47
102,Red pine,100,1.7,,Y,2005-02-23 13:29:31,2009-01-27 15:21:48
103,Eastern white pine,100,1.7,,Y,2005-02-23 13:29:31,2009-01-27 15:21:49
104,Eastern white pine / eastern hemlock,100,1.7,,Y,2005-02-23 13:29:31,2009-01-27 15:21:49
105,Eastern hemlock,100,1.7,,Y,2005-02-23 13:29:31,2009-01-28 09:19:06
120,Spruce / fir group,120,1.7,,N,2005-02-23 13:29:31,2009-01-27 15:21:50
121,Balsam fir,120,1.7,,Y,2005-02-23 13:29:31,2009-01-28 09:18:54
122,White spruce,120,1.7,,Y,2005-02-23 13:29:31,2009-01-28 09:19:56
123,Red spruce,120,1.7,,Y,2005-02-23 13:29:31,2009-01-28 09:19:43
124,Red spruce / balsam fir,120,1.7,,Y,2005-02-23 13:29:31,2009-01-27 15:21:53
125,Black spruce,120,1.7,,Y,2005-02-23 13:29:31,2009-01-28 09:18:53
126,Tamarack,120,1.7,,Y,2005-02-23 13:29:31,2009-01-28 09:19:52
127,Northern white-cedar,120,1.7,,Y,2005-02-23 13:29:31,2009-01-28 08:16:38
128,Fraser fir,120,4.0,,Y,2006-10-12 00:00:00,2009-01-28 09:19:09
129,Red spruce / Fraser fir,120,4.0,,Y,2006-10-12 00:00:00,2009-01-28 08:02:06
140,Longleaf / slash pine group,140,1.7,,N,2005-02-23 13:29:31,2009-01-28 08:02:06
141,Longleaf pine,140,1.7,,Y,2005-02-23 13:29:31,2009-01-28 08:16:39
142,Slash pine,140,1.7,,Y,2005-02-23 13:29:31,2009-01-28 08:16:39
150,Tropical softwoods group,150,4.0,,Y,2006-10-12 00:00:00,2009-01-28 11:37:22
151,Tropical pines,150,4.0,,Y,2006-10-12 00:00:00,2009-01-28 08:02:08
160,Loblolly / shortleaf pine group,160,1.7,,N,2005-02-23 13:29:32,2009-01-28 08:16:40
161,Loblolly pine,160,1.7,,Y,2005-02-23 13:29:32,2009-01-28 08:16:40
162,Shortleaf pine,160,1.7,,Y,2005-02-23 13:29:32,2009-01-28 08:16:41
163,Virginia pine,160,1.7,,Y,2005-02-23 13:29:32,2009-01-28 08:16:42
164,Sand pine,160,1.7,,Y,2005-02-23 13:29:32,2009-01-28 08:16:42
165,Table Mountain pine,160,1.7,,Y,2005-02-23 13:29:32,2009-01-28 08:16:43
166,Pond pine,160,1.7,,Y,2005-02-23 13:29:32,2009-01-28 08:16:43
167,Pitch pine,160,1.7,,Y,2005-02-23 13:29:32,2009-01-28 08:16:44
168,Spruce pine,160,1.7,,Y,2005-02-23 13:29:32,2009-01-28 08:16:45
170,Other eastern softwoods group,170,4.0,,Y,2006-10-12 00:00:00,2009-01-28 09:12:20
171,Eastern redcedar,170,4.0,,Y,2006-10-12 00:00:00,2009-01-28 08:16:45
172,Florida softwoods,170,4.0,,Y,2006-10-12 00:00:00,2009-01-28 09:19:08
180,Pinyon / juniper group,180,1.7,,N,2005-02-23 13:29:32,2009-01-28 08:16:46
181,retired (Eastern redcedar),180,1.7,3.0,Y,2005-02-23 13:29:32,2009-01-28 08:16:46
182,Rocky Mountain juniper,180,1.7,,Y,2005-02-23 13:29:32,2009-01-28 09:19:45
183,retired (Western juniper),180,1.7,3.0,Y,2005-02-23 13:29:32,2009-01-28 08:16:48
184,Juniper woodland,180,1.7,,Y,2005-02-23 13:29:32,2009-01-28 09:19:17
185,Pinyon / juniper woodland,180,1.7,,Y,2005-02-23 13:29:32,2009-01-28 08:16:49
200,Douglas-fir group,200,1.7,,N,2005-02-23 13:29:32,2009-01-28 08:16:49
201,Douglas-fir,200,1.7,,Y,2005-02-23 13:29:32,2009-01-28 09:19:05
202,Port-Orford-cedar,200,1.7,,Y,2005-02-23 13:29:32,2009-01-28 09:19:40
203,Bigcone Douglas-fir,200,4.0,,Y,2006-10-12 00:00:00,2009-01-28 09:18:50
220,Ponderosa pine group,220,1.7,,N,2005-02-23 13:29:32,2009-01-28 08:16:52
221,Ponderosa pine,220,1.7,,Y,2005-02-23 13:29:32,2009-01-28 09:19:39
222,Incense-cedar,220,1.7,,Y,2005-02-23 13:29:32,2009-01-28 08:16:53
223,retired (Jeffrey pine / Coulter pine / bigcone Douglas-fir),220,1.7,3.0,Y,2005-02-23 13:29:32,
224,Sugar pine,220,1.7,,Y,2005-02-23 13:29:32,2009-01-28 09:19:50
225,Jeffrey pine,220,4.0,,Y,2006-10-12 00:00:00,2009-01-28 09:19:17
226,Coulter pine,220,4.0,,Y,2006-10-12 00:00:00,2009-01-28 09:19:04
240,Western white pine group,240,1.7,,N,2005-02-23 13:29:32,2009-01-28 08:16:55
241,Western white pine,240,1.7,,Y,2005-02-23 13:29:32,2009-01-28 09:20:02
260,Fir / spruce / mountain hemlock group,260,1.7,,N,2005-02-23 13:29:32,
261,White fir,260,1.7,,Y,2005-02-23 13:29:32,2009-01-28 09:19:57
262,Red fir,260,1.7,,Y,2005-02-23 13:29:32,2009-01-28 09:19:42
263,Noble fir,260,1.7,,Y,2005-02-23 13:29:32,2009-01-28 09:19:27
264,Pacific silver fir,260,1.7,,Y,2005-02-23 13:29:32,2009-01-28 09:19:40
265,Engelmann spruce,260,1.7,,Y,2005-02-23 13:29:32,2009-01-28 08:17:21
266,Engelmann spruce / subalpine fir,260,1.7,,Y,2005-02-23 13:29:32,2009-01-28 08:17:22
267,Grand fir,260,1.7,,Y,2005-02-23 13:29:32,2009-01-28 09:19:13
268,Subalpine fir,260,1.7,,Y,2005-02-23 13:29:32,2009-01-28 09:19:46
269,Blue spruce,260,1.7,,Y,2005-02-23 13:29:32,2009-01-28 09:18:57
270,Mountain hemlock,260,1.7,,Y,2005-02-23 13:29:32,2009-01-28 09:19:26
271,Alaska-yellow-cedar,260,1.7,,Y,2005-02-23 13:29:32,2009-01-28 08:41:26
280,Lodgepole pine group,280,1.7,,N,2005-02-23 13:29:32,2009-01-28 08:41:27
281,Lodgepole pine,280,1.7,,Y,2005-02-23 13:29:32,2009-01-28 09:19:20
300,Hemlock / Sitka spruce group,300,1.7,,N,2005-02-23 13:29:32,
301,Western hemlock,300,1.7,,Y,2005-02-23 13:29:32,2009-01-28 09:19:54
304,Western redcedar,300,1.7,,Y,2005-02-23 13:29:32,2009-01-28 09:20:01
305,Sitka spruce,300,1.7,,Y,2005-02-23 13:29:32,2009-01-28 09:19:49
320,Western larch group,320,1.7,,N,2005-02-23 13:29:32,2009-01-28 08:41:30
321,Western larch,320,1.7,,Y,2005-02-23 13:29:32,2009-01-28 09:19:59
340,Redwood group,340,1.7,,N,2005-02-23 13:29:32,2009-01-28 08:41:31
341,Redwood,340,1.7,,Y,2005-02-23 13:29:32,2009-01-28 09:19:44
342,Giant sequoia,340,1.7,,Y,2005-02-23 13:29:32,2009-01-28 09:19:11
360,Other western softwoods group,360,1.7,,N,2005-02-23 13:29:32,2009-01-28 08:41:33
361,Knobcone pine,360,1.7,,Y,2005-02-23 13:29:32,2009-01-28 09:19:18
362,Southwestern white pine,360,1.7,,Y,2005-02-23 13:29:32,2009-01-28 09:19:51
363,Bishop pine,360,1.7,,Y,2005-02-23 13:29:32,2009-01-28 09:18:57
364,Monterey pine,360,1.7,,Y,2005-02-23 13:29:32,2009-01-28 09:19:25
