CN,SRV_CN,CTY_CN,PREV_PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,PLOT_STATUS_CD,PLOT_NONSAMPLE_REASN_CD,MEASYEAR,MEASMON,MEASDAY,REMPER,KINDCD,DESIGNCD,RDDISTCD,WATERCD,LAT,LON,ELEV,GROW_TYP_CD,MORT_TYP_CD,P2PANEL,P3PANEL,MANUAL,KINDCD_NC,QA_STATUS,CREATED_DATE,MODIFIED_DATE,MICROPLOT_LOC,DECLINATION,SAMP_METHOD_CD,SUBP_EXAMINE_CD,MACRO_BREAKPOINT_DIA,INTENSITY,CYCLE,SUBCYCLE,TOPO_POSITION_PNW,NF_SAMPLING_STATUS_CD,NF_PLOT_STATUS_CD,NF_PLOT_NONSAMPLE_REASN_CD,P2VEG_SAMPLING_STATUS_CD,P2VEG_SAMPLING_LEVEL_DETAIL_CD,INVASIVE_SAMPLING_STATUS_CD,INVASIVE_SPECIMEN_RULE_CD,DESIGNCD_P2A,MANUAL_DB,SUBPANEL,FUTFORCD_RMRS,MANUAL_NCRS,MANUAL_NERS,MANUAL_RMRS,PAC_ISLAND_PNWRS,PLOT_SEASON_NERS,PREV_MICROPLOT_LOC_RMRS,PREV_PLOT_STATUS_CD_RMRS,REUSECD1,REUSECD2,REUSECD3,GRND_LYR_SAMPLING_STATUS_CD,GRND_LYR_SAMPLING_METHOD_CD
10178896010661,10178895010661,1320609010538,,1985,44,1,1,1,1,,1984,5,0,12.0,0,101,,,41.69455,-71.27727,,2,2,,,0.0,,,2003-09-26 00:00:00,2024-05-23 08:38:55,,,1,4,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,
10178916010661,10178895010661,1320609010538,,1985,44,1,1,2,1,,1984,5,0,12.0,0,101,,,41.66677,-71.24949,,2,2,,,0.0,,,2003-09-26 00:00:00,2024-05-23 08:38:55,,,1,4,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,
10178942010661,10178895010661,1320609010538,,1985,44,1,1,3,2,,1984,5,0,12.0,0,101,,,41.66677,-71.24949,,2,2,,,0.0,,,2003-09-26 00:00:00,2024-05-23 08:38:55,,,1,4,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,
10178944010661,10178895010661,1320609010538,,1985,44,1,1,4,1,,1984,5,0,12.0,0,101,,,41.72232,-71.24949,,2,2,,,0.0,,,2003-09-26 00:00:00,2024-05-23 08:38:55,,,1,4,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,
10178986010661,10178895010661,1320609010538,,1985,44,1,1,5,2,,1984,5,0,12.0,0,101,,,41.72232,-71.24949,,2,2,,,0.0,,,2003-09-26 00:00:00,2024-05-23 08:38:55,,,1,4,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,
10178988010661,10178895010661,1320609010538,,1985,44,1,1,6,2,,1984,5,0,12.0,0,101,,,41.7501,-71.24949,,2,2,,,0.0,,,2003-09-26 00:00:00,2024-05-23 08:38:55,,,1,4,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,
10178990010661,10178895010661,1320609010538,,1985,44,1,1,7,2,,1984,5,0,12.0,0,101,,,41.7501,-71.27727,,2,2,,,0.0,,,2003-09-26 00:00:00,2024-05-23 08:38:55,,,1,4,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,
10178992010661,10178895010661,1320609010538,,1985,44,1,1,8,1,,1984,5,0,12.0,0,101,,,41.7501,-71.30505,,2,2,,,0.0,,,2003-09-26 00:00:00,2024-05-23 08:38:55,,,1,4,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,
10179020010661,10178895010661,1320609010538,,1985,44,1,1,9,2,,1984,5,0,12.0,0,101,,,41.66677,-71.30505,,2,2,,,0.0,,,2003-09-26 00:00:00,2024-05-23 08:38:55,,,1,4,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,
10179022010661,10178895010661,1320609010538,,1985,44,1,1,12,2,,1984,5,0,,0,101,,,41.69455,-71.27727,,,,,,0.0,,,2003-09-26 00:00:00,2024-05-23 08:38:55,,,1,4,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,
