CN,PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,SUBP,CONDID,SPCD,SPGRPCD,STOCKING,TREECOUNT,TOTAGE,CREATED_DATE,MODIFIED_DATE,TREECOUNT_CALC,TPA_UNADJ,CYCLE,SUBCYCLE,DAMAGE_AGENT_CD1_SRS,PCT_AFFECTED_DAMAGE_AGENT1_SRS,DAMAGE_AGENT_CD2_SRS,PCT_AFFECTED_DAMAGE_AGENT2_SRS,DAMAGE_AGENT_CD3_SRS,PCT_AFFECTED_DAMAGE_AGENT3_SRS,AGECD_RMRS,COUNTCHKCD_RMRS,SPCD_ID_CD
55942545010538,55942529010538,2003,44,1,3,58,1,1,129.0,4,0.0025,,,2005-09-08 07:56:12,2025-03-20 06:42:38,6.0,449.791695,5,1,,,,,,,,,
55942547010538,55942529010538,2003,44,1,3,58,2,1,129.0,4,0.0025,,,2005-09-08 07:56:12,2025-03-20 06:42:38,6.0,449.791695,5,1,,,,,,,,,
55942549010538,55942529010538,2003,44,1,3,58,4,1,129.0,4,0.0025,,,2005-09-08 07:56:12,2025-03-20 06:42:38,6.0,449.791695,5,1,,,,,,,,,
55942553010538,55942529010538,2003,44,1,3,58,4,1,762.0,41,0.0024,,,2005-09-08 07:56:12,2025-03-20 06:42:38,1.0,74.965282,5,1,,,,,,,,,
55942551010538,55942529010538,2003,44,1,3,58,4,1,802.0,25,0.0004,,,2005-09-08 07:56:12,2025-03-20 06:42:38,1.0,74.965282,5,1,,,,,,,,,
55942478010538,55942460010538,2003,44,1,3,144,3,2,972.0,41,0.0003,,,2005-09-08 07:56:12,2025-03-20 06:42:38,1.0,74.965282,5,1,,,,,,,,,
55942480010538,55942460010538,2003,44,1,3,144,4,2,391.0,43,0.0049,,,2005-09-08 07:56:12,2025-03-20 06:42:38,5.0,374.826412,5,1,,,,,,,,,
55942369010538,55942351010538,2003,44,1,3,190,1,1,129.0,4,0.0004,,,2005-09-08 07:56:11,2025-03-20 06:42:38,1.0,74.965282,5,1,,,,,,,,,
55942367010538,55942351010538,2003,44,1,3,190,1,1,931.0,41,0.0004,,,2005-09-08 07:56:11,2025-03-20 06:42:38,1.0,74.965282,5,1,,,,,,,,,
55942377010538,55942351010538,2003,44,1,3,190,2,1,129.0,4,0.0004,,,2005-09-08 07:56:11,2025-03-20 06:42:38,1.0,74.965282,5,1,,,,,,,,,
55942373010538,55942351010538,2003,44,1,3,190,2,1,316.0,32,0.0005,,,2005-09-08 07:56:11,2025-03-20 06:42:38,1.0,74.965282,5,1,,,,,,,,,
55942375010538,55942351010538,2003,44,1,3,190,2,1,372.0,42,0.0001,,,2005-09-08 07:56:11,2025-03-20 06:42:38,1.0,74.965282,5,1,,,,,,,,,
55942371010538,55942351010538,2003,44,1,3,190,2,1,762.0,41,0.0049,,,2005-09-08 07:56:11,2025-03-20 06:42:38,2.0,149.930565,5,1,,,,,,,,,
55942379010538,55942351010538,2003,44,1,3,190,3,1,802.0,25,0.0004,,,2005-09-08 07:56:11,2025-03-20 06:42:38,1.0,74.965282,5,1,,,,,,,,,
55942383010538,55942351010538,2003,44,1,3,190,4,1,316.0,32,0.0005,,,2005-09-08 07:56:11,2025-03-20 06:42:38,1.0,74.965282,5,1,,,,,,,,,
55942385010538,55942351010538,2003,44,1,3,190,4,1,802.0,25,0.0004,,,2005-09-08 07:56:11,2025-03-20 06:42:38,1.0,74.965282,5,1,,,,,,,,,
55942381010538,55942351010538,2003,44,1,3,190,4,1,931.0,41,0.0004,,,2005-09-08 07:56:11,2025-03-20 06:42:38,1.0,74.965282,5,1,,,,,,,,,
55942658010538,55942642010538,2003,44,1,5,112,1,1,762.0,41,0.0024,,,2005-09-08 07:56:13,2025-03-20 06:42:38,1.0,74.965282,5,1,,,,,,,,,
55942660010538,55942642010538,2003,44,1,5,112,2,1,371.0,30,0.0009,,,2005-09-08 07:56:13,2025-03-20 06:42:38,6.0,449.791695,5,1,,,,,,,,,
55942664010538,55942642010538,2003,44,1,5,112,3,1,316.0,32,0.0244,,,2005-09-08 07:56:13,2025-03-20 06:42:38,1.0,74.965282,5,1,,,,,,,,,
55942666010538,55942642010538,2003,44,1,5,112,3,1,391.0,43,0.0489,,,2005-09-08 07:56:13,2025-03-20 06:42:38,2.0,149.930565,5,1,,,,,,,,,
55942668010538,55942642010538,2003,44,1,5,112,3,1,591.0,42,0.0489,,,2005-09-08 07:56:13,2025-03-20 06:42:38,2.0,149.930565,5,1,,,,,,,,,
55942662010538,55942642010538,2003,44,1,5,112,3,1,693.0,35,0.0043,,,2005-09-08 07:56:13,2025-03-20 06:42:38,1.0,74.965282,5,1,,,,,,,,,
55942751010538,55942736010538,2003,44,1,5,204,2,1,371.0,30,0.0001,,,2005-09-08 07:56:14,2025-03-20 06:42:38,1.0,74.965282,5,1,,,,,,,,,
55942753010538,55942736010538,2003,44,1,5,204,3,1,371.0,30,0.0003,,,2005-09-08 07:56:14,2025-03-20 06:42:38,2.0,149.930565,5,1,,,,,,,,,
55942755010538,55942736010538,2003,44,1,5,204,4,1,544.0,36,0.0009,,,2005-09-08 07:56:14,2025-03-20 06:42:38,6.0,449.791695,5,1,,,,,,,,,
55943343010538,55943328010538,2003,44,1,7,7,2,1,316.0,32,0.0005,,,2005-09-08 07:56:19,2025-03-20 06:42:38,1.0,74.965282,5,1,,,,,,,,,
55943345010538,55943328010538,2003,44,1,7,7,2,1,372.0,42,0.0007,,,2005-09-08 07:56:19,2025-03-20 06:42:38,5.0,374.826412,5,1,,,,,,,,,
55943349010538,55943328010538,2003,44,1,7,7,3,1,316.0,32,0.0001,,,2005-09-08 07:56:19,2025-03-20 06:42:38,1.0,74.965282,5,1,,,,,,,,,
55943347010538,55943328010538,2003,44,1,7,7,3,1,372.0,42,0.0001,,,2005-09-08 07:56:19,2025-03-20 06:42:38,1.0,74.965282,5,1,,,,,,,,,
