CN,PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,SUBP,CONDID,SPCD,SPGRPCD,STOCKING,TREECOUNT,TOTAGE,CREATED_DATE,MODIFIED_DATE,TREECOUNT_CALC,TPA_UNADJ,CYCLE,SUBCYCLE,DAMAGE_AGENT_CD1_SRS,PCT_AFFECTED_DAMAGE_AGENT1_SRS,DAMAGE_AGENT_CD2_SRS,PCT_AFFECTED_DAMAGE_AGENT2_SRS,DAMAGE_AGENT_CD3_SRS,PCT_AFFECTED_DAMAGE_AGENT3_SRS,AGECD_RMRS,COUNTCHKCD_RMRS,SPCD_ID_CD
66741000010661,66740950010661,2001,46,1,15,20389,1,1,66.0,23,10.2928,1,,2004-06-07 21:33:57,2025-03-17 06:20:13,1.0,74.965282,5,1,,,,,,,,,
66741003010661,66740950010661,2001,46,1,15,20389,3,1,66.0,23,1.1028,3,,2004-06-07 21:33:57,2025-03-17 06:20:13,3.0,224.895847,5,1,,,,,,,,,
66712527010661,66712470010661,2001,46,1,31,21040,1,1,763.0,43,0.0078,12,,2004-06-07 21:26:00,2025-03-17 06:20:12,12.0,899.583389,5,1,,,,,,,,,
66712530010661,66712470010661,2001,46,1,31,21040,1,1,823.0,25,0.0026,5,,2004-06-07 21:26:00,2025-03-17 06:20:12,5.0,374.826412,5,1,,,,,,,,,
66712534010661,66712470010661,2001,46,1,31,21040,2,1,544.0,36,0.0009,5,,2004-06-07 21:26:00,2025-03-17 06:20:12,5.0,374.826412,5,1,,,,,,,,,
66712538010661,66712470010661,2001,46,1,31,21040,2,1,763.0,43,0.002,3,,2004-06-07 21:26:00,2025-03-17 06:20:12,3.0,224.895847,5,1,,,,,,,,,
66712539010661,66712470010661,2001,46,1,31,21040,4,1,544.0,36,0.0015,8,,2004-06-07 21:26:00,2025-03-17 06:20:12,8.0,599.72226,5,1,,,,,,,,,
66712541010661,66712470010661,2001,46,1,31,21040,4,1,763.0,43,0.013,20,,2004-06-07 21:26:00,2025-03-17 06:20:12,20.0,1499.305649,5,1,,,,,,,,,
66690496010661,66690449010661,2001,46,1,53,20469,2,1,66.0,23,0.2059,1,,2004-06-07 21:18:00,2025-03-17 06:20:11,1.0,74.965282,5,1,,,,,,,,,
66690501010661,66690449010661,2001,46,1,53,20469,4,1,66.0,23,0.4117,2,,2004-06-07 21:18:00,2025-03-17 06:20:11,2.0,149.930565,5,1,,,,,,,,,
66701140010661,66701081010661,2001,46,1,71,20837,1,1,66.0,23,0.0095,1,,2004-06-07 21:22:05,2025-03-17 06:20:11,1.0,74.965282,5,1,,,,,,,,,
66701142010661,66701081010661,2001,46,1,71,20837,1,1,122.0,9,0.0025,1,,2004-06-07 21:22:05,2025-03-17 06:20:11,1.0,74.965282,5,1,,,,,,,,,
66701144010661,66701081010661,2001,46,1,71,20837,2,1,68.0,9,0.0003,1,,2004-06-07 21:22:05,2025-03-17 06:20:11,1.0,74.965282,5,1,,,,,,,,,
66672687010661,66672607010661,2001,46,1,91,20417,4,1,701.0,43,0.0059,12,,2004-06-07 21:14:00,2025-03-17 06:20:13,12.0,899.583389,5,1,,,,,,,,,
66717503010661,66717436010661,2001,46,2,33,20241,1,1,122.0,9,0.0001,1,,2004-06-07 21:27:41,2025-03-17 06:20:13,1.0,74.965282,5,1,,,,,,,,,
66717507010661,66717436010661,2001,46,2,33,20241,4,1,122.0,9,0.0001,1,,2004-06-07 21:27:41,2025-03-17 06:20:13,1.0,74.965282,5,1,,,,,,,,,
66714920010661,66714856010661,2001,46,2,33,20448,1,1,122.0,9,40.0,10,,2004-06-07 21:26:42,2025-03-17 06:20:13,10.0,749.652825,5,1,,,,,,,,,
66714929010661,66714856010661,2001,46,2,33,20448,3,2,94.0,6,0.0017,1,,2004-06-07 21:26:42,2025-03-17 06:20:13,1.0,74.965282,5,1,,,,,,,,,
66714932010661,66714856010661,2001,46,2,33,20448,3,2,122.0,9,0.006,40,,2004-06-07 21:26:42,2025-03-17 06:20:13,40.0,2998.611298,5,1,,,,,,,,,
66714936010661,66714856010661,2001,46,2,33,20448,3,2,375.0,41,0.0098,20,,2004-06-07 21:26:42,2025-03-17 06:20:13,20.0,1499.305649,5,1,,,,,,,,,
66714939010661,66714856010661,2001,46,2,33,20448,4,1,122.0,9,40.0,65,,2004-06-07 21:26:42,2025-03-17 06:20:13,65.0,4872.743359,5,1,,,,,,,,,
66715033010661,66714982010661,2001,46,2,33,20452,4,2,746.0,37,5.3905,6,,2004-06-07 21:26:44,2025-03-17 06:20:13,6.0,449.791695,5,1,,,,,,,,,
66715251010661,66715200010661,2001,46,2,33,20458,4,1,122.0,9,0.0007,19,,2004-06-07 21:26:48,2025-03-17 06:20:13,19.0,1424.340367,5,1,,,,,,,,,
66715561010661,66715506010661,2001,46,2,33,20460,1,1,122.0,9,0.0937,1,,2004-06-07 21:26:52,2025-03-17 06:20:13,1.0,74.965282,5,1,,,,,,,,,
66715567010661,66715506010661,2001,46,2,33,20460,4,1,122.0,9,0.2811,3,,2004-06-07 21:26:52,2025-03-17 06:20:13,3.0,224.895847,5,1,,,,,,,,,
66715728010661,66715659010661,2001,46,2,33,20466,1,1,122.0,9,0.2811,3,,2004-06-07 21:26:57,2025-03-17 06:20:11,3.0,224.895847,5,1,,,,,,,,,
66715734010661,66715659010661,2001,46,2,33,20466,2,1,122.0,9,0.1874,2,,2004-06-07 21:26:57,2025-03-17 06:20:11,2.0,149.930565,5,1,,,,,,,,,
66716386010661,66716290010661,2001,46,2,33,20476,2,2,66.0,23,0.0003,1,,2004-06-07 21:27:08,2025-03-17 06:20:12,1.0,74.965282,5,1,,,,,,,,,
66716392010661,66716290010661,2001,46,2,33,20476,3,2,66.0,23,0.0003,1,,2004-06-07 21:27:08,2025-03-17 06:20:12,1.0,74.965282,5,1,,,,,,,,,
66716394010661,66716290010661,2001,46,2,33,20476,4,2,66.0,23,0.0003,1,,2004-06-07 21:27:08,2025-03-17 06:20:12,1.0,74.965282,5,1,,,,,,,,,
66716397010661,66716290010661,2001,46,2,33,20476,4,2,122.0,9,0.0001,1,,2004-06-07 21:27:08,2025-03-17 06:20:12,1.0,74.965282,5,1,,,,,,,,,
66717948010661,66717881010661,2001,46,2,33,28074,1,1,763.0,43,0.0044,9,,2004-06-07 21:27:48,2025-03-17 06:20:11,9.0,674.687542,5,1,,,,,,,,,
66717955010661,66717881010661,2001,46,2,33,28074,3,1,122.0,9,0.0001,1,,2004-06-07 21:27:48,2025-03-17 06:20:11,1.0,74.965282,5,1,,,,,,,,,
66717958010661,66717881010661,2001,46,2,33,28074,4,1,122.0,9,0.0001,2,,2004-06-07 21:27:48,2025-03-17 06:20:11,2.0,149.930565,5,1,,,,,,,,,
66718556010661,66718493010661,2001,46,2,33,28306,3,2,122.0,9,0.0001,1,,2004-06-07 21:28:00,2025-03-17 06:20:11,1.0,74.965282,5,1,,,,,,,,,
66718681010661,66718593010661,2001,46,2,33,28309,1,1,66.0,23,0.2059,1,,2004-06-07 21:28:02,2025-03-17 06:20:12,1.0,74.965282,5,1,,,,,,,,,
66718683010661,66718593010661,2001,46,2,33,28309,1,1,122.0,9,0.0937,1,,2004-06-07 21:28:02,2025-03-17 06:20:12,1.0,74.965282,5,1,,,,,,,,,
66716901010661,66716849010661,2001,46,2,33,28419,1,1,122.0,9,0.0003,7,,2004-06-07 21:27:25,2025-03-17 06:20:12,7.0,524.756977,5,1,,,,,,,,,
66716903010661,66716849010661,2001,46,2,33,28419,2,1,122.0,9,0.0002,5,,2004-06-07 21:27:25,2025-03-17 06:20:12,5.0,374.826412,5,1,,,,,,,,,
66716912010661,66716849010661,2001,46,2,33,28419,3,1,122.0,9,0.0009,25,,2004-06-07 21:27:25,2025-03-17 06:20:12,25.0,1874.132061,5,1,,,,,,,,,
