CN,PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,SUBP,CONDID,SPCD,SPGRPCD,STOCKING,TREECOUNT,TOTAGE,CREATED_DATE,MODIFIED_DATE,TREECOUNT_CALC,TPA_UNADJ,CYCLE,SUBCYCLE,DAMAGE_AGENT_CD1_SRS,PCT_AFFECTED_DAMAGE_AGENT1_SRS,DAMAGE_AGENT_CD2_SRS,PCT_AFFECTED_DAMAGE_AGENT2_SRS,DAMAGE_AGENT_CD3_SRS,PCT_AFFECTED_DAMAGE_AGENT3_SRS,AGECD_RMRS,COUNTCHKCD_RMRS,SPCD_ID_CD
2849905010690,2849860010690,1993,49,1,3,5,1,1,133.0,23,0.0,,,2004-05-27 00:00:00,,2.0,,1,0,,,,,,,,,
2849906010690,2849860010690,1993,49,1,3,5,3,1,133.0,23,0.0,,,2004-05-27 00:00:00,,3.0,,1,0,,,,,,,,,
2849907010690,2849860010690,1993,49,1,3,5,4,1,133.0,23,0.0,,,2004-05-27 00:00:00,,2.0,,1,0,,,,,,,,,
2850054010690,2850033010690,1993,49,1,3,32,1,1,19.0,12,0.0,,,2004-05-27 00:00:00,,4.0,,1,0,,,,,,,,,
2850055010690,2850033010690,1993,49,1,3,32,2,1,19.0,12,0.0,,,2004-05-27 00:00:00,,2.0,,1,0,,,,,,,,,
2850056010690,2850033010690,1993,49,1,3,32,2,1,746.0,44,0.0,,,2004-05-27 00:00:00,,4.0,,1,0,,,,,,,,,
2850057010690,2850033010690,1993,49,1,3,32,3,1,19.0,12,0.0,,,2004-05-27 00:00:00,,3.0,,1,0,,,,,,,,,
2850058010690,2850033010690,1993,49,1,3,32,3,1,746.0,44,0.0,,,2004-05-27 00:00:00,,1.0,,1,0,,,,,,,,,
2850059010690,2850033010690,1993,49,1,3,32,4,1,746.0,44,5.7485,,,2004-05-27 00:00:00,,1.0,,1,0,,,,,,,,,
2850060010690,2850033010690,1993,49,1,3,32,5,1,19.0,12,0.0,,,2004-05-27 00:00:00,,1.0,,1,0,,,,,,,,,
2850109010690,2850076010690,1993,49,1,3,38,3,1,133.0,23,0.0,,,2004-05-27 00:00:00,,5.0,,1,0,,,,,,,,,
2850110010690,2850076010690,1993,49,1,3,38,4,1,133.0,23,0.0,,,2004-05-27 00:00:00,,1.0,,1,0,,,,,,,,,
2850135010690,2850123010690,1993,49,1,3,43,1,1,65.0,23,0.0,,,2004-05-27 00:00:00,,2.0,,1,0,,,,,,,,,
2850193010690,2850178010690,1993,49,1,3,58,2,1,322.0,48,0.0,,,2004-05-27 00:00:00,,3.0,,1,0,,,,,,,,,
2850194010690,2850178010690,1993,49,1,3,58,3,1,322.0,48,0.0,,,2004-05-27 00:00:00,,3.0,,1,0,,,,,,,,,
2850451010690,2850428010690,1993,49,1,3,105,4,1,133.0,23,0.0,,,2004-05-27 00:00:00,,1.0,,1,0,,,,,,,,,
2850195010690,2850178010690,1993,49,1,3,58,4,1,322.0,48,0.0,,,2004-05-27 00:00:00,,2.0,,1,0,,,,,,,,,
2850327010690,2850301010690,1993,49,1,3,75,1,1,65.0,23,0.0,,,2004-05-27 00:00:00,,1.0,,1,0,,,,,,,,,
2850406010690,2850391010690,1993,49,1,3,97,4,1,65.0,23,0.0,,,2004-05-27 00:00:00,,2.0,,1,0,,,,,,,,,
2850596010690,2850561010690,1993,49,1,3,131,4,1,65.0,23,0.0,,,2004-05-27 00:00:00,,1.0,,1,0,,,,,,,,,
2850707010690,2850672010690,1993,49,1,3,157,2,1,65.0,23,0.0,,,2004-05-27 00:00:00,,1.0,,1,0,,,,,,,,,
2850772010690,2850728010690,1993,49,1,3,159,2,1,65.0,23,0.0,,,2004-05-27 00:00:00,,1.0,,1,0,,,,,,,,,
2850773010690,2850728010690,1993,49,1,3,159,4,1,65.0,23,0.0,,,2004-05-27 00:00:00,,1.0,,1,0,,,,,,,,,
2850791010690,2850774010690,1993,49,1,3,160,3,1,65.0,23,0.0,,,2004-05-27 00:00:00,,1.0,,1,0,,,,,,,,,
2851061010690,2851039010690,1993,49,1,3,223,4,1,65.0,23,0.0,,,2004-05-27 00:00:00,,2.0,,1,0,,,,,,,,,
2851195010690,2851169010690,1993,49,1,3,254,4,1,65.0,23,0.0,,,2004-05-27 00:00:00,,1.0,,1,0,,,,,,,,,
2851221010690,2851202010690,1993,49,1,3,257,1,1,65.0,23,0.0,,,2004-05-27 00:00:00,,1.0,,1,0,,,,,,,,,
2851398010690,2851370010690,1993,49,1,3,292,3,1,65.0,23,0.0,,,2004-05-27 00:00:00,,1.0,,1,0,,,,,,,,,
2851559010690,2851537010690,1993,49,1,3,324,1,1,65.0,23,0.0,,,2004-05-27 00:00:00,,1.0,,1,0,,,,,,,,,
2851597010690,2851573010690,1993,49,1,3,328,3,1,133.0,23,0.0,,,2004-05-27 00:00:00,,1.0,,1,0,,,,,,,,,
2851911010690,2851821010690,1993,49,1,3,393,2,1,322.0,48,0.0,,,2004-05-27 00:00:00,,6.0,,1,0,,,,,,,,,
2851617010690,2851598010690,1993,49,1,3,329,4,1,133.0,23,0.0,,,2004-05-27 00:00:00,,1.0,,1,0,,,,,,,,,
2851796010690,2851780010690,1993,49,1,3,384,3,1,322.0,48,0.0,,,2004-05-27 00:00:00,,6.0,,1,0,,,,,,,,,
2851910010690,2851821010690,1993,49,1,3,393,1,1,322.0,48,0.0,,,2004-05-27 00:00:00,,6.0,,1,0,,,,,,,,,
