CN,SRV_CN,CTY_CN,PREV_PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,PLOT_STATUS_CD,PLOT_NONSAMPLE_REASN_CD,MEASYEAR,MEASMON,MEASDAY,REMPER,KINDCD,DESIGNCD,RDDISTCD,WATERCD,LAT,LON,ELEV,GROW_TYP_CD,MORT_TYP_CD,P2PANEL,P3PANEL,MANUAL,KINDCD_NC,QA_STATUS,CREATED_DATE,MODIFIED_DATE,MICROPLOT_LOC,DECLINATION,SAMP_METHOD_CD,SUBP_EXAMINE_CD,MACRO_BREAKPOINT_DIA,INTENSITY,CYCLE,SUBCYCLE,TOPO_POSITION_PNW,NF_SAMPLING_STATUS_CD,NF_PLOT_STATUS_CD,NF_PLOT_NONSAMPLE_REASN_CD,P2VEG_SAMPLING_STATUS_CD,P2VEG_SAMPLING_LEVEL_DETAIL_CD,INVASIVE_SAMPLING_STATUS_CD,INVASIVE_SPECIMEN_RULE_CD,DESIGNCD_P2A,MANUAL_DB,SUBPANEL,FUTFORCD_RMRS,MANUAL_NCRS,MANUAL_NERS,MANUAL_RMRS,PAC_ISLAND_PNWRS,PLOT_SEASON_NERS,PREV_MICROPLOT_LOC_RMRS,PREV_PLOT_STATUS_CD_RMRS,REUSECD1,REUSECD2,REUSECD3,GRND_LYR_SAMPLING_STATUS_CD,GRND_LYR_SAMPLING_METHOD_CD
10191304010661,10187291010661,1320614010538,,1983,50,2,5,91,1,,1983,8,0,,0,101,,,44.55561,-72.38844,,,,,,0.0,,,2003-09-26 00:00:00,2024-11-26 14:47:19,,,1,4,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,
10191353010661,10187291010661,1320614010538,,1983,50,2,5,92,1,,1983,8,0,,0,101,,,44.22228,-72.33288,,,,,,0.0,,,2003-09-26 00:00:00,2024-11-26 14:47:19,,,1,4,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,
10191407010661,10187291010661,1320614010538,,1983,50,2,5,93,1,,1983,8,0,,0,101,,,44.52783,-72.30511,,,,,,0.0,,,2003-09-26 00:00:00,2024-11-26 14:47:19,,,1,4,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,
10191454010661,10187291010661,1320614010538,,1983,50,2,5,94,1,,1983,8,0,,0,101,,,44.52783,-72.30511,,,,,,0.0,,,2003-09-26 00:00:00,2024-11-26 14:47:19,,,1,4,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,
10191503010661,10187291010661,1320614010538,,1983,50,2,5,95,1,,1983,8,0,,0,101,,,44.50005,-72.24955,,,,,,0.0,,,2003-09-26 00:00:00,2024-11-26 14:47:19,,,1,4,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,
10191547010661,10187291010661,1320614010538,,1983,50,2,5,96,1,,1983,8,0,,0,101,,,44.47228,-72.24955,,,,,,0.0,,,2003-09-26 00:00:00,2024-11-26 14:47:19,,,1,4,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,
10191625010661,10187291010661,1320614010538,,1983,50,2,5,97,1,,1983,8,0,,0,101,,,44.25006,-72.27732,,,,,,0.0,,,2003-09-26 00:00:00,2024-11-26 14:47:19,,,1,4,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,
10191656010661,10187291010661,1320614010538,,1983,50,2,5,98,2,,1983,8,0,,0,101,,,44.22228,-72.24954,,,,,,0.0,,,2003-09-26 00:00:00,2024-11-26 14:47:19,,,1,4,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,
10191658010661,10187291010661,1320614010538,,1983,50,2,5,99,1,,1983,9,0,,0,101,,,44.22228,-72.3051,,,,,,0.0,,,2003-09-26 00:00:00,2024-11-26 14:47:19,,,1,4,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,
10191698010661,10187291010661,1320614010538,,1983,50,2,5,100,1,,1983,8,0,,0,101,,,44.19451,-72.27732,,,,,,0.0,,,2003-09-26 00:00:00,2024-11-26 14:47:19,,,1,4,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,
