CN,PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,SUBP,CONDID,SPCD,SPGRPCD,STOCKING,TREECOUNT,TOTAGE,CREATED_DATE,MODIFIED_DATE,TREECOUNT_CALC,TPA_UNADJ,CYCLE,SUBCYCLE,DAMAGE_AGENT_CD1_SRS,PCT_AFFECTED_DAMAGE_AGENT1_SRS,DAMAGE_AGENT_CD2_SRS,PCT_AFFECTED_DAMAGE_AGENT2_SRS,DAMAGE_AGENT_CD3_SRS,PCT_AFFECTED_DAMAGE_AGENT3_SRS,AGECD_RMRS,COUNTCHKCD_RMRS,SPCD_ID_CD
55949671010538,55949653010538,2003,50,2,5,122,2,1,129.0,4,0.0004,,,2005-09-08 08:00:53,2025-03-31 06:30:52,1.0,74.965282,6,1,,,,,,,,,
55949669010538,55949653010538,2003,50,2,5,122,2,1,541.0,36,0.0024,,,2005-09-08 08:00:53,2025-03-31 06:30:52,1.0,74.965282,6,1,,,,,,,,,
55949673010538,55949653010538,2003,50,2,5,122,4,1,541.0,36,0.0024,,,2005-09-08 08:00:53,2025-03-31 06:30:52,1.0,74.965282,6,1,,,,,,,,,
55949348010538,55949318010538,2003,50,2,5,219,1,1,97.0,6,0.0008,,,2005-09-08 08:00:51,2025-03-31 06:30:51,1.0,74.965282,6,1,,,,,,,,,
55949344010538,55949318010538,2003,50,2,5,219,1,1,261.0,7,0.0001,,,2005-09-08 08:00:51,2025-03-31 06:30:51,2.0,149.930565,6,1,,,,,,,,,
55949342010538,55949318010538,2003,50,2,5,219,1,1,318.0,31,0.0017,,,2005-09-08 08:00:51,2025-03-31 06:30:51,6.0,449.791695,6,1,,,,,,,,,
55949346010538,55949318010538,2003,50,2,5,219,1,1,531.0,33,0.0003,,,2005-09-08 08:00:51,2025-03-31 06:30:51,1.0,74.965282,6,1,,,,,,,,,
55949340010538,55949318010538,2003,50,2,5,219,1,1,541.0,36,0.0281,,,2005-09-08 08:00:51,2025-03-31 06:30:51,6.0,449.791695,6,1,,,,,,,,,
55949352010538,55949318010538,2003,50,2,5,219,2,1,12.0,6,0.0041,,,2005-09-08 08:00:51,2025-03-31 06:30:51,5.0,374.826412,6,1,,,,,,,,,
55949350010538,55949318010538,2003,50,2,5,219,2,1,261.0,7,0.0004,,,2005-09-08 08:00:51,2025-03-31 06:30:51,6.0,449.791695,6,1,,,,,,,,,
