CN,SRV_CN,CTY_CN,PREV_PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,PLOT_STATUS_CD,PLOT_NONSAMPLE_REASN_CD,MEASYEAR,MEASMON,MEASDAY,REMPER,KINDCD,DESIGNCD,RDDISTCD,WATERCD,LAT,LON,ELEV,GROW_TYP_CD,MORT_TYP_CD,P2PANEL,P3PANEL,MANUAL,KINDCD_NC,QA_STATUS,CREATED_DATE,MODIFIED_DATE,MICROPLOT_LOC,DECLINATION,SAMP_METHOD_CD,SUBP_EXAMINE_CD,MACRO_BREAKPOINT_DIA,INTENSITY,CYCLE,SUBCYCLE,TOPO_POSITION_PNW,NF_SAMPLING_STATUS_CD,NF_PLOT_STATUS_CD,NF_PLOT_NONSAMPLE_REASN_CD,P2VEG_SAMPLING_STATUS_CD,P2VEG_SAMPLING_LEVEL_DETAIL_CD,INVASIVE_SAMPLING_STATUS_CD,INVASIVE_SPECIMEN_RULE_CD,DESIGNCD_P2A,MANUAL_DB,SUBPANEL,FUTFORCD_RMRS,MANUAL_NCRS,MANUAL_NERS,MANUAL_RMRS,PAC_ISLAND_PNWRS,PLOT_SEASON_NERS,PREV_MICROPLOT_LOC_RMRS,PREV_PLOT_STATUS_CD_RMRS,REUSECD1,REUSECD2,REUSECD3,GRND_LYR_SAMPLING_STATUS_CD,GRND_LYR_SAMPLING_METHOD_CD
7340111010661,7340053010661,1320628010538,,1989,54,2,1,5,1,,1987,10,0,14.0,0,101,,,39.02788,-79.88868,,2,2,,,0.0,,,2003-09-25 00:00:00,2024-10-22 07:18:30,,,1,4,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,
7340231010661,7340053010661,1320628010538,,1989,54,2,1,13,1,,1987,8,0,14.0,0,101,,,39.16676,-79.9998,,2,2,,,0.0,,,2003-09-25 00:00:00,2024-10-22 07:18:30,,,1,4,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,
7340282010661,7340053010661,1320628010538,,1989,54,2,1,14,1,,1987,9,0,14.0,0,101,,,39.13899,-79.9998,,2,2,,,0.0,,,2003-09-25 00:00:00,2024-10-22 07:18:30,,,1,4,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,
7340335010661,7340053010661,1320628010538,,1989,54,2,1,16,1,,1987,9,0,14.0,0,101,,,39.0001,-79.9998,,2,2,,,0.0,,,2003-09-25 00:00:00,2024-10-22 07:18:30,,,1,4,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,
7340389010661,7340053010661,1320628010538,,1989,54,2,1,17,1,,1987,10,0,14.0,0,101,,,38.94455,-79.9998,,2,2,,,0.0,,,2003-09-25 00:00:00,2024-10-22 07:18:30,,,1,4,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,
7340449010661,7340053010661,1320628010538,,1989,54,2,1,18,1,,1987,10,0,14.0,0,101,,,38.94455,-80.05536,,2,2,,,0.0,,,2003-09-25 00:00:00,2024-10-22 07:18:30,,,1,4,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,
7340531010661,7340053010661,1320628010538,,1989,54,2,1,19,1,,1987,10,0,14.0,0,101,,,39.05566,-80.05536,,2,2,,,0.0,,,2003-09-25 00:00:00,2024-10-22 07:18:30,,,1,4,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,
7340596010661,7340053010661,1320628010538,,1989,54,2,1,20,1,,1987,9,0,14.0,0,101,,,39.19454,-80.11092,,2,2,,,0.0,,,2003-09-25 00:00:00,2024-10-22 07:18:30,,,1,4,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,
7340643010661,7340053010661,1320628010538,,1989,54,2,1,21,2,,1987,9,0,14.0,0,101,,,39.16676,-80.11092,,2,2,,,0.0,,,2003-09-25 00:00:00,2024-10-22 07:18:30,,,1,4,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,
7340662010661,7340053010661,1320628010538,,1989,54,2,1,23,2,,1987,9,0,14.0,0,101,,,39.13898,-80.22203,,2,2,,,0.0,,,2003-09-25 00:00:00,2024-10-22 07:18:30,,,1,4,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,
