CN,PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,SUBP,CONDID,SPCD,SPGRPCD,STOCKING,TREECOUNT,TOTAGE,CREATED_DATE,MODIFIED_DATE,TREECOUNT_CALC,TPA_UNADJ,CYCLE,SUBCYCLE,DAMAGE_AGENT_CD1_SRS,PCT_AFFECTED_DAMAGE_AGENT1_SRS,DAMAGE_AGENT_CD2_SRS,PCT_AFFECTED_DAMAGE_AGENT2_SRS,DAMAGE_AGENT_CD3_SRS,PCT_AFFECTED_DAMAGE_AGENT3_SRS,AGECD_RMRS,COUNTCHKCD_RMRS,SPCD_ID_CD
3039190010690,3039175010690,1984,56,1,13,139,1,1,65.0,23,0.0,,,2004-05-27 00:00:00,,5.0,,1,0,,,,,,,,,
3039585010690,3039532010690,1984,56,1,13,164,1,1,65.0,23,0.0,,,2004-05-27 00:00:00,,6.0,,1,0,,,,,,,,,
3039586010690,3039532010690,1984,56,1,13,164,1,1,113.0,24,0.0,,,2004-05-27 00:00:00,,3.0,,1,0,,,,,,,,,
3039743010690,3039693010690,1984,56,1,13,170,1,1,65.0,23,0.0,,,2004-05-27 00:00:00,,5.0,,1,0,,,,,,,,,
3040386010690,3040334010690,1984,56,1,13,208,1,1,65.0,23,0.0,,,2004-05-27 00:00:00,,2.0,,1,0,,,,,,,,,
3040438010690,3040388010690,1984,56,1,13,209,1,1,65.0,23,0.0,,,2004-05-27 00:00:00,,5.0,,1,0,,,,,,,,,
3044284010690,3044249010690,1984,56,1,13,443,4,1,920.0,47,0.0,,,2004-05-27 00:00:00,2009-11-09 12:04:33,6.0,,1,0,,,,,,,,,
3047294010690,3047238010690,1984,56,1,13,628,1,1,66.0,23,0.0,,,2004-05-27 00:00:00,,6.0,,1,0,,,,,,,,,
3048497010690,3048473010690,1984,56,1,13,718,1,1,65.0,23,0.0,,,2004-05-27 00:00:00,,4.0,,1,0,,,,,,,,,
3050208010690,3050192010690,1984,56,1,13,837,1,1,66.0,23,0.0,,,2004-05-27 00:00:00,,5.0,,1,0,,,,,,,,,
3052670010690,3052616010690,1984,56,1,13,10974,1,1,65.0,23,0.0,,,2004-05-27 00:00:00,,3.0,,1,0,,,,,,,,,
3052671010690,3052616010690,1984,56,1,13,10974,1,1,113.0,24,0.0,,,2004-05-27 00:00:00,,2.0,,1,0,,,,,,,,,
3052705010690,3052672010690,1984,56,1,13,10975,1,1,65.0,23,0.0,,,2004-05-27 00:00:00,,5.0,,1,0,,,,,,,,,
3052706010690,3052672010690,1984,56,1,13,10975,1,1,113.0,24,0.0,,,2004-05-27 00:00:00,,1.0,,1,0,,,,,,,,,
3058306010690,3058273010690,1984,56,1,17,34,1,1,66.0,23,0.0,,,2004-05-27 00:00:00,,6.0,,1,0,,,,,,,,,
3059330010690,3059284010690,1984,56,1,17,120,1,1,65.0,23,0.0,,,2004-05-27 00:00:00,,6.0,,1,0,,,,,,,,,
3059713010690,3059682010690,1984,56,1,17,144,1,1,65.0,23,0.0,,,2004-05-27 00:00:00,,6.0,,1,0,,,,,,,,,
3060324010690,3060276010690,1984,56,1,17,201,1,1,66.0,23,0.0,,,2004-05-27 00:00:00,,4.0,,1,0,,,,,,,,,
3070074010690,3070056010690,1984,56,1,23,157,1,1,202.0,10,0.0,,,2004-05-27 00:00:00,,2.0,,1,0,,,,,,,,,
3092731010690,3092668010690,1984,56,1,29,684,1,1,66.0,23,0.0,,,2004-05-27 00:00:00,,1.0,,1,0,,,,,,,,,
3092732010690,3092668010690,1984,56,1,29,684,1,1,113.0,24,0.0,,,2004-05-27 00:00:00,,2.0,,1,0,,,,,,,,,
3101313010690,3101279010690,1984,56,1,37,813,1,1,65.0,23,0.0,,,2004-05-27 00:00:00,,2.0,,1,0,,,,,,,,,
3101879010690,3101838010690,1984,56,1,37,949,1,1,65.0,23,0.0,,,2004-05-27 00:00:00,,2.0,,1,0,,,,,,,,,
3102126010690,3102110010690,1984,56,1,37,1023,1,1,65.0,23,0.0,,,2004-05-27 00:00:00,,2.0,,1,0,,,,,,,,,
3102787010690,3102734010690,1984,56,1,41,1,1,1,65.0,23,0.0,,,2004-05-27 00:00:00,,3.0,,1,0,,,,,,,,,
3102874010690,3102857010690,1984,56,1,41,6,1,1,65.0,23,0.0,,,2004-05-27 00:00:00,,3.0,,1,0,,,,,,,,,
3102963010690,3102945010690,1984,56,1,41,18,1,1,65.0,23,0.0,,,2004-05-27 00:00:00,,5.0,,1,0,,,,,,,,,
3103815010690,3103798010690,1984,56,1,41,99,1,1,65.0,23,0.0,,,2004-05-27 00:00:00,,6.0,,1,0,,,,,,,,,
3103894010690,3103858010690,1984,56,1,41,106,1,1,65.0,23,0.0,,,2004-05-27 00:00:00,,2.0,,1,0,,,,,,,,,
3104793010690,3104740010690,1984,56,1,41,186,1,1,96.0,18,0.0,,,2004-05-27 00:00:00,,1.0,,1,0,,,,,,,,,
3104794010690,3104740010690,1984,56,1,41,186,5,1,96.0,18,0.0,,,2004-05-27 00:00:00,,6.0,,1,0,,,,,,,,,
3104840010690,3104813010690,1984,56,1,41,188,2,1,746.0,44,0.0,,,2004-05-27 00:00:00,,1.0,,1,0,,,,,,,,,
3104841010690,3104813010690,1984,56,1,41,188,4,1,746.0,44,0.0,,,2004-05-27 00:00:00,,6.0,,1,0,,,,,,,,,
3105098010690,3105071010690,1984,56,1,41,202,3,1,19.0,12,0.0,,,2004-05-27 00:00:00,,1.0,,1,0,,,,,,,,,
3105099010690,3105071010690,1984,56,1,41,202,4,1,19.0,12,0.0,,,2004-05-27 00:00:00,,2.0,,1,0,,,,,,,,,
3105100010690,3105071010690,1984,56,1,41,202,4,1,746.0,44,0.0,,,2004-05-27 00:00:00,,2.0,,1,0,,,,,,,,,
3105101010690,3105071010690,1984,56,1,41,202,5,1,19.0,12,0.0,,,2004-05-27 00:00:00,,2.0,,1,0,,,,,,,,,
3105135010690,3105102010690,1984,56,1,41,203,2,1,19.0,12,0.0,,,2004-05-27 00:00:00,,1.0,,1,0,,,,,,,,,
3105136010690,3105102010690,1984,56,1,41,203,2,1,108.0,21,0.0,,,2004-05-27 00:00:00,,6.0,,1,0,,,,,,,,,
3105137010690,3105102010690,1984,56,1,41,203,3,1,19.0,12,0.0,,,2004-05-27 00:00:00,,2.0,,1,0,,,,,,,,,
