DAMAGE_AGENT_CD,official_label,scientific_name_or_other,official_group_code,agent_group,is_insect_agent,threshold,region,source,source_pdf_page,definition_source_version,manual_version_applicability,code_status,review_status
0,No Damage,,0,No Damage,FALSE,,All,"USDA Forest Service FIADB User Guides, Database Description v9.4, Appendix H",940,FIADB Database Description 9.4 (2025-08),not_established_by_source_appendix,current_in_v9.4,official_v9.4_definition_only
10000,General Insects,,10000,General Insects,TRUE,Any damage to the terminal leader; damage >=20% of the roots or boles with >20% of the circumference affected; damage >20% of the multiple-stems (on multi-stemmed woodland species) with >20% of the circumference affected; >20% of the branches affected; damage >=20% of the foliage with >=50% of the leaf/needle affected.,All,"USDA Forest Service FIADB User Guides, Database Description v9.4, Appendix H",940,FIADB Database Description 9.4 (2025-08),not_established_by_source_appendix,current_in_v9.4,official_v9.4_definition_only
10001,thrips,,10000,General Insects,TRUE,,,"USDA Forest Service FIADB User Guides, Database Description v9.4, Appendix H",940,FIADB Database Description 9.4 (2025-08),not_established_by_source_appendix,current_in_v9.4,official_v9.4_definition_only
10002,Pine tip moth,,10000,General Insects,TRUE,,,"USDA Forest Service FIADB User Guides, Database Description v9.4, Appendix H",940,FIADB Database Description 9.4 (2025-08),not_established_by_source_appendix,current_in_v9.4,official_v9.4_definition_only
10003,wasp,,10000,General Insects,TRUE,,,"USDA Forest Service FIADB User Guides, Database Description v9.4, Appendix H",940,FIADB Database Description 9.4 (2025-08),not_established_by_source_appendix,current_in_v9.4,official_v9.4_definition_only
10004,Chinese rose beetle,Adoretus sinicus,10000,General Insects,TRUE,,,"USDA Forest Service FIADB User Guides, Database Description v9.4, Appendix H",940,FIADB Database Description 9.4 (2025-08),not_established_by_source_appendix,current_in_v9.4,official_v9.4_definition_only
10005,rose beetle,Adoretus versutus,10000,General Insects,TRUE,,,"USDA Forest Service FIADB User Guides, Database Description v9.4, Appendix H",940,FIADB Database Description 9.4 (2025-08),not_established_by_source_appendix,current_in_v9.4,official_v9.4_definition_only
10006,coconut hispid beetle,Brontispa longissima,10000,General Insects,TRUE,,,"USDA Forest Service FIADB User Guides, Database Description v9.4, Appendix H",940,FIADB Database Description 9.4 (2025-08),not_established_by_source_appendix,current_in_v9.4,official_v9.4_definition_only
10007,clerid beetle,Cleridae,10000,General Insects,TRUE,,,"USDA Forest Service FIADB User Guides, Database Description v9.4, Appendix H",940,FIADB Database Description 9.4 (2025-08),not_established_by_source_appendix,current_in_v9.4,official_v9.4_definition_only
10008,weevil,Curculionidae,10000,General Insects,TRUE,,,"USDA Forest Service FIADB User Guides, Database Description v9.4, Appendix H",940,FIADB Database Description 9.4 (2025-08),not_established_by_source_appendix,current_in_v9.4,official_v9.4_definition_only
10009,green rose chafer,Dichelonyx backi,10000,General Insects,TRUE,,,"USDA Forest Service FIADB User Guides, Database Description v9.4, Appendix H",940,FIADB Database Description 9.4 (2025-08),not_established_by_source_appendix,current_in_v9.4,official_v9.4_definition_only
10010,Allegheny mound ant,Formica exsectoides,10000,General Insects,TRUE,,,"USDA Forest Service FIADB User Guides, Database Description v9.4, Appendix H",940,FIADB Database Description 9.4 (2025-08),not_established_by_source_appendix,current_in_v9.4,official_v9.4_definition_only
10011,ant,Formicidae,10000,General Insects,TRUE,,,"USDA Forest Service FIADB User Guides, Database Description v9.4, Appendix H",940,FIADB Database Description 9.4 (2025-08),not_established_by_source_appendix,current_in_v9.4,official_v9.4_definition_only
