species_key,source_code_system,source_species_code,scientific_name,common_name,community_layers,n_states,n_plot_visits,n_conditions,abundance_total,bien_query_name,range_lookup_status,range_review_reason
fia_spcd:832,fia_spcd,832,Quercus prinus,chestnut oak,seedling;tree,28,25480,27165,3909108.44964687,Quercus_prinus,missing,No BIEN range returned
fia_spcd:42,fia_spcd,42,Chamaecyparis nootkatensis,Alaska yellow-cedar,seedling;tree,3,1628,1810,1936629.03696819,Chamaecyparis_nootkatensis,missing,No BIEN range returned
fia_spcd:694,fia_spcd,694,Nyssa biflora,swamp tupelo,seedling;tree,13,11449,12260,926270.251338748,Nyssa_biflora,missing,No BIEN range returned
fia_spcd:431,fia_spcd,431,Chrysolepis chrysophylla var. chrysophylla,"giant chinkapin, golden chinkapin",seedling;tree,3,1801,1883,768620.27673045,Chrysolepis_chrysophylla_var._chrysophylla,missing,No BIEN range returned
fia_spcd:381,fia_spcd,381,Sideroxylon lanuginosum ssp. lanuginosum,gum bumelia,seedling;tree,13,3001,3057,612903.512393001,Sideroxylon_lanuginosum_ssp._lanuginosum,missing,No BIEN range returned
fia_spcd:18,fia_spcd,18,Abies lasiocarpa var. arizonica,corkbark fir,seedling;tree,3,610,633,373565.95630982,Abies_lasiocarpa_var._arizonica,missing,No BIEN range returned
p2veg:BOGR2,nrcs_plants_symbol,BOGR2,Bouteloua gracilis,blue grama,graminoid,9,5979,6111,247536.782296,Bouteloua_gracilis,missing,No BIEN range returned
p2veg:MANE2,nrcs_plants_symbol,MANE2,Mahonia nervosa,Cascade barberry,shrub,4,7618,8511,224043.998523,Mahonia_nervosa,missing,No BIEN range returned
fia_spcd:463,fia_spcd,463,Celtis laevigata var. reticulata,netleaf hackberry,seedling;tree,7,805,830,218711.920612584,Celtis_laevigata_var._reticulata,missing,No BIEN range returned
fia_spcd:747,fia_spcd,747,Populus balsamifera ssp. trichocarpa,black cottonwood,seedling;tree,8,1227,1272,203332.826797746,Populus_balsamifera_ssp._trichocarpa,missing,No BIEN range returned
fia_spcd:7783,fia_spcd,7783,Metrosideros polymorpha,ohia lehua,seedling;tree,1,363,378,183848.471904028,Metrosideros_polymorpha,missing,No BIEN range returned
