species_key,bien_query_name,area_km2
fia_spcd:771,Prunus_avium,-105618.761520326
fia_spcd:773,Prunus_domestica,-884668.74283218
fia_spcd:211,Sequoia_sempervirens,-1505899.89094454
p2veg:ACME,Acacia_melanoxylon,-176257.682033951
p2veg:ANOD,Anthoxanthum_odoratum,-106968.802148659
p2veg:CEME2,Centaurea_melitensis,-771718.175219949
p2veg:CLUN,Clarkia_unguiculata,-88317.9110726365
p2veg:CYEC,Cynosurus_echinatus,-623817.019840288
p2veg:CYSC4,Cytisus_scoparius,-1227004.50524815
p2veg:ERKA2,Erigeron_karvinskianus,-129782.68806709
p2veg:EUNE3,Euphrasia_nemorosa,-869843.366501004
p2veg:HYGL2,Hypochaeris_glabra,-1042292.63041791
p2veg:HYRA3,Hypochaeris_radicata,-2234960.97638442
p2veg:MYDI,Myosotis_discolor,-691756.568484167
p2veg:PRAV,Prunus_avium,-105618.761520326
p2veg:PRCE2,Prunus_cerasifera,-982978.205401954
p2veg:PRDO,Prunus_domestica,-884668.74283218
p2veg:SESE3,Sequoia_sempervirens,-1505899.89094454
