community_layers,n_species,n_available,pct_available
sapling;seedling;tree,436,360,82.6
sapling;tree,10,6,60
sapling;seedling,33,23,69.7
seedling;tree,26,20,76.9
seedling,55,32,58.2
tree,32,13,40.6
sapling,7,3,42.9
p2veg_tree_layer,280,179,63.9
forb;shrub,287,239,83.3
shrub,881,550,62.4
forb,2858,2059,72
forb;p2veg_tree_layer;shrub,3,3,100
p2veg_tree_layer;shrub,182,128,70.3
graminoid,796,591,74.2
graminoid;shrub,2,2,100
forb;graminoid,10,9,90
graminoid;p2veg_tree_layer,1,1,100
forb;p2veg_tree_layer,1,0,0
graminoid;p2veg_tree_layer;shrub,1,1,100
