species_key,source_code_system,source_species_code,scientific_name,common_name,genus,specific_epithet,community_layers,growth_habits,original_bien_query_name,bien_query_scientific_name,bien_query_name,niche_taxon_name,niche_taxon_key,uses_manual_bien_override,manual_bien_override_name,override_decision,override_confidence,override_review_status,bien_range_available,range_lookup_status,range_match_status,needs_range_review,range_review_reason,range_lookup_error,source_tables,states_present,n_states,n_plot_visits,n_conditions,n_source_rows,abundance_total,in_seedlings,in_saplings,in_trees,in_shrubs,in_forbs,in_graminoids,in_p2veg_tree_layers,is_pseudo_taxon,has_scientific_name,needs_niche,source_scientific_name,recommended_bien_name,override_notes
fia_spcd:18,fia_spcd,18,Abies lasiocarpa var. arizonica,corkbark fir,Abies,lasiocarpa,sapling;seedling;tree,tree,Abies_lasiocarpa_var._arizonica,Abies lasiocarpa var. arizonica,Abies_lasiocarpa_var._arizonica,Abies lasiocarpa var. arizonica,bien_taxon:abies_lasiocarpa_var_arizonica,FALSE,,,,,FALSE,missing,,TRUE,No BIEN range returned,,SEEDLING;TREE,AZ;CO;NM,3,613,636,2648,437136.51544582,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,,
fia_spcd:6003,fia_spcd,6003,Acacia auriculiformis,auri,Acacia,auriculiformis,sapling;seedling;tree,tree,Acacia_auriculiformis,Acacia auriculiformis,Acacia_auriculiformis,Acacia auriculiformis,bien_taxon:acacia_auriculiformis,FALSE,,,,,FALSE,missing,,TRUE,No BIEN range returned,,SEEDLING;TREE,FL,1,3,3,7,1650.0567685721,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,,
fia_spcd:6004,fia_spcd,6004,Acacia confusa,small Philippine acacia,Acacia,confusa,sapling;seedling;tree,tree,Acacia_confusa,Acacia confusa,Acacia_confusa,Acacia confusa,bien_taxon:acacia_confusa,FALSE,,,,,FALSE,missing,,TRUE,No BIEN range returned,,SEEDLING;TREE,HI,1,13,16,57,32585.3162133529,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,,
fia_spcd:6006,fia_spcd,6006,Acacia koa,koa,Acacia,koa,sapling;seedling;tree,tree,Acacia_koa,Acacia koa,Acacia_koa,Acacia koa,bien_taxon:acacia_koa,FALSE,,,,,FALSE,missing,,TRUE,No BIEN range returned,,SEEDLING;TREE,HI,1,81,83,193,9069.33552521436,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,,
fia_spcd:6007,fia_spcd,6007,Acacia koaia,koaoha,Acacia,koaia,sapling;tree,tree,Acacia_koaia,Acacia koaia,Acacia_koaia,Acacia koaia,bien_taxon:acacia_koaia,FALSE,,,,,FALSE,missing,,TRUE,No BIEN range returned,,TREE,HI,1,3,3,6,196.351316684841,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,,
fia_spcd:323,fia_spcd,323,Acer leucoderme,chalk maple,Acer,leucoderme,sapling;seedling;tree,tree,Acer_leucoderme,Acer leucoderme,Acer_leucoderme,Acer leucoderme,bien_taxon:acer_leucoderme,FALSE,,,,,FALSE,missing,,TRUE,No BIEN range returned,,SEEDLING;TREE,AL;GA;NC;OK;SC;TN,6,125,135,236,36631.7965993833,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,,
fia_spcd:334,fia_spcd,334,Aesculus glabra var. arguta,Texas buckeye,Aesculus,glabra,sapling;seedling;tree,tree,Aesculus_glabra_var._arguta,Aesculus glabra var. arguta,Aesculus_glabra_var._arguta,Aesculus glabra var. arguta,bien_taxon:aesculus_glabra_var_arguta,FALSE,,,,,FALSE,missing,,TRUE,No BIEN range returned,,SEEDLING;TREE,KS;KY;LA;OK;TX,5,82,87,149,22782.0353215556,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,,
fia_spcd:6058,fia_spcd,6058,Albizia falcataria,ukall ra ngebard,Albizia,falcataria,seedling,tree,Albizia_falcataria,Albizia falcataria,Albizia_falcataria,Albizia falcataria,bien_taxon:albizia_falcataria,FALSE,,,,,FALSE,missing,,TRUE,No BIEN range returned,,SEEDLING,HI,1,1,1,1,449.791695,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,,
fia_spcd:6075,fia_spcd,6075,Aleurites moluccana,Indian walnut,Aleurites,moluccana,sapling;seedling;tree,tree,Aleurites_moluccana,Aleurites moluccana,Aleurites_moluccana,Aleurites moluccana,bien_taxon:aleurites_moluccana,FALSE,,,,,FALSE,missing,,TRUE,No BIEN range returned,,SEEDLING;TREE,HI,1,23,23,39,1378.08022432194,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,,
fia_spcd:6089,fia_spcd,6089,Alphitonia ponderosa,Hawaii kauilatree,Alphitonia,ponderosa,tree,tree,Alphitonia_ponderosa,Alphitonia ponderosa,Alphitonia_ponderosa,Alphitonia ponderosa,bien_taxon:alphitonia_ponderosa,FALSE,,,,,FALSE,missing,,TRUE,No BIEN range returned,,TREE,HI,1,1,1,1,3.17852343208656,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,,
