species_key,bien_query_name,n_polygon_parts,n_empty,n_invalid,range_area_km2_qa,download_status
fia_spcd:101,Pinus_albicaulis,1,0,0,1682299.39333204,cached
fia_spcd:102,Pinus_aristata,1,0,0,840591.568653487,cached
fia_spcd:103,Pinus_attenuata,1,0,0,829692.067309695,cached
fia_spcd:104,Pinus_balfouriana,1,0,0,696790.739658059,cached
fia_spcd:105,Pinus_banksiana,1,0,0,7277757.17840901,cached
fia_spcd:106,Pinus_edulis,1,0,0,1003806.17024427,cached
fia_spcd:107,Pinus_clausa,1,0,0,324603.007259927,cached
fia_spcd:108,Pinus_contorta,1,0,0,3437398.36064215,cached
fia_spcd:109,Pinus_coulteri,1,0,0,765696.889781434,cached
fia_spcd:11,Abies_amabilis,1,0,0,1012486.42258179,cached
fia_spcd:110,Pinus_echinata,1,0,0,1665408.59186105,cached
fia_spcd:111,Pinus_elliottii,1,0,0,936507.471070063,cached
fia_spcd:112,Pinus_engelmannii,1,0,0,3012614.07314918,cached
fia_spcd:113,Pinus_flexilis,1,0,0,3553647.89241,cached
fia_spcd:114,Pinus_strobiformis,1,0,0,4083703.45684115,cached
fia_spcd:115,Pinus_glabra,1,0,0,552302.068511902,cached
fia_spcd:116,Pinus_jeffreyi,1,0,0,458570.799077233,cached
fia_spcd:117,Pinus_lambertiana,1,0,0,429476.192645665,cached
fia_spcd:118,Pinus_leiophylla,1,0,0,2195725.6464137,cached
fia_spcd:119,Pinus_monticola,1,0,0,1097799.34801342,cached
fia_spcd:12,Abies_balsamea,1,0,0,3145718.62080221,cached
fia_spcd:120,Pinus_muricata,1,0,0,721386.201801885,cached
fia_spcd:121,Pinus_palustris,1,0,0,756202.883813318,cached
fia_spcd:122,Pinus_ponderosa,1,0,0,3427893.60768959,cached
fia_spcd:123,Pinus_pungens,1,0,0,695797.500461241,cached
fia_spcd:124,Pinus_radiata,1,0,0,4338880.47986825,cached
fia_spcd:125,Pinus_resinosa,1,0,0,2430324.49444196,cached
fia_spcd:126,Pinus_rigida,1,0,0,1023499.387926,cached
fia_spcd:127,Pinus_sabiniana,1,0,0,275483.478753672,cached
fia_spcd:128,Pinus_serotina,1,0,0,468097.972770819,cached
fia_spcd:129,Pinus_strobus,1,0,0,3138312.83554867,cached
fia_spcd:130,Pinus_sylvestris,1,0,0,4419623.78827829,cached
fia_spcd:131,Pinus_taeda,1,0,0,1523316.40299217,cached
fia_spcd:132,Pinus_virginiana,1,0,0,1662612.89366177,cached
fia_spcd:133,Pinus_monophylla,1,0,0,1150727.66966395,cached
fia_spcd:135,Pinus_arizonica,1,0,0,1446405.91980144,cached
fia_spcd:136,Pinus_nigra,1,0,0,3140113.73029512,cached
fia_spcd:140,Pinus_cembroides,1,0,0,1294895.2158541,cached
fia_spcd:141,Pinus_remota,1,0,0,585704.540688076,cached
fia_spcd:142,Pinus_longaeva,1,0,0,840714.089350712,cached
fia_spcd:15,Abies_concolor,1,0,0,2814520.84247419,cached
fia_spcd:16,Abies_fraseri,1,0,0,649100.400784707,cached
fia_spcd:17,Abies_grandis,1,0,0,780988.533392588,cached
fia_spcd:19,Abies_lasiocarpa,1,0,0,3684528.54412715,cached
fia_spcd:20,Abies_magnifica,1,0,0,452989.175366472,cached
fia_spcd:201,Pseudotsuga_macrocarpa,1,0,0,1370986.18824197,cached
fia_spcd:202,Pseudotsuga_menziesii,1,0,0,4770322.14225525,cached
fia_spcd:21,Abies_shastensis,1,0,0,187701.63598399,cached
fia_spcd:211,Sequoia_sempervirens,1,0,0,-1505899.89094454,cached
fia_spcd:212,Sequoiadendron_giganteum,1,0,0,1286800.31343073,cached
fia_spcd:22,Abies_procera,1,0,0,396372.637791714,cached
fia_spcd:221,Taxodium_distichum,1,0,0,2247007.79766109,cached
fia_spcd:222,Taxodium_ascendens,1,0,0,399.999772545561,cached
fia_spcd:231,Taxus_brevifolia,1,0,0,1600877.05760443,cached
fia_spcd:241,Thuja_occidentalis,1,0,0,2689711.59846147,cached
fia_spcd:242,Thuja_plicata,1,0,0,1410258.82590149,cached
fia_spcd:251,Torreya_californica,1,0,0,302988.886699641,cached
fia_spcd:261,Tsuga_canadensis,1,0,0,2152007.74092503,cached
fia_spcd:262,Tsuga_caroliniana,1,0,0,524100.895347206,cached
fia_spcd:263,Tsuga_heterophylla,1,0,0,1187856.19200863,cached
fia_spcd:264,Tsuga_mertensiana,1,0,0,1722380.10087979,cached
