priority,recommended_action,gap_stage,n_species,n_seedling_cwm_missing_species,total_cwm_missing_weight
high,exclude_sp_spp_from_main_cwm,not_targeted_for_niche,2,2,16307872.56331
medium,document_exclusion_unknown_taxon,not_targeted_for_niche,1,1,107350.284376
medium,exclude_sp_spp_from_main_cwm,not_targeted_for_niche,3,3,666441.360416
medium,review_infraspecific_parent_species_fallback,no_bien_range_map,6,6,2298385.987263
medium,try_synonym_or_alternate_range_source,no_bien_range_map,2,2,879117.866195
low,document_exclusion_unknown_taxon,no_bien_range_map,1,1,37332.710593
low,exclude_or_genus_level_sensitivity,not_targeted_for_niche,3,3,1274.409799
low,exclude_sp_spp_from_main_cwm,not_targeted_for_niche,49,49,185464.108535
low,review_infraspecific_parent_species_fallback,no_bien_range_map,9,9,221222.548264
low,try_synonym_or_alternate_range_source,no_bien_range_map,97,97,575133.646358
documentation,document_study_area_or_climate_gap,outside_or_empty_after_study_area_clip,29,0,0
documentation,document_study_area_or_climate_gap,range_climate_or_study_area_niche_missing,1,0,0
documentation,exclude_or_genus_level_sensitivity,not_targeted_for_niche,592,0,0
documentation,exclude_sp_spp_from_main_cwm,not_targeted_for_niche,10,0,0
documentation,review_infraspecific_parent_species_fallback,no_bien_range_map,900,0,0
documentation,try_synonym_or_alternate_range_source,no_bien_range_map,663,0,0
