species_key,source_code_system,source_species_code,scientific_name,common_name,community_layers,growth_habits,n_states,n_plot_visits,n_conditions,abundance_total,source_tables,is_pseudo_taxon,needs_niche,bien_query_name,bien_range_available,range_lookup_status,range_match_status,needs_range_review,range_review_reason,range_lookup_error,has_global_niche,has_study_area_niche,in_cwm_missing_species,cwm_missing_n_condition_rows,cwm_missing_treecount_total,cwm_missing_seedlings_tpa,cwm_missing_weight_total,gap_stage,gap_reason,study_area_range_failure_stage,study_area_range_failure_reason,study_area_niche_missing_indicators
fia_spcd:134,fia_spcd,134,Pinus discolor,border pinyon,sapling;seedling;tree,tree,2,134,138,2410.36095640198,SEEDLING;TREE,FALSE,TRUE,Pinus_discolor,FALSE,no_range,missing_range,TRUE,BIEN did not report a range map for the query binomial,,FALSE,FALSE,TRUE,74,217,16267.466258,16267.466258,no_bien_range_map,BIEN did not report a range map for the query binomial,,,
fia_spcd:137,fia_spcd,137,Pinus washoensis,Washoe pine,sapling;seedling;tree,tree,1,11,11,424.846357792392,SEEDLING;TREE,FALSE,TRUE,Pinus_washoensis,FALSE,no_range,missing_range,TRUE,BIEN did not report a range map for the query binomial,,FALSE,FALSE,TRUE,4,5,374.826411,374.826411,no_bien_range_map,BIEN did not report a range map for the query binomial,,,
fia_spcd:323,fia_spcd,323,Acer leucoderme,chalk maple,sapling;seedling;tree,tree,6,125,135,660.127902360017,SEEDLING;TREE,FALSE,TRUE,Acer_leucoderme,FALSE,no_range,missing_range,TRUE,BIEN did not report a range map for the query binomial,,FALSE,FALSE,TRUE,90,410,30735.765784,30735.765784,no_bien_range_map,BIEN did not report a range map for the query binomial,,,
fia_spcd:412,fia_spcd,412,Carya ovalis,red hickory,sapling;seedling;tree,tree,14,294,300,1546.09353432167,SEEDLING;TREE,FALSE,TRUE,Carya_ovalis,FALSE,no_range,missing_range,TRUE,BIEN did not report a range map for the query binomial,,FALSE,FALSE,TRUE,62,134,10045.347827,10045.347827,no_bien_range_map,BIEN did not report a range map for the query binomial,,,
fia_spcd:413,fia_spcd,413,Carya carolinae-septentrionalis,southern shagbark hickory,sapling;seedling;tree,tree,6,46,47,285.571480005991,SEEDLING;TREE,FALSE,TRUE,Carya_carolinae-septentrionalis,FALSE,no_range,missing_range,TRUE,BIEN did not report a range map for the query binomial,,FALSE,FALSE,TRUE,14,28,2099.027904,2099.027904,no_bien_range_map,BIEN did not report a range map for the query binomial,,,
fia_spcd:42,fia_spcd,42,Chamaecyparis nootkatensis,Alaska yellow-cedar,sapling;seedling;tree,tree,3,1635,1819,95775.3535612716,SEEDLING;TREE,FALSE,TRUE,Chamaecyparis_nootkatensis,FALSE,no_range,missing_range,TRUE,BIEN did not report a range map for the query binomial,,FALSE,FALSE,TRUE,1212,24982,1872782.686032,1872782.686032,no_bien_range_map,BIEN did not report a range map for the query binomial,,,
fia_spcd:424,fia_spcd,424,Castanea mollissima,Chinese chestnut,sapling;seedling;tree,tree,11,30,31,173.182018207983,SEEDLING;TREE,FALSE,TRUE,Castanea_mollissima,FALSE,no_range,missing_range,TRUE,BIEN did not report a range map for the query binomial,,FALSE,FALSE,TRUE,10,15,1124.479233,1124.479233,no_bien_range_map,BIEN did not report a range map for the query binomial,,,
fia_spcd:501,fia_spcd,501,Crataegus crus-galli,cockspur hawthorn,sapling;seedling;tree,tree,20,458,460,1613.36767415388,SEEDLING;TREE,FALSE,TRUE,Crataegus_crus-galli,FALSE,no_range,missing_range,TRUE,BIEN did not report a range map for the query binomial,,FALSE,FALSE,TRUE,342,837,62745.941305,62745.941305,no_bien_range_map,BIEN did not report a range map for the query binomial,,,
fia_spcd:513,fia_spcd,513,Eucalyptus grandis,grand eucalyptus,sapling;seedling;tree,tree,3,32,35,2604.39685977928,SEEDLING;TREE,FALSE,TRUE,Eucalyptus_grandis,FALSE,no_range,missing_range,TRUE,BIEN did not report a range map for the query binomial,,FALSE,FALSE,TRUE,9,44,3298.472425,3298.472425,no_bien_range_map,BIEN did not report a range map for the query binomial,,,
fia_spcd:53,fia_spcd,53,Cupressus forbesii,Tecate cypress,seedling,tree,1,2,2,562,SEEDLING,FALSE,TRUE,Cupressus_forbesii,FALSE,no_range,missing_range,TRUE,BIEN did not report a range map for the query binomial,,FALSE,FALSE,TRUE,2,562,42130.488737,42130.488737,no_bien_range_map,BIEN did not report a range map for the query binomial,,,
fia_spcd:561,fia_spcd,561,Ginkgo biloba,ginkgo,sapling;seedling;tree,tree,5,7,7,80.4455985600649,SEEDLING;TREE,FALSE,TRUE,Ginkgo_biloba,FALSE,no_range,missing_range,TRUE,BIEN did not report a range map for the query binomial,,FALSE,FALSE,TRUE,3,21,1574.270931,1574.270931,no_bien_range_map,BIEN did not report a range map for the query binomial,,,
fia_spcd:571,fia_spcd,571,Gymnocladus dioicus,Kentucky coffeetree,sapling;seedling;tree,tree,19,388,388,2586.77948640417,SEEDLING;TREE,FALSE,TRUE,Gymnocladus_dioicus,FALSE,no_range,missing_range,TRUE,BIEN did not report a range map for the query binomial,,FALSE,FALSE,TRUE,104,282,21065.244344,21065.244344,no_bien_range_map,BIEN did not report a range map for the query binomial,,,
fia_spcd:5800,fia_spcd,5800,Cupressocyparis leylandii,Leyland cypress,seedling,tree,1,1,1,1,SEEDLING,FALSE,TRUE,Cupressocyparis_leylandii,FALSE,no_range,missing_range,TRUE,BIEN did not report a range map for the query binomial,,FALSE,FALSE,TRUE,1,1,74.965282,74.965282,no_bien_range_map,BIEN did not report a range map for the query binomial,,,
fia_spcd:583,fia_spcd,583,Halesia parviflora,little silverbell,seedling,tree,1,1,1,3,SEEDLING,FALSE,TRUE,Halesia_parviflora,FALSE,no_range,missing_range,TRUE,BIEN did not report a range map for the query binomial,,FALSE,FALSE,TRUE,1,3,224.895847,224.895847,no_bien_range_map,BIEN did not report a range map for the query binomial,,,
fia_spcd:6003,fia_spcd,6003,Acacia auriculiformis,auri,sapling;seedling;tree,tree,1,3,3,30.4785805292862,SEEDLING;TREE,FALSE,TRUE,Acacia_auriculiformis,FALSE,no_range,missing_range,TRUE,BIEN did not report a range map for the query binomial,,FALSE,FALSE,TRUE,2,10,749.652824,749.652824,no_bien_range_map,BIEN did not report a range map for the query binomial,,,
fia_spcd:6004,fia_spcd,6004,Acacia confusa,small Philippine acacia,sapling;seedling;tree,tree,1,13,16,895.948261530668,SEEDLING;TREE,FALSE,TRUE,Acacia_confusa,FALSE,no_range,missing_range,TRUE,BIEN did not report a range map for the query binomial,,FALSE,FALSE,TRUE,10,363,27212.397527,27212.397527,no_bien_range_map,BIEN did not report a range map for the query binomial,,,
fia_spcd:6006,fia_spcd,6006,Acacia koa,koa,sapling;seedling;tree,tree,1,81,83,2663.87618401369,SEEDLING;TREE,FALSE,TRUE,Acacia_koa,FALSE,no_range,missing_range,TRUE,BIEN did not report a range map for the query binomial,,FALSE,FALSE,TRUE,23,60,4497.916941,4497.916941,no_bien_range_map,BIEN did not report a range map for the query binomial,,,
