species_key,source_species_code,scientific_name,common_name,gap_stage,gap_reason,cwm_missing_n_condition_rows,cwm_missing_weight_total,range_lookup_status,range_match_status,range_review_reason
fia_spcd:356,356,Amelanchier spp.,serviceberry spp.,not_targeted_for_niche,"Species record is a pseudo taxon, lacks a scientific name, or was otherwise marked as not requiring a niche.",36509,13377854.503425,,,
fia_spcd:832,832,Quercus prinus,chestnut oak,no_bien_range_map,BIEN did not report a range map for the query binomial,10415,3279806.069154,no_range,missing_range,BIEN did not report a range map for the query binomial
fia_spcd:500,500,Crataegus spp.,hawthorn spp.,not_targeted_for_niche,"Species record is a pseudo taxon, lacks a scientific name, or was otherwise marked as not requiring a niche.",13824,2930018.059885,,,
fia_spcd:42,42,Chamaecyparis nootkatensis,Alaska yellow-cedar,no_bien_range_map,BIEN did not report a range map for the query binomial,1212,1872782.686032,no_range,missing_range,BIEN did not report a range map for the query binomial
fia_spcd:694,694,Nyssa biflora,swamp tupelo,no_bien_range_map,BIEN did not report a range map for the query binomial,3200,709921.223758,no_range,missing_range,BIEN did not report a range map for the query binomial
fia_spcd:920,920,Salix spp.,willow spp.,not_targeted_for_niche,"Species record is a pseudo taxon, lacks a scientific name, or was otherwise marked as not requiring a niche.",372,241313.244133,,,
fia_spcd:660,660,Malus spp.,apple spp.,not_targeted_for_niche,"Species record is a pseudo taxon, lacks a scientific name, or was otherwise marked as not requiring a niche.",1012,235091.125468,,,
fia_spcd:760,760,Prunus spp.,Prunus,not_targeted_for_niche,"Species record is a pseudo taxon, lacks a scientific name, or was otherwise marked as not requiring a niche.",740,190036.990815,,,
fia_spcd:7783,7783,Metrosideros polymorpha,ohia lehua,no_bien_range_map,BIEN did not report a range map for the query binomial,188,169196.642437,no_range,missing_range,BIEN did not report a range map for the query binomial
fia_spcd:999,999,Tree unknown,other or unknown live tree,not_targeted_for_niche,"Species record is a pseudo taxon, lacks a scientific name, or was otherwise marked as not requiring a niche.",361,107350.284376,,,
fia_spcd:6547,6547,Cibotium glaucum,hapuu,no_bien_range_map,BIEN did not report a range map for the query binomial,152,85685.317794,no_range,missing_range,BIEN did not report a range map for the query binomial
fia_spcd:501,501,Crataegus crus-galli,cockspur hawthorn,no_bien_range_map,BIEN did not report a range map for the query binomial,342,62745.941305,no_range,missing_range,BIEN did not report a range map for the query binomial
fia_spcd:8421,8421,Pyrus calleryana,Callery pear,no_bien_range_map,BIEN did not report a range map for the query binomial,295,53075.41987,no_range,missing_range,BIEN did not report a range map for the query binomial
fia_spcd:53,53,Cupressus forbesii,Tecate cypress,no_bien_range_map,BIEN did not report a range map for the query binomial,2,42130.488737,no_range,missing_range,BIEN did not report a range map for the query binomial
