"variable","metric","climate_period","range_scope","n_species","n_rows","n_missing_values","value_min","value_median","value_max"
"aet","mean","1981-2010","global",4219,50628,0,0,35.5033748208691,152.440957226305
"aet","p10","1981-2010","global",4219,50628,0,0,8.41907414023258,152.006666666667
"aet","p50","1981-2010","global",4219,50628,0,0,31.5949730557738,152.51
"aet","p90","1981-2010","global",4219,50628,0,0,66.9948849858549,156.254778280543
"def","mean","1981-2010","global",4219,50628,0,0,37.9754795738378,297.668493752111
"def","p10","1981-2010","global",4219,50628,0,0,0.409811388843468,295.943333333333
"def","p50","1981-2010","global",4219,50628,0,0,24.2002257557687,297.906666666667
"def","p90","1981-2010","global",4219,50628,0,0,91.9356632209017,300.943333333333
"pet","mean","1981-2010","global",4219,50628,0,0,93.8878811639042,302.629566024992
"pet","p10","1981-2010","global",4219,50628,0,0,53.1860092366042,301.38
"pet","p50","1981-2010","global",4219,50628,0,0,93.5388384720672,302.98
"pet","p90","1981-2010","global",4219,50628,0,0,133.991340199718,305.04
"pr","mean","1981-2010","global",4219,50628,0,0.217775942747041,55.0852693500901,434.845977713326
"pr","p10","1981-2010","global",4219,50628,0,0,13.0141341013904,392.833333333333
"pr","p50","1981-2010","global",4219,50628,0,0,40.4770356923978,434.1
"pr","p90","1981-2010","global",4219,50628,0,0.4,105.953923765402,527.333333333333
"tmean","mean","1981-2010","global",4219,50628,0,-27.1413273247186,11.496452751526,33.3687715298886
"tmean","p10","1981-2010","global",4219,50628,0,-34.9995825082514,5.47259840039785,33.09
"tmean","p50","1981-2010","global",4219,50628,0,-29.009174174837,11.4980077794995,33.39
"tmean","p90","1981-2010","global",4219,50628,0,-26.9226259689923,17.7738497551161,34.6000225183855
"tmmn","mean","1981-2010","global",4219,50628,0,-32.272749846165,4.5109968272314,25.7930631543398
"tmmn","p10","1981-2010","global",4219,50628,0,-38.604835742808,-0.703999200236729,25.49
"tmmn","p50","1981-2010","global",4219,50628,0,-33.0085520530878,4.44730460829528,25.8466666666667
"tmmn","p90","1981-2010","global",4219,50628,0,-31.9720589705147,9.94699172443997,27.251161330567
"tmmx","mean","1981-2010","global",4219,50628,0,-22.3820733340573,18.4928890195975,40.9444799054374
"tmmx","p10","1981-2010","global",4219,50628,0,-31.3943292736949,11.7036560098331,40.69
"tmmx","p50","1981-2010","global",4219,50628,0,-25.0097962965862,18.5007524635763,40.9333333333333
"tmmx","p90","1981-2010","global",4219,50628,0,-22.1085852713178,25.4965386460566,42.2533333333333
