"variable","metric","climate_period","range_scope","n_species","n_rows","n_missing_values","value_min","value_median","value_max"
"aet","mean","1981-2010","us_study_area",4186,50232,0,0,33.4058529012725,152.440957226305
"aet","p10","1981-2010","us_study_area",4186,50232,0,0,8.40020786236073,152.006666666667
"aet","p50","1981-2010","us_study_area",4186,50232,0,0,30.0176767279812,152.51
"aet","p90","1981-2010","us_study_area",4186,50232,0,0,60.1983621310945,156.254778280543
"def","mean","1981-2010","us_study_area",4186,50232,0,0,34.2675750790409,297.668493752111
"def","p10","1981-2010","us_study_area",4186,50232,0,0,1.89302644259244,295.943333333333
"def","p50","1981-2010","us_study_area",4186,50232,0,0,23.2127309973283,297.906666666667
"def","p90","1981-2010","us_study_area",4186,50232,0,0,80.6021005178249,300.943333333333
"pet","mean","1981-2010","us_study_area",4186,50232,0,0,87.5517905966357,302.629566024992
"pet","p10","1981-2010","us_study_area",4186,50232,0,0,55.6178409579635,301.38
"pet","p50","1981-2010","us_study_area",4186,50232,0,0,87.6470067751974,302.98
"pet","p90","1981-2010","us_study_area",4186,50232,0,0,122.775294099937,305.04
"pr","mean","1981-2010","us_study_area",4186,50232,0,0.217775942747041,52.9372042749369,405.697469135803
"pr","p10","1981-2010","us_study_area",4186,50232,0,0,13.9007874786903,392.833333333333
"pr","p50","1981-2010","us_study_area",4186,50232,0,0,38.9313731301054,417.333333333333
"pr","p90","1981-2010","us_study_area",4186,50232,0,0.4,101.989918836545,525.791196135099
"tmean","mean","1981-2010","us_study_area",4186,50232,0,-27.1413273247186,10.5104150290937,33.3687715298886
"tmean","p10","1981-2010","us_study_area",4186,50232,0,-33.8004175480254,5.29919337976889,33.09
"tmean","p50","1981-2010","us_study_area",4186,50232,0,-27.4062720939403,10.5210808929617,33.39
"tmean","p90","1981-2010","us_study_area",4186,50232,0,-26.9226259689923,16.0008438114708,34.6000225183855
"tmmn","mean","1981-2010","us_study_area",4186,50232,0,-32.272749846165,3.59286897401671,25.7930631543398
"tmmn","p10","1981-2010","us_study_area",4186,50232,0,-37.5003695504117,-1.09614240192664,25.49
"tmmn","p50","1981-2010","us_study_area",4186,50232,0,-32.26,3.49527426453116,26.09
"tmmn","p90","1981-2010","us_study_area",4186,50232,0,-31.9720589705147,8.54761568137843,27.251161330567
"tmmx","mean","1981-2010","us_study_area",4186,50232,0,-22.3820733340573,17.4638048935324,40.9444799054374
"tmmx","p10","1981-2010","us_study_area",4186,50232,0,-30.1004655456391,11.698710151472,40.69
"tmmx","p50","1981-2010","us_study_area",4186,50232,0,-23.8038619506326,17.4990046886806,40.9333333333333
"tmmx","p90","1981-2010","us_study_area",4186,50232,0,-22.1085852713178,23.4966238496889,42.2533333333333
