source_taxon_key,source_taxon_name,n_source_codes,source_keys,source_systems,community_layers,any_bien_range_available,any_candidate_bien_range_available,total_abundance,total_cwm_missing_weight
taxon:abies_amabilis,Abies amabilis,2,fia_spcd:11;p2veg:ABAM,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;sapling;seedling;tree,TRUE,FALSE,4900597.06810856,0
taxon:abies_concolor,Abies concolor,2,fia_spcd:15;p2veg:ABCO,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;sapling;seedling;tree,TRUE,FALSE,3378456.75760645,0
taxon:abies_grandis,Abies grandis,2,fia_spcd:17;p2veg:ABGR,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;sapling;seedling;tree,TRUE,FALSE,6179169.60416065,0
taxon:abies_lasiocarpa,Abies lasiocarpa,2,fia_spcd:19;p2veg:ABLA,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;sapling;seedling;tree,TRUE,FALSE,15229993.0844473,0
taxon:abies_lasiocarpa_var_arizonica,Abies lasiocarpa var. arizonica,2,fia_spcd:18;p2veg:ABLAA,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;sapling;seedling;tree,FALSE,FALSE,448109.91241382,361557.557146
taxon:abies_magnifica,Abies magnifica,2,fia_spcd:20;p2veg:ABMA,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;sapling;seedling;tree,TRUE,FALSE,508118.82210319,0
taxon:abies_procera,Abies procera,2,fia_spcd:22;p2veg:ABPR,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;sapling;seedling;tree,TRUE,FALSE,308741.749392746,0
taxon:acacia_confusa,Acacia confusa,2,fia_spcd:6004;p2veg:ACCO,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;sapling;seedling;tree,FALSE,FALSE,34247.3162133529,27212.397527
taxon:acacia_koa,Acacia koa,2,fia_spcd:6006;p2veg:ACKO,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;sapling;seedling;tree,FALSE,FALSE,12121.9351052144,4497.916941
taxon:acacia_koaia,Acacia koaia,2,fia_spcd:6007;p2veg:ACKO2,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;sapling;tree,FALSE,FALSE,324.351316684841,0
taxon:acacia_mearnsii,Acacia mearnsii,2,fia_spcd:6010;p2veg:ACME80,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;sapling;seedling;tree,TRUE,FALSE,2640.27448617305,0
taxon:acer_circinatum,Acer circinatum,2,fia_spcd:5146;p2veg:ACCI,fia_spcd;nrcs_plants_symbol,forb;p2veg_tree_layer;sapling;seedling;shrub,TRUE,FALSE,440042.544645,0
taxon:acer_glabrum,Acer glabrum,2,fia_spcd:321;p2veg:ACGL,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;sapling;seedling;shrub;tree,TRUE,FALSE,313783.434958565,0
taxon:acer_grandidentatum,Acer grandidentatum,2,fia_spcd:322;p2veg:ACGR3,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;sapling;seedling;shrub;tree,TRUE,FALSE,897288.127745123,0
