species_key,source_code_system,source_species_code,scientific_name,common_name,genus,specific_epithet,source_tables,community_layers,growth_habits,states_present,n_states,n_plot_visits,n_conditions,n_source_rows,abundance_total,in_seedlings,in_saplings,in_trees,in_shrubs,in_forbs,in_graminoids,in_p2veg_tree_layers,is_pseudo_taxon,has_scientific_name,needs_niche
fia_spcd:10,fia_spcd,10,Abies spp.,fir spp.,Abies,spp.,SEEDLING;TREE,seedling;tree,tree,MI;MN;NY;OH;RI;WI,6,8,8,11,249.614084449712,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
fia_spcd:300,fia_spcd,300,Acacia spp.,acacia spp.,Acacia,spp.,TREE,tree,tree,HI,1,1,1,3,31.9480335383702,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
fia_spcd:310,fia_spcd,310,Acer spp.,maple spp.,Acer,spp.,SEEDLING;TREE,seedling;tree,tree,AL;ME;MN;NC;NJ;NY;PA;WI;WV,9,13,13,20,4823.4424028716,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
fia_spcd:330,fia_spcd,330,Aesculus spp.,"buckeye, horsechestnut spp.",Aesculus,spp.,SEEDLING;TREE,seedling;tree,tree,IL;IN;KS;MD;ME;MI;MO;OH;PA;WV,10,17,18,21,965.604151672014,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
fia_spcd:350,fia_spcd,350,Alnus spp.,alder spp.,Alnus,spp.,TREE,tree,tree,VA,1,1,1,1,7.3735573008906,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
fia_spcd:356,fia_spcd,356,Amelanchier spp.,serviceberry spp.,Amelanchier,spp.,SEEDLING;TREE,seedling;tree,tree,AL;AR;CT;DE;GA;IA;IL;IN;KS;KY;LA;MA;MD;ME;MI;MN;MO;MS;NC;ND;NE;NH;NJ;NY;OH;OK;PA;RI;SC;SD;TN;TX;VA;VT;WI;WV,36,37645,39464,58742,13389144.8100594,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
fia_spcd:915,fia_spcd,915,Areca spp.,other palms,Areca,spp.,SEEDLING;TREE,seedling;tree,tree,FL;GA;NC;SC;TX,5,102,106,157,13342.3190557531,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
fia_spcd:370,fia_spcd,370,Betula spp.,birch spp.,Betula,spp.,SEEDLING;TREE,seedling;tree,tree,KY;MI;PA;TN;TX;VA,6,7,7,8,976.991314711027,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
fia_spcd:378,fia_spcd,378,Betula x utahensis,northwestern paper birch,Betula,x,SEEDLING,seedling,tree,WA,1,1,1,1,74.965282,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
fia_spcd:6396,fia_spcd,6396,Carica spp.,papaya,Carica,spp.,SEEDLING,seedling,tree,HI,1,1,1,1,74.965282,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
fia_spcd:400,fia_spcd,400,Carya spp.,hickory spp.,Carya,spp.,SEEDLING;TREE,seedling;tree,tree,AL;AR;GA;IL;LA;MN;MO;NC;NY;OH;PA;SC;TX;VA;WI;WV,16,168,171,206,13099.0267589762,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
fia_spcd:450,fia_spcd,450,Catalpa spp.,catalpa spp.,Catalpa,spp.,SEEDLING;TREE,seedling;tree,tree,DE;IN;KY;MD;NC;NY;OH;PA;SC;TN;WV,11,32,32,38,674.047680653914,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
fia_spcd:460,fia_spcd,460,Celtis spp.,hackberry spp.,Celtis,spp.,SEEDLING;TREE,seedling;tree,tree,AL;GA;IL;LA;MN;MO;NY;PA;TN;VA;WV,11,46,46,52,4503.49952387848,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
fia_spcd:6496,fia_spcd,6496,Chamaesyce spp.,sandmat,Chamaesyce,spp.,SEEDLING,seedling,tree,HI,1,1,1,1,1724.201496,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
fia_spcd:6549,fia_spcd,6549,Cibotium spp.,manfern,Cibotium,spp.,SEEDLING;TREE,seedling;tree,tree,HI,1,2,2,4,827.835031666861,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
fia_spcd:860,fia_spcd,860,Citrus spp.,citrus spp.,Citrus,spp.,SEEDLING;TREE,seedling;tree,tree,FL;TN;TX,3,43,43,59,11474.0959301691,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
fia_spcd:6724,fia_spcd,6724,Coprosma spp.,mirrorplant,Coprosma,spp.,SEEDLING;TREE,seedling;tree,tree,HI,1,14,14,23,3234.57453377226,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
fia_spcd:500,fia_spcd,500,Crataegus spp.,hawthorn spp.,Crataegus,spp.,SEEDLING;TREE,seedling;tree,tree,AL;AR;CT;DE;FL;GA;IA;IL;IN;KS;KY;LA;MA;MD;ME;MI;MN;MO;MS;NC;ND;NE;NH;NJ;NY;OH;OK;PA;SC;SD;TN;TX;VA;VT;WI;WV,36,14931,15283,19899,2935495.38125306,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
fia_spcd:6787,fia_spcd,6787,Cryptomeria spp.,Japanese cedar,Cryptomeria,spp.,TREE,tree,tree,HI,1,1,1,1,36.1923010415003,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
fia_spcd:50,fia_spcd,50,Cupressus spp.,cypress,Cupressus,spp.,TREE,tree,tree,CA,1,1,1,1,9.82342294495236,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
fia_spcd:6866,fia_spcd,6866,Cyrtandra spp.,cyrtandra,Cyrtandra,spp.,SEEDLING,seedling,tree,HI,1,1,1,1,74.965282,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
fia_spcd:520,fia_spcd,520,Diospyros spp.,persimmon spp.,Diospyros,spp.,SEEDLING,seedling,tree,AR;GA;IL;LA;MO;SC;TN;TX;VA,9,28,28,35,5622.396176,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
fia_spcd:6958,fia_spcd,6958,Dubautia spp.,dubautia,Dubautia,spp.,SEEDLING,seedling,tree,HI,1,1,1,1,149.930565,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
fia_spcd:510,fia_spcd,510,Eucalyptus spp.,eucalyptus spp.,Eucalyptus,spp.,SEEDLING;TREE,seedling;tree,tree,CA;FL;HI,3,5,5,10,859.589673053498,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
fia_spcd:540,fia_spcd,540,Fraxinus spp.,ash spp.,Fraxinus,spp.,SEEDLING;TREE,seedling;tree,tree,AL;CA;DE;FL;GA;IN;KY;LA;MI;MN;NC;NY;OH;PA;VA;VT;WV,17,57,57,75,14074.2328228978,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
fia_spcd:550,fia_spcd,550,Gleditsia spp.,honeylocust spp.,Gleditsia,spp.,SEEDLING;TREE,seedling;tree,tree,IL;KS;TX,3,5,5,5,1351.47571806458,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
