original_name,candidate_name,taxonomic_status,review_class,species_key
Achnatherum speciosum,Pappostipa speciosa,Invalid,parent_species_candidate,p2veg:ACSP12
Acroptilon repens,Rhaponticum repens,Synonym,synonym_candidate,p2veg:ACRE3
Aleurites moluccana,Aleurites moluccanus,Accepted,parent_species_candidate,fia_spcd:6075
Arabis cobrensis,Boechera cobrensis,Synonym,synonym_candidate,p2veg:ARCO
Arabis lemmonii,Boechera lemmonii,Synonym,synonym_candidate,p2veg:ARLE
Arabis lyrata,Arabidopsis lyrata,Synonym,synonym_candidate,p2veg:ARLY2
Arabis microphylla,Boechera microphylla,Synonym,synonym_candidate,p2veg:ARMI
Arabis puberula,Boechera puberula,Synonym,synonym_candidate,p2veg:ARPU
Arabis pulchra,Boechera pulchra,Synonym,synonym_candidate,p2veg:ARPU2
Arabis rectissima,Boechera rectissima,Synonym,synonym_candidate,p2veg:ARRE
Arabis subpinnatifida,Boechera subpinnatifida,Synonym,synonym_candidate,p2veg:ARSU
Arctostaphylos rubra,Arctous rubra,Synonym,synonym_candidate,p2veg:ARRU
Arenaria aculeata,Eremogone aculeata,Synonym,synonym_candidate,p2veg:ARAC2
Asclepias physocarpa,Gomphocarpus physocarpus,Synonym,synonym_candidate,p2veg:ASPH2
Asyneuma prenanthoides,Campanula prenanthoides,Synonym,synonym_candidate,p2veg:ASPR10
Avena occidentalis,Avena fatua,Synonym,synonym_candidate,p2veg:AVOC
Baccharis emoryi,Baccharis salicina,Synonym,synonym_candidate,p2veg:BAEM
Besseya alpina,Veronica besseya,Synonym,synonym_candidate,p2veg:BEAL
Besseya rubra,Veronica rubra,Synonym,synonym_candidate,p2veg:BERU
Besseya wyomingensis,Veronica wyomingensis,Synonym,synonym_candidate,p2veg:BEWY
Bouteloua rothrockii,Bouteloua barbata,Synonym,synonym_candidate,p2veg:BORO2
Cardaria pubescens,Lepidium appelianum,Synonym,synonym_candidate,p2veg:CAPU6
Carex agrostoides,Carex alma,Synonym,synonym_candidate,p2veg:CAAG
Carex ovalis,Carex leporina,Synonym,synonym_candidate,p2veg:CAOV8
Castilleja lineariiloba,Castilleja lineariloba,Accepted,parent_species_candidate,p2veg:CALI20
Casuarina lepidophloia,Casuarina cristata,Synonym,synonym_candidate,fia_spcd:857
Ceanothus sorediatus,Ceanothus arboreus,Illegitimate,parent_species_candidate,p2veg:CESO2
Celtis ehrenbergiana,Celtis iguanaea,Synonym,synonym_candidate,p2veg:CEEH
Centaurium exaltatum,Zeltnera exaltata,Synonym,synonym_candidate,p2veg:CEEX
Chamaesyce albomarginata,Euphorbia albomarginata,Synonym,synonym_candidate,p2veg:CHAL11
Chamaesyce arizonica,Euphorbia arizonica,Synonym,synonym_candidate,p2veg:CHAR18
Chamaesyce maculata,Euphorbia maculata,Synonym,synonym_candidate,p2veg:CHMA15
Chamaesyce micromera,Euphorbia micromera,Synonym,synonym_candidate,p2veg:CHMI7
Chamaesyce missurica,Euphorbia missurica,Synonym,synonym_candidate,p2veg:CHMI8
Chamaesyce parryi,Euphorbia parryi,Synonym,synonym_candidate,p2veg:CHPA28
Chamaesyce revoluta,Euphorbia revoluta,Synonym,synonym_candidate,p2veg:CHRE4
Chamaesyce serrula,Euphorbia serrula,Synonym,synonym_candidate,p2veg:CHSE7
Chamaesyce setiloba,Euphorbia setiloba,Synonym,synonym_candidate,p2veg:CHSE8
Chamerion latifolium,Epilobium latifolium,Synonym,synonym_candidate,p2veg:CHLA13
Chrysothamnus gramineus,Cuniculotinus gramineus,Synonym,synonym_candidate,p2veg:CHGR13
Chrysothamnus linifolius,Lorandersonia linifolia,Synonym,synonym_candidate,p2veg:CHLI3
Claytonia heterophylla,Claytonia sibirica,Invalid,parent_species_candidate,p2veg:CLHE
Clinopodium douglasii,Micromeria douglasii,Synonym,synonym_candidate,p2veg:CLDO2
Conioselinum gmelinii,Conioselinum chinense,Illegitimate,parent_species_candidate,p2veg:COGM
Cyathea cooperi,Sphaeropteris cooperi,Synonym,synonym_candidate,fia_spcd:6837
Cyathea cooperi,Sphaeropteris cooperi,Synonym,synonym_candidate,p2veg:CYCO18
Dysphania graveolens,Chenopodium incisum,Synonym,synonym_candidate,p2veg:DYGR
Eleocharis radicans,Eleocharis exigua,Synonym,synonym_candidate,p2veg:ELRA
Erigeron colomexicanus,Erigeron tracyi,Synonym,synonym_candidate,p2veg:ERCO28
Eriophorum russeolum,Eriophorum chamissonis,Synonym,synonym_candidate,p2veg:ERRU2
Evax prolifera,Diaperia prolifera,Synonym,synonym_candidate,p2veg:EVPR
Festuca brevipila,Festuca trachyphylla,Synonym,synonym_candidate,p2veg:FEBR7
Grindelia nana,Grindelia hirsutula,Synonym,synonym_candidate,p2veg:GRNA
Grindelia papposa,Grindelia ciliata,Synonym,synonym_candidate,p2veg:GRPA8
Halesia parviflora,Styrax americanus,Illegitimate,parent_species_candidate,fia_spcd:583
Heliotropium convolvulaceum,Euploca convolvulacea,Synonym,synonym_candidate,p2veg:HECO5
Hymenoclea salsola,Ambrosia salsola,Synonym,synonym_candidate,p2veg:HYSA
Kumlienia cooleyae,Arcteranthis cooleyae,Synonym,synonym_candidate,p2veg:KUCO
Lamiastrum galeobdolon,Lamium galeobdolon,Synonym,synonym_candidate,p2veg:LAGA2
Lesquerella alpina,Physaria reediana,Synonym,synonym_candidate,p2veg:LEAL
Lesquerella arizonica,Physaria arizonica,Synonym,synonym_candidate,p2veg:LEAR4
Lesquerella condensata,Physaria nelsonii,Synonym,synonym_candidate,p2veg:LECO2
Lesquerella douglasii,Physaria douglasii,Synonym,synonym_candidate,p2veg:LEDO2
Lesquerella gordonii,Physaria gordonii,Synonym,synonym_candidate,p2veg:LEGO
Lesquerella montana,Physaria montana,Synonym,synonym_candidate,p2veg:LEMO3
Leymus simplex,Leymus triticoides,Synonym,synonym_candidate,p2veg:LESI5
Listera borealis,Neottia borealis,Synonym,synonym_candidate,p2veg:LIBO4
Listera caurina,Neottia banksiana,Synonym,synonym_candidate,p2veg:LICA10
Listera convallarioides,Neottia convallarioides,Synonym,synonym_candidate,p2veg:LICO5
Listera cordata,Neottia cordata,Synonym,synonym_candidate,p2veg:LICO6
Logfia arvensis,Filago arvensis,Synonym,synonym_candidate,p2veg:LOAR5
Logfia californica,Filago californica,Synonym,synonym_candidate,p2veg:LOCA19
Lotus humistratus,Acmispon brachycarpus,Synonym,synonym_candidate,p2veg:LOHU2
Lotus micranthus,Acmispon parviflorus,Synonym,synonym_candidate,p2veg:LOMI
Lotus pinnatus,Hosackia pinnata,Synonym,synonym_candidate,p2veg:LOPI2
