state,n_condition_rows,n_condition_rows_with_cwm,median_frac_weight_with_niche,p10_frac_weight_with_niche,n_condition_rows_below_95pct_niche_coverage,n_condition_rows_using_global_fallback,median_frac_weight_with_global_fallback_niche
AK,5022,4977,1,1,99,0,0
AL,23710,23656,1,1,1469,1,0
AR,19032,19010,1,0.981132075557177,1317,0,0
AZ,3860,3696,1,1,314,0,0
CA,7503,7490,1,1,103,0,0
CO,7295,7250,1,1,275,0,0
CT,946,939,1,0.833333333518604,183,0,0
DE,429,425,1,1,21,0,0
FL,11155,11009,1,1,673,0,0
GA,25296,25141,1,0.937500000312645,2701,0,0
HI,540,318,0.5,0,371,13,0
IA,2264,2253,1,1,73,0,0
ID,6182,6177,1,1,26,0,0
IL,4021,4004,1,1,217,0,0
IN,5441,5422,1,1,270,0,0
KS,2066,2055,1,1,121,0,0
KY,11223,11213,1,0.947368420949167,1158,0,0
LA,8863,8839,1,0.970588235399126,810,0,0
MA,1808,1799,1,0.909090909498811,245,0,0
MD,1363,1343,1,0.889371980949912,162,0,0
ME,14605,14595,1,0.991334332884087,634,0,0
MI,30238,30107,1,0.861111111126551,4946,0,0
MN,34069,33764,1,0.784613941258175,6198,0,0
MO,15064,15051,1,0.960000000128059,1295,0,0
MS,15865,15843,1,1,379,0,0
MT,7537,7518,1,1,81,0,0
NC,18742,18675,1,1,1244,0,0
ND,680,671,1,0.459165687317911,257,0,0
NE,935,931,1,1,25,0,0
NH,3502,3501,1,0.981818181911228,199,0,0
NJ,1592,1582,1,0.933333333582338,169,0,0
NM,4790,4772,1,1,127,0,0
NV,2541,2537,1,1,4,0,0
NY,10357,10241,1,0.810296010610341,2067,0,0
OH,5740,5695,1,0.882352941291864,917,0,0
OK,6415,6335,1,0.900000000453543,877,0,0
OR,15324,15173,1,1,1011,0,0
PA,9868,9702,1,0.666666667407751,2685,0,0
RI,318,318,1,1,15,0,0
SC,16133,16095,1,1,815,0,0
SD,1314,1305,1,0.956521739164477,129,0,0
TN,13306,13293,1,1,764,0,0
TX,22840,22468,1,0.916666667037209,2578,0,0
UT,5089,5088,1,1,1,0,0
VA,16546,16480,1,0.95652173930695,1560,0,0
VT,3265,3263,1,0.980392156897107,195,0,0
WA,9422,9411,1,1,63,0,0
WI,29962,29798,1,0.888888888839167,4562,0,0
WV,9185,7225,1,0.885489510506267,1117,0,0
WY,2092,2092,1,1,1,0,0
