species_key,SPCD,scientific_name,common_name,n_condition_rows,treecount_total,treecount_calc_total,seedlings_tpa,cwm_weight_total
fia_spcd:356,356,Amelanchier spp.,serviceberry spp.,36509,178922,178866,13377854.503425,13377854.503425
fia_spcd:832,832,Quercus prinus,chestnut oak,10415,44295,44192,3279806.069154,3279806.069154
fia_spcd:500,500,Crataegus spp.,hawthorn spp.,13824,39421,39345,2930018.059885,2930018.059885
fia_spcd:42,42,Chamaecyparis nootkatensis,Alaska yellow-cedar,1212,24982,24982,1872782.686032,1872782.686032
fia_spcd:694,694,Nyssa biflora,swamp tupelo,3200,9470,9470,709921.223758,709921.223758
fia_spcd:920,920,Salix spp.,willow spp.,372,3235,3226,241313.244133,241313.244133
fia_spcd:660,660,Malus spp.,apple spp.,1012,3167,3167,235091.125468,235091.125468
fia_spcd:760,760,Prunus spp.,Prunus,740,2542,2542,190036.990815,190036.990815
fia_spcd:7783,7783,Metrosideros polymorpha,ohia lehua,188,2257,2257,169196.642437,169196.642437
fia_spcd:999,999,Tree unknown,other or unknown live tree,361,1506,1505,107350.284376,107350.284376
fia_spcd:6547,6547,Cibotium glaucum,hapuu,152,1143,1143,85685.317794,85685.317794
fia_spcd:501,501,Crataegus crus-galli,cockspur hawthorn,342,837,837,62745.941305,62745.941305
fia_spcd:8421,8421,Pyrus calleryana,Callery pear,295,708,708,53075.41987,53075.41987
fia_spcd:53,53,Cupressus forbesii,Tecate cypress,2,562,562,42130.488737,42130.488737
fia_spcd:998,998,Tree broadleaf,unknown dead hardwood,225,498,498,37332.710593,37332.710593
fia_spcd:6514,6514,Cheirodendron trigynum,olapalapa,78,441,441,33059.689537,33059.689537
fia_spcd:323,323,Acer leucoderme,chalk maple,90,410,410,30735.765784,30735.765784
fia_spcd:6004,6004,Acacia confusa,small Philippine acacia,10,363,363,27212.397527,27212.397527
fia_spcd:580,580,Halesia spp.,silverbell spp.,134,361,361,27062.466916,27062.466916
fia_spcd:6548,6548,Cibotium menziesii,hapuu li,81,307,307,23014.341677,23014.341677
fia_spcd:571,571,Gymnocladus dioicus,Kentucky coffeetree,104,282,282,21065.244344,21065.244344
