output_path,producer_script,description
08_disturbance_linkage/qa/outputs/survey_interval_pairing_counts.csv,08_disturbance_linkage/scripts/fia/01_build_survey_intervals.R,Official PREV pairing counts
08_disturbance_linkage/qa/outputs/survey_interval_pairing_summary.csv,08_disturbance_linkage/scripts/fia/01_build_survey_intervals.R,Official PREV pairing summary
08_disturbance_linkage/qa/outputs/fia_survey_interval_validation_checks.csv,08_disturbance_linkage/qa/scripts/fia/01_validate_survey_intervals.R,Survey-interval validation checks
08_disturbance_linkage/qa/outputs/fia_forest_disturbance_summary.csv,08_disturbance_linkage/scripts/fia/02_build_forest_disturbance_measures.R,FIA disturbance evidence summary
08_disturbance_linkage/qa/outputs/fia_fire_years_restored_by_measurement_timing.csv,08_disturbance_linkage/scripts/fia/02_build_forest_disturbance_measures.R,Fire-year timing fallback cases
08_disturbance_linkage/qa/outputs/fia_damage_agent_build_by_state.csv,08_disturbance_linkage/scripts/fia/03_prepare_damage_agent_evidence.R,Damage-agent build counts by state
08_disturbance_linkage/qa/outputs/fia_damage_agent_condition_status_counts.csv,08_disturbance_linkage/qa/scripts/fia/03_validate_damage_agent_preparation.R,Condition-join status counts
08_disturbance_linkage/qa/outputs/fia_damage_agent_definition_applicability.csv,08_disturbance_linkage/qa/scripts/fia/03_validate_damage_agent_preparation.R,Definition applicability summary
08_disturbance_linkage/qa/outputs/fia_damage_agent_summary.csv,08_disturbance_linkage/qa/scripts/fia/03_validate_damage_agent_preparation.R,Damage-agent validation summary
08_disturbance_linkage/qa/outputs/fia_damage_agent_validation_checks.csv,08_disturbance_linkage/qa/scripts/fia/03_validate_damage_agent_preparation.R,Damage-agent validation checks
08_disturbance_linkage/qa/outputs/mtbs_perimeter_source_validation.csv,08_disturbance_linkage/scripts/mtbs/01_prepare_fire_perimeters.R,MTBS source checksum and schema checks
08_disturbance_linkage/qa/outputs/mtbs_fire_history_input_readiness.csv,08_disturbance_linkage/scripts/mtbs/02_extract_fire_history.R,MTBS input readiness checks
08_disturbance_linkage/qa/outputs/mtbs_fire_event_evidence_qa.csv,08_disturbance_linkage/scripts/mtbs/02_extract_fire_history.R,MTBS event evidence summary
08_disturbance_linkage/qa/outputs/ids_annual_evidence_by_year.csv,08_disturbance_linkage/scripts/ids/01_extract_annual_agent_history.R,IDS annual evidence counts
