section,category,n
component_size,1,562313
component_size,2,174024
component_size,4,101623
component_size,5+,81983
component_size,3,77280
components,total_components,997223
components,stable_plots,878730
components_per_stable_plot,1,760708
components_per_stable_plot,2,117552
components_per_stable_plot,3,469
components_per_stable_plot,4,1
edges,visits,1970769
edges,official_link_valid,973546
edges,connectivity_edge_valid,973546
edges,no_official_link,960932
edges,official_target_unavailable,34488
edges,official_target_other_stable_plot,1803
