state,histories,population_entries,intermediate_entries,modeled_deaths,unmapped_modeled_deaths,P2A_deaths_excluded
AK,1148,34007,0,1085,0,0
AL,816,30378,11857,1282,0,0
AR,1795,70973,25485,4449,0,0
AZ,2511,44597,1095,5716,0,0
CA,3461,99124,2393,12145,0,0
CO,2941,88704,1656,17164,0,0
CT,176,5259,2538,341,0,81
DE,61,2133,1065,21,0,44
FL,2025,69083,21079,3262,0,0
GA,818,33129,9565,2848,0,0
HI,125,3560,0,198,0,0
IA,148,4074,932,392,0,0
ID,3104,72336,0,13073,0,0
IL,243,6907,1104,311,0,0
IN,371,9541,1196,365,0,0
KS,175,4316,1066,510,0,0
KY,889,28332,7128,1275,0,0
LA,1074,40418,13355,1907,0,0
MA,325,11490,5483,546,0,208
MD,205,7320,5685,85,0,267
ME,1968,123358,45099,708,0,0
MI,5716,216738,23126,5326,0,0
MN,3129,141920,52105,9226,0,0
MO,1445,48087,8923,2887,0,0
MS,2590,102641,32815,3021,0,0
MT,3573,106038,0,17838,0,0
NC,468,18051,6552,1322,0,0
ND,78,2317,584,181,0,0
NE,93,2143,461,268,0,0
NH,843,41086,13842,542,0,609
NJ,430,12327,2908,322,0,136
NM,2089,42345,0,3934,0,0
NV,1480,30297,0,1863,0,0
NY,1910,74371,12454,3175,0,0
OH,776,23235,4331,1292,0,0
OK,1060,28653,5993,2556,0,0
OR,7376,194614,7112,16417,0,0
PA,1811,62573,10736,2485,0,0
RI,51,1844,787,186,0,30
SC,626,25493,7462,2190,0,0
SD,156,3861,559,548,0,0
TN,402,13206,1447,1215,0,0
TX,4236,80160,14922,4549,0,0
UT,2162,48972,1325,6975,0,0
VA,752,28515,6668,680,0,0
VT,718,29597,11829,772,0,519
WA,4505,142459,2894,14379,0,0
WI,4060,160761,41486,7147,0,0
WV,1197,37972,21651,621,0,1064
WY,465,11671,0,1058,0,0
