metric,specification,variable,value,n
correlation,current_cumulative_CWD,cumulative_site_CWD_mm__vs__full_survey_period_years,-0.0109600912916637,77822
univariate_R_squared,current_cumulative_CWD,cumulative_site_CWD_mm__on__full_survey_period_years,0.000120123601121588,77822
correlation,candidate_mean_annual_CWD,mean_annual_site_CWD_mm__vs__full_survey_period_years,-0.309604662720541,77822
VIF,current_cumulative_CWD,fire_cumulative_mortality_pct,1.00959384666626,77822
VIF,current_cumulative_CWD,insect_cumulative_mortality_pct,1.00281323648135,77822
VIF,current_cumulative_CWD,disease_cumulative_mortality_pct,1.00568468623461,77822
VIF,current_cumulative_CWD,cumulative_site_CWD_mm,1.00880474702472,77822
VIF,current_cumulative_CWD,full_survey_period_years,1.00546949977881,77822
VIF,candidate_mean_annual_CWD,fire_cumulative_mortality_pct,1.00745237901875,77822
VIF,candidate_mean_annual_CWD,insect_cumulative_mortality_pct,1.00157449667409,77822
VIF,candidate_mean_annual_CWD,disease_cumulative_mortality_pct,1.00568613402047,77822
VIF,candidate_mean_annual_CWD,mean_annual_site_CWD_mm,1.11206834313615,77822
VIF,candidate_mean_annual_CWD,full_survey_period_years,1.10998105019298,77822
