history_id,stable_plot_id,remeasurement_component_id,state,CONDID,first_PLT_CN,last_PLT_CN,first_measurement_date_lower,first_measurement_date_upper,first_measurement_date,last_measurement_date_lower,last_measurement_date_upper,last_measurement_date,history_date_source,first_included_month,last_included_month,expected_CWD_months,observed_CWD_months,cumulative_site_CWD_mm,mean_monthly_site_CWD_mm,min_monthly_site_CWD_mm,max_monthly_site_CWD_mm,cumulative_site_CWD_complete,cumulative_site_CWD_status
fia_component_v1|4_1_13_86982|2231901010690|2,4_1_13_86982,fia_component_v1|4_1_13_86982|2231901010690,AZ,2,2231901010690,547678512126144,2001-03-12,2001-03-12,2001-03-12,2021-04-28,2021-04-28,2021-04-28,exact_day_both_endpoints,2001-04-01,2021-04-01,241,241,38928.8,161.530290456432,5.8,302.5,TRUE,complete
fia_component_v1|4_2_15_86998|2233076010690|1,4_2_15_86998,fia_component_v1|4_2_15_86998|2233076010690,AZ,1,2233076010690,547679010126144,2001-03-15,2001-03-15,2001-03-15,2022-12-01,2022-12-01,2022-12-01,exact_day_both_endpoints,2001-04-01,2022-12-01,261,261,38360.6,146.975478927203,0,276,TRUE,complete
fia_component_v1|4_1_13_82467|2231626010690|1,4_1_13_82467,fia_component_v1|4_1_13_82467|2231626010690,AZ,1,2231626010690,547678890126144,2001-04-24,2001-04-24,2001-04-24,2022-01-20,2022-01-20,2022-01-20,exact_day_both_endpoints,2001-05-01,2022-01-01,249,249,37883.3,152.141767068273,0,276.1,TRUE,complete
fia_component_v1|4_2_15_81452|2232352010690|1,4_2_15_81452,fia_component_v1|4_2_15_81452|2232352010690,AZ,1,2232352010690,547678992126144,2001-11-29,2001-11-29,2001-11-29,2022-01-19,2022-01-19,2022-01-19,exact_day_both_endpoints,2001-12-01,2022-01-01,242,242,37691.3,155.749173553719,0,295.1,TRUE,complete
fia_component_v1|4_2_25_83640|2252164010690|1,4_2_25_83640,fia_component_v1|4_2_25_83640|2252164010690,AZ,1,2252164010690,667885545126144,2002-04-09,2002-04-09,2002-04-09,2023-12-13,2023-12-13,2023-12-13,exact_day_both_endpoints,2002-05-01,2023-12-01,260,260,36870.6,141.81,0,274.7,TRUE,complete
fia_component_v1|4_1_21_85104|2236065010690|1,4_1_21_85104,fia_component_v1|4_1_21_85104|2236065010690,AZ,1,2236065010690,547679263126144,2001-03-13,2001-03-13,2001-03-13,2021-10-13,2021-10-13,2021-10-13,exact_day_both_endpoints,2001-04-01,2021-10-01,247,247,36823.7,149.083805668016,0,271.7,TRUE,complete
fia_component_v1|4_1_13_81710|2246643010690|1,4_1_13_81710,fia_component_v1|4_1_13_81710|2246643010690,AZ,1,2246643010690,667885963126144,2002-03-26,2002-03-26,2002-03-26,2023-10-21,2023-10-21,2023-10-21,exact_day_both_endpoints,2002-04-01,2023-10-01,259,259,36737.7,141.844401544402,0,275.9,TRUE,complete
fia_component_v1|4_2_15_91452|2233540010690|1,4_2_15_91452,fia_component_v1|4_2_15_91452|2233540010690,AZ,1,2233540010690,547678921126144,2001-03-14,2001-03-14,2001-03-14,2021-04-26,2021-04-26,2021-04-26,exact_day_both_endpoints,2001-04-01,2021-04-01,241,241,35572.6,147.604149377593,0,275.1,TRUE,complete
fia_component_v1|4_2_25_82110|2236670010690|1,4_2_25_82110,fia_component_v1|4_2_25_82110|2236670010690,AZ,1,2236670010690,547679066126144,2001-04-04,2001-04-04,2001-04-04,2021-12-10,2021-12-10,2021-12-10,exact_day_both_endpoints,2001-05-01,2021-12-01,248,248,35565.8,143.410483870968,0,267.3,TRUE,complete
fia_component_v1|4_1_19_81625|2250308010690|1,4_1_19_81625,fia_component_v1|4_1_19_81625|2250308010690,AZ,1,2250308010690,667885809126144,2002-03-14,2002-03-14,2002-03-14,2023-04-24,2023-04-24,2023-04-24,exact_day_both_endpoints,2002-04-01,2023-04-01,253,253,35372.4,139.81185770751,0,269.2,TRUE,complete
