section,response,response_label,driver,driver_label,figure_path,caption,plot_order,panels,uncertainty
marginal_effect,cwd,CWD CWM change,fire_cumulative_mortality_pct,Fire mortality,09_analysis/results/model_runs/20260822_cumulative_mortality_site_cwd_all_groups_v01/figures/marginal_effects/cwd__fire_mortality.png,"HC1 plot-clustered ggpredict estimates for Seedlings, Saplings, Adults, Pooled all live",18,4,HC1 standard errors clustered by stable_plot_id
marginal_effect,cwd,CWD CWM change,insect_cumulative_mortality_pct,Insect mortality,09_analysis/results/model_runs/20260822_cumulative_mortality_site_cwd_all_groups_v01/figures/marginal_effects/cwd__insect_mortality.png,"HC1 plot-clustered ggpredict estimates for Seedlings, Saplings, Adults, Pooled all live",20,4,HC1 standard errors clustered by stable_plot_id
marginal_effect,cwd,CWD CWM change,disease_cumulative_mortality_pct,Disease mortality,09_analysis/results/model_runs/20260822_cumulative_mortality_site_cwd_all_groups_v01/figures/marginal_effects/cwd__disease_mortality.png,"HC1 plot-clustered ggpredict estimates for Seedlings, Saplings, Adults, Pooled all live",22,4,HC1 standard errors clustered by stable_plot_id
marginal_effect,cwd,CWD CWM change,cumulative_site_CWD_mm,Cumulative site CWD,09_analysis/results/model_runs/20260822_cumulative_mortality_site_cwd_all_groups_v01/figures/marginal_effects/cwd__site_cwd.png,"HC1 plot-clustered ggpredict estimates for Seedlings, Saplings, Adults, Pooled all live",24,4,HC1 standard errors clustered by stable_plot_id
raw_relationship,cwd,CWD CWM change,fire_cumulative_mortality_pct,Fire mortality,09_analysis/results/model_runs/20260822_cumulative_mortality_site_cwd_all_groups_v01/figures/raw_relationships/cwd__fire_mortality.png,"Complete-case raw observations and descriptive GAM for Seedlings, Saplings, Adults, Pooled all live",17,4,Descriptive GAM 95% confidence interval
raw_relationship,cwd,CWD CWM change,insect_cumulative_mortality_pct,Insect mortality,09_analysis/results/model_runs/20260822_cumulative_mortality_site_cwd_all_groups_v01/figures/raw_relationships/cwd__insect_mortality.png,"Complete-case raw observations and descriptive GAM for Seedlings, Saplings, Adults, Pooled all live",19,4,Descriptive GAM 95% confidence interval
raw_relationship,cwd,CWD CWM change,disease_cumulative_mortality_pct,Disease mortality,09_analysis/results/model_runs/20260822_cumulative_mortality_site_cwd_all_groups_v01/figures/raw_relationships/cwd__disease_mortality.png,"Complete-case raw observations and descriptive GAM for Seedlings, Saplings, Adults, Pooled all live",21,4,Descriptive GAM 95% confidence interval
raw_relationship,cwd,CWD CWM change,cumulative_site_CWD_mm,Cumulative site CWD,09_analysis/results/model_runs/20260822_cumulative_mortality_site_cwd_all_groups_v01/figures/raw_relationships/cwd__site_cwd.png,"Complete-case raw observations and descriptive GAM for Seedlings, Saplings, Adults, Pooled all live",23,4,Descriptive GAM 95% confidence interval
marginal_effect,precipitation,Precipitation CWM change,fire_cumulative_mortality_pct,Fire mortality,09_analysis/results/model_runs/20260822_cumulative_mortality_site_cwd_all_groups_v01/figures/marginal_effects/precipitation__fire_mortality.png,"HC1 plot-clustered ggpredict estimates for Seedlings, Saplings, Adults, Pooled all live",10,4,HC1 standard errors clustered by stable_plot_id
marginal_effect,precipitation,Precipitation CWM change,insect_cumulative_mortality_pct,Insect mortality,09_analysis/results/model_runs/20260822_cumulative_mortality_site_cwd_all_groups_v01/figures/marginal_effects/precipitation__insect_mortality.png,"HC1 plot-clustered ggpredict estimates for Seedlings, Saplings, Adults, Pooled all live",12,4,HC1 standard errors clustered by stable_plot_id
marginal_effect,precipitation,Precipitation CWM change,disease_cumulative_mortality_pct,Disease mortality,09_analysis/results/model_runs/20260822_cumulative_mortality_site_cwd_all_groups_v01/figures/marginal_effects/precipitation__disease_mortality.png,"HC1 plot-clustered ggpredict estimates for Seedlings, Saplings, Adults, Pooled all live",14,4,HC1 standard errors clustered by stable_plot_id
marginal_effect,precipitation,Precipitation CWM change,cumulative_site_CWD_mm,Cumulative site CWD,09_analysis/results/model_runs/20260822_cumulative_mortality_site_cwd_all_groups_v01/figures/marginal_effects/precipitation__site_cwd.png,"HC1 plot-clustered ggpredict estimates for Seedlings, Saplings, Adults, Pooled all live",16,4,HC1 standard errors clustered by stable_plot_id
raw_relationship,precipitation,Precipitation CWM change,fire_cumulative_mortality_pct,Fire mortality,09_analysis/results/model_runs/20260822_cumulative_mortality_site_cwd_all_groups_v01/figures/raw_relationships/precipitation__fire_mortality.png,"Complete-case raw observations and descriptive GAM for Seedlings, Saplings, Adults, Pooled all live",9,4,Descriptive GAM 95% confidence interval
raw_relationship,precipitation,Precipitation CWM change,insect_cumulative_mortality_pct,Insect mortality,09_analysis/results/model_runs/20260822_cumulative_mortality_site_cwd_all_groups_v01/figures/raw_relationships/precipitation__insect_mortality.png,"Complete-case raw observations and descriptive GAM for Seedlings, Saplings, Adults, Pooled all live",11,4,Descriptive GAM 95% confidence interval
raw_relationship,precipitation,Precipitation CWM change,disease_cumulative_mortality_pct,Disease mortality,09_analysis/results/model_runs/20260822_cumulative_mortality_site_cwd_all_groups_v01/figures/raw_relationships/precipitation__disease_mortality.png,"Complete-case raw observations and descriptive GAM for Seedlings, Saplings, Adults, Pooled all live",13,4,Descriptive GAM 95% confidence interval
