response,predictor,comparison,estimate,std_error,conf_low,conf_high,p_value
temperature,fire_cumulative_mortality_pct,Saplings - Seedlings,0.000483724043626927,0.00129740278414637,-0.00205916301252928,0.00302661109978313,0.709267931231936
temperature,fire_cumulative_mortality_pct,Adults - Seedlings,0.00161259285493179,0.00112202448646948,-0.000586555765834278,0.00381174147569786,0.150658769155436
temperature,fire_cumulative_mortality_pct,Adults - Saplings,0.00112886881130486,0.00121253208043914,-0.00124767313095058,0.00350541075356031,0.351854724308403
temperature,insect_cumulative_mortality_pct,Saplings - Seedlings,0.00203715949094322,0.0011435845936314,-0.000204246567606497,0.00427856554949294,0.074852681778615
temperature,insect_cumulative_mortality_pct,Adults - Seedlings,0.00266504884865141,0.000965269868582644,0.000773136572440754,0.00455696112486207,0.00576441763330782
temperature,insect_cumulative_mortality_pct,Adults - Saplings,0.000627889357708194,0.000948337364284682,-0.00123083550243265,0.00248661421784904,0.507911592863877
temperature,disease_cumulative_mortality_pct,Saplings - Seedlings,0.00118405590871744,0.00121296169898678,-0.00119332807847364,0.00356143989590853,0.328982466442453
temperature,disease_cumulative_mortality_pct,Adults - Seedlings,-0.000488182391207039,0.00105680089100475,-0.0025594938910035,0.00158312910858942,0.644122572185519
temperature,disease_cumulative_mortality_pct,Adults - Saplings,-0.00167223829992448,0.00103102507284088,-0.00369302964116134,0.000348553041312378,0.104823361980599
temperature,cumulative_site_CWD_mm,Saplings - Seedlings,-8.64190472983233e-07,1.66459118990428e-06,-4.12676046460251e-06,2.39837951863605e-06,0.603649529301405
temperature,cumulative_site_CWD_mm,Adults - Seedlings,1.25708004451897e-06,1.46046185124536e-06,-1.60539996779674e-06,4.11956005683469e-06,0.389382092198542
temperature,cumulative_site_CWD_mm,Adults - Saplings,2.12127051750221e-06,1.37847173258783e-06,-5.80510277874405e-07,4.82305131287882e-06,0.123841774792882
temperature,full_survey_period_years,Saplings - Seedlings,5.18813536827145e-06,0.00159953148234601,-0.0031298659527484,0.00314024222348494,0.997412043640436
temperature,full_survey_period_years,Adults - Seedlings,0.000374069046212269,0.00144180678582447,-0.00245184735997419,0.00319998545239873,0.795292610855463
temperature,full_survey_period_years,Adults - Saplings,0.000368880910843997,0.00137850730328619,-0.00233296960248724,0.00307073142417524,0.789011935635464
precipitation,fire_cumulative_mortality_pct,Saplings - Seedlings,-0.0197895846810614,0.114369517343596,-0.243951863986802,0.204372694624679,0.862626562701682
