scenario,response,group,n,stable_plots,r_squared,adjusted_r_squared
baseline,CWD,community,77669,76422,0.00107845218941662,0.00101414089911045
condition_prop_80,CWD,community,53280,53278,0.00124917440111133,0.001155437228607
state_fixed_effects,CWD,community,77669,76422,0.00444947279145144,0.00375681774894288
mean_monthly_CWD,CWD,community,77669,76422,0.00109058618988916,0.00102627568077862
no_survey_period,CWD,community,77669,76422,0.00101079734318453,0.00095934548890686
baseline,CWD,saplings,50463,50031,0.000756101820938671,0.000657082468006554
common_histories,CWD,saplings,42181,41907,0.00126712995402587,0.00114872653137665
condition_prop_80,CWD,saplings,35675,35673,0.000723309537916515,0.00058323318443565
state_fixed_effects,CWD,saplings,50463,50031,0.0042322503699978,0.00316552567391737
mean_monthly_CWD,CWD,saplings,50463,50031,0.000728258846330061,0.000629236734318583
no_survey_period,CWD,saplings,50463,50031,0.000634399655987167,0.00055517609577127
baseline,CWD,seedlings,59395,58711,0.00135653130047046,0.00127245483271543
common_histories,CWD,seedlings,42181,41907,0.000392133961986253,0.000273626805372351
condition_prop_80,CWD,seedlings,41245,41243,0.00115029935417194,0.00102919436852178
state_fixed_effects,CWD,seedlings,59395,58711,0.00654220751021103,0.00563815087397168
mean_monthly_CWD,CWD,seedlings,59395,58711,0.00139999817271863,0.00131592536446901
no_survey_period,CWD,seedlings,59395,58711,0.00131205877890081,0.00124479574194369
baseline,CWD,trees,73981,72893,0.0034684065437312,0.00340105057256135
common_histories,CWD,trees,42181,41907,0.00216747033727918,0.00204917365326462
condition_prop_80,CWD,trees,50936,50934,0.0035254240819629,0.00342759622255606
state_fixed_effects,CWD,trees,73981,72893,0.00524577881163575,0.00451915045430318
mean_monthly_CWD,CWD,trees,73981,72893,0.00337465057409256,0.00330728826591908
no_survey_period,CWD,trees,73981,72893,0.00346605424955774,0.00341217007383854
baseline,precipitation,community,77669,76422,0.00123324007296632,0.00116893874801582
condition_prop_80,precipitation,community,53280,53278,0.00180091893843709,0.00170723354959246
state_fixed_effects,precipitation,community,77669,76422,0.005952535165531,0.0052609258798213
mean_monthly_CWD,precipitation,community,77669,76422,0.00116472296338891,0.0011004172272574
no_survey_period,precipitation,community,77669,76422,0.000515765195633304,0.000464287845262312
baseline,precipitation,saplings,50463,50031,0.00121825125959628,0.00111927770302933
common_histories,precipitation,saplings,42181,41907,0.00159597313625341,0.00147760869916225
condition_prop_80,precipitation,saplings,35675,35673,0.00165539538851041,0.00151544969272266
state_fixed_effects,precipitation,saplings,50463,50031,0.00776091387863863,0.0066979692934428
mean_monthly_CWD,precipitation,saplings,50463,50031,0.000959309687120465,0.000860310470925163
no_survey_period,precipitation,saplings,50463,50031,0.000947236737976441,0.000868037977560965
baseline,precipitation,seedlings,59395,58711,0.000939656282479334,0.000855544717735302
common_histories,precipitation,seedlings,42181,41907,0.000667750287498798,0.000549275806205007
condition_prop_80,precipitation,seedlings,41245,41243,0.00115401814509473,0.00103291361032731
state_fixed_effects,precipitation,seedlings,59395,58711,0.0073552476020808,0.00645193084054585
mean_monthly_CWD,precipitation,seedlings,59395,58711,0.000962031970502297,0.000877922289582389
no_survey_period,precipitation,seedlings,59395,58711,0.000506827827054083,0.00043951055666025
baseline,precipitation,trees,73981,72893,0.00335604990614722,0.00328868634074708
common_histories,precipitation,trees,42181,41907,0.00220106104046724,0.00208276833875298
condition_prop_80,precipitation,trees,50936,50934,0.00363184495336831,0.00353402754172028
state_fixed_effects,precipitation,trees,73981,72893,0.00742751819705199,0.00670248351348524
mean_monthly_CWD,precipitation,trees,73981,72893,0.00314620927894439,0.00307883153033184
no_survey_period,precipitation,trees,73981,72893,0.00264796025943134,0.00259403184806872
baseline,temperature,community,77669,76422,0.00217628665096166,0.00211204604003068
condition_prop_80,temperature,community,53280,53278,0.00265813915005689,0.00256453421511216
state_fixed_effects,temperature,community,77669,76422,0.0100755787607776,0.0093868380858102
mean_monthly_CWD,temperature,community,77669,76422,0.00210532663996237,0.00204108146057458
no_survey_period,temperature,community,77669,76422,0.000319277328811962,0.000267789858546696
baseline,temperature,saplings,50463,50031,0.0012806171787984,0.00118164980233715
common_histories,temperature,saplings,42181,41907,0.00126821430302157,0.00114981100892597
condition_prop_80,temperature,saplings,35675,35673,0.00198227218916884,0.0018423723142339
state_fixed_effects,temperature,saplings,50463,50031,0.00856414150848768,0.00750205738774212
mean_monthly_CWD,temperature,saplings,50463,50031,0.00105916479863541,0.000960175477510372
no_survey_period,temperature,saplings,50463,50031,0.000512978484669275,0.000433745298929367
baseline,temperature,seedlings,59395,58711,0.00163462899598438,0.00155057594146224
common_histories,temperature,seedlings,42181,41907,0.00108800546821721,0.000969580809707216
condition_prop_80,temperature,seedlings,41245,41243,0.00189214939118568,0.00177113435073739
state_fixed_effects,temperature,seedlings,59395,58711,0.0112566997454592,0.0103569333448231
mean_monthly_CWD,temperature,seedlings,59395,58711,0.00154709267867106,0.00146303225440714
no_survey_period,temperature,seedlings,59395,58711,0.000431102406603809,0.000363780035996464
baseline,temperature,trees,73981,72893,0.00336703460994019,0.00329967178700052
common_histories,temperature,trees,42181,41907,0.00294984349751513,0.00283163956669086
condition_prop_80,temperature,trees,50936,50934,0.00355832003724526,0.00346049540736471
state_fixed_effects,temperature,trees,73981,72893,0.0106024222223765,0.00987970667980709
mean_monthly_CWD,temperature,trees,73981,72893,0.00329069194839745,0.00322332396542668
no_survey_period,temperature,trees,73981,72893,0.000537622569639871,0.000483580048961207
