response,group,group_label,term,estimate_baseline,estimate_common_histories,estimate_condition_prop_80,estimate_state_fixed_effects,estimate_mean_monthly_CWD,estimate_no_survey_period,conf_low_baseline,conf_low_common_histories,conf_low_condition_prop_80,conf_low_state_fixed_effects,conf_low_mean_monthly_CWD,conf_low_no_survey_period,conf_high_baseline,conf_high_common_histories,conf_high_condition_prop_80,conf_high_state_fixed_effects,conf_high_mean_monthly_CWD,conf_high_no_survey_period,p_value_baseline,p_value_common_histories,p_value_condition_prop_80,p_value_state_fixed_effects,p_value_mean_monthly_CWD,p_value_no_survey_period,n_baseline,n_common_histories,n_condition_prop_80,n_state_fixed_effects,n_mean_monthly_CWD,n_no_survey_period,sign_consistent
CWD,community,Pooled all live,disease_cumulative_mortality_pct,0.0804777086559402,,0.0705227404098115,0.0698477036972339,0.0825616900928073,0.0765492074252366,0.0124555026007492,,-0.00223199047139018,0.0005221641879367,0.014531359579876,0.00879157854177566,0.148499914711131,,0.143277471291013,0.139173243206531,0.150592020605739,0.144306836308698,0.0204036986410659,,0.0574544195566964,0.0482992299101536,0.0173784886653543,0.0268107264594741,77669,,53280,77669,77669,77669,TRUE
CWD,community,Pooled all live,fire_cumulative_mortality_pct,-0.112661501828298,,-0.0909150792980535,-0.113384534700169,-0.11149228866251,-0.111457687070211,-0.178069976920893,,-0.166033202570393,-0.179418686193791,-0.176824138849138,-0.176886301297002,-0.0472530267357028,,-0.0157969560257144,-0.0473503832065475,-0.0461604384758819,-0.0460290728434209,0.000735965516254312,,0.0176866096742127,0.000764625015609148,0.000823704166873635,0.000841649270951496,77669,,53280,77669,77669,77669,TRUE
CWD,community,Pooled all live,insect_cumulative_mortality_pct,0.0149680041977463,,-0.0117776946043676,0.0478562548253352,0.0174710154958366,0.0155637178122578,-0.0510342477125326,,-0.0880800366358322,-0.019374705698177,-0.0483961200577034,-0.0504055326429624,0.0809702561080252,,0.0645246474270971,0.115087215348847,0.0833381510493766,0.081532968267478,0.656691069714188,,0.76224291377375,0.162971356131024,0.603147762332252,0.643789052234552,77669,,53280,77669,77669,77669,FALSE
CWD,saplings,Saplings,disease_cumulative_mortality_pct,0.00623781649819615,0.00735483321694565,-0.0340242273981764,-0.00699021436210864,0.00865045928975958,-0.000154738911232534,-0.0928964855589332,-0.0990998018458098,-0.153140021688731,-0.108596280765866,-0.0905191245534804,-0.0989811588283161,0.105372118555326,0.113809468279701,0.0850915668923785,0.0946158520416486,0.107820043133,0.098671681005851,0.901846632365392,0.8922839098958,0.575576418922277,0.892736307781571,0.864248265312276,0.99755137538669,50463,42181,35675,50463,50463,50463,FALSE
CWD,saplings,Saplings,fire_cumulative_mortality_pct,0.00274429505341308,0.0569464448707704,-0.0231935983457017,-0.00202175826257098,0.0048410436584821,0.0035418107886087,-0.159502671712547,-0.113116759805544,-0.224342569143334,-0.164637381907443,-0.157302702573068,-0.158751977286361,0.164991261819373,0.227009649547085,0.17795537245193,0.160593865382301,0.166984789890032,0.165835598863578,0.973553324525841,0.511620691167441,0.821200810405882,0.980558919280105,0.953335416422074,0.965881694143669,50463,42181,35675,50463,50463,50463,FALSE
CWD,saplings,Saplings,insect_cumulative_mortality_pct,0.194713906363038,0.181155268262422,0.176218390020375,0.216178823534138,0.196867897521542,0.19492297402481,0.0862070488115111,0.0620983073516363,0.0513925521958109,0.103347682721616,0.0883179245574984,0.086460173099714,0.303220763914565,0.300212229173207,0.301044227844939,0.32900996434666,0.305417870485586,0.303385774949906,0.000436491657067091,0.00286220311853822,0.00566034400208986,0.000173340145464614,0.000378747605618771,0.000428009116155673,50463,42181,35675,50463,50463,50463,TRUE
CWD,seedlings,Seedlings,disease_cumulative_mortality_pct,0.0340918186036687,-0.0497981922245199,-0.0111967311365978,0.0162353494313728,0.0352335485132602,0.030798287378042,-0.0504431940154784,-0.156265161513969,-0.114481608787214,-0.0704304977745133,-0.0492021460895605,-0.0535704024032744,0.118626831222816,0.0566687770649298,0.0920881465140187,0.102901196637259,0.119669243116081,0.115166977159358,0.42927232725664,0.35926969348687,0.831734663535699,0.713491372266972,0.413431511084353,0.474310518551228,59395,42181,41245,59395,59395,59395,FALSE
CWD,seedlings,Seedlings,fire_cumulative_mortality_pct,-0.210810367458222,-0.13864929220084,-0.16474314908525,-0.214178393254885,-0.21093436208465,-0.209494316173729,-0.301498558105749,-0.317515039799609,-0.267996623282493,-0.305263526368097,-0.301554932079623,-0.300188585092141,-0.120122176810694,0.0402164553979287,-0.061489674888006,-0.123093260141672,-0.120313792089677,-0.118800047255317,5.22028633905746e-06,0.128687901869662,0.00176568494252747,4.05898468555412e-06,5.07134654831171e-06,5.98282593757756e-06,59395,42181,41245,59395,59395,59395,TRUE
CWD,seedlings,Seedlings,insect_cumulative_mortality_pct,-0.0198092145520895,-0.00284743252951558,-0.0553669424302944,0.0439704760536114,-0.0190442308668721,-0.0185024174814707,-0.100488979549605,-0.115018100955505,-0.14839071938735,-0.0390658362860157,-0.0995191579282179,-0.0990517113909636,0.0608705504454259,0.109323235896474,0.0376568345267613,0.127006788393239,0.0614306961944738,0.0620468764280221,0.630349396782141,0.960318049017526,0.243383640876788,0.299326905623959,0.64277051840869,0.652554284636171,59395,42181,41245,59395,59395,59395,FALSE
CWD,trees,Adults,disease_cumulative_mortality_pct,0.189783950390506,0.1653972747813,0.159901881919368,0.188584644565247,0.19139597138933,0.190303986305135,0.128063817676939,0.0994107053427259,0.101303824874985,0.12527306929275,0.129645330683326,0.128844134535875,0.251504083104074,0.231383844219875,0.21849993896375,0.251896219837744,0.253146612095334,0.251763838074396,1.68010472327223e-09,9.00984838237268e-07,8.90872250131541e-08,5.29899034047238e-09,1.2458768940298e-09,1.29394818998113e-09,73981,42181,50936,73981,73981,73981,TRUE
