section,response,response_label,driver,driver_label,figure_path,caption,plot_order,panels,uncertainty
marginal_effect,cwd,CWD CWM change,fire_cumulative_mortality_pct,Fire mortality,09_analysis/results/model_runs/20260905_cumulative_mortality_site_cwd_no_seedlings_v01/figures/marginal_effects/cwd__fire_mortality.png,"HC1 plot-clustered ggpredict estimates for Saplings, Adults, Combined saplings + adults",18,3,HC1 standard errors clustered by stable_plot_id
marginal_effect,cwd,CWD CWM change,insect_cumulative_mortality_pct,Insect mortality,09_analysis/results/model_runs/20260905_cumulative_mortality_site_cwd_no_seedlings_v01/figures/marginal_effects/cwd__insect_mortality.png,"HC1 plot-clustered ggpredict estimates for Saplings, Adults, Combined saplings + adults",20,3,HC1 standard errors clustered by stable_plot_id
marginal_effect,cwd,CWD CWM change,disease_cumulative_mortality_pct,Disease mortality,09_analysis/results/model_runs/20260905_cumulative_mortality_site_cwd_no_seedlings_v01/figures/marginal_effects/cwd__disease_mortality.png,"HC1 plot-clustered ggpredict estimates for Saplings, Adults, Combined saplings + adults",22,3,HC1 standard errors clustered by stable_plot_id
marginal_effect,cwd,CWD CWM change,cumulative_site_CWD_mm,Cumulative site CWD,09_analysis/results/model_runs/20260905_cumulative_mortality_site_cwd_no_seedlings_v01/figures/marginal_effects/cwd__site_cwd.png,"HC1 plot-clustered ggpredict estimates for Saplings, Adults, Combined saplings + adults",24,3,HC1 standard errors clustered by stable_plot_id
raw_relationship,cwd,CWD CWM change,fire_cumulative_mortality_pct,Fire mortality,09_analysis/results/model_runs/20260905_cumulative_mortality_site_cwd_no_seedlings_v01/figures/raw_relationships/cwd__fire_mortality.png,"Complete-case raw observations and descriptive GAM for Saplings, Adults, Combined saplings + adults",17,3,Descriptive GAM 95% confidence interval
raw_relationship,cwd,CWD CWM change,insect_cumulative_mortality_pct,Insect mortality,09_analysis/results/model_runs/20260905_cumulative_mortality_site_cwd_no_seedlings_v01/figures/raw_relationships/cwd__insect_mortality.png,"Complete-case raw observations and descriptive GAM for Saplings, Adults, Combined saplings + adults",19,3,Descriptive GAM 95% confidence interval
raw_relationship,cwd,CWD CWM change,disease_cumulative_mortality_pct,Disease mortality,09_analysis/results/model_runs/20260905_cumulative_mortality_site_cwd_no_seedlings_v01/figures/raw_relationships/cwd__disease_mortality.png,"Complete-case raw observations and descriptive GAM for Saplings, Adults, Combined saplings + adults",21,3,Descriptive GAM 95% confidence interval
raw_relationship,cwd,CWD CWM change,cumulative_site_CWD_mm,Cumulative site CWD,09_analysis/results/model_runs/20260905_cumulative_mortality_site_cwd_no_seedlings_v01/figures/raw_relationships/cwd__site_cwd.png,"Complete-case raw observations and descriptive GAM for Saplings, Adults, Combined saplings + adults",23,3,Descriptive GAM 95% confidence interval
marginal_effect,precipitation,Precipitation CWM change,fire_cumulative_mortality_pct,Fire mortality,09_analysis/results/model_runs/20260905_cumulative_mortality_site_cwd_no_seedlings_v01/figures/marginal_effects/precipitation__fire_mortality.png,"HC1 plot-clustered ggpredict estimates for Saplings, Adults, Combined saplings + adults",10,3,HC1 standard errors clustered by stable_plot_id
marginal_effect,precipitation,Precipitation CWM change,insect_cumulative_mortality_pct,Insect mortality,09_analysis/results/model_runs/20260905_cumulative_mortality_site_cwd_no_seedlings_v01/figures/marginal_effects/precipitation__insect_mortality.png,"HC1 plot-clustered ggpredict estimates for Saplings, Adults, Combined saplings + adults",12,3,HC1 standard errors clustered by stable_plot_id
marginal_effect,precipitation,Precipitation CWM change,disease_cumulative_mortality_pct,Disease mortality,09_analysis/results/model_runs/20260905_cumulative_mortality_site_cwd_no_seedlings_v01/figures/marginal_effects/precipitation__disease_mortality.png,"HC1 plot-clustered ggpredict estimates for Saplings, Adults, Combined saplings + adults",14,3,HC1 standard errors clustered by stable_plot_id
marginal_effect,precipitation,Precipitation CWM change,cumulative_site_CWD_mm,Cumulative site CWD,09_analysis/results/model_runs/20260905_cumulative_mortality_site_cwd_no_seedlings_v01/figures/marginal_effects/precipitation__site_cwd.png,"HC1 plot-clustered ggpredict estimates for Saplings, Adults, Combined saplings + adults",16,3,HC1 standard errors clustered by stable_plot_id
raw_relationship,precipitation,Precipitation CWM change,fire_cumulative_mortality_pct,Fire mortality,09_analysis/results/model_runs/20260905_cumulative_mortality_site_cwd_no_seedlings_v01/figures/raw_relationships/precipitation__fire_mortality.png,"Complete-case raw observations and descriptive GAM for Saplings, Adults, Combined saplings + adults",9,3,Descriptive GAM 95% confidence interval
raw_relationship,precipitation,Precipitation CWM change,insect_cumulative_mortality_pct,Insect mortality,09_analysis/results/model_runs/20260905_cumulative_mortality_site_cwd_no_seedlings_v01/figures/raw_relationships/precipitation__insect_mortality.png,"Complete-case raw observations and descriptive GAM for Saplings, Adults, Combined saplings + adults",11,3,Descriptive GAM 95% confidence interval
raw_relationship,precipitation,Precipitation CWM change,disease_cumulative_mortality_pct,Disease mortality,09_analysis/results/model_runs/20260905_cumulative_mortality_site_cwd_no_seedlings_v01/figures/raw_relationships/precipitation__disease_mortality.png,"Complete-case raw observations and descriptive GAM for Saplings, Adults, Combined saplings + adults",13,3,Descriptive GAM 95% confidence interval
raw_relationship,precipitation,Precipitation CWM change,cumulative_site_CWD_mm,Cumulative site CWD,09_analysis/results/model_runs/20260905_cumulative_mortality_site_cwd_no_seedlings_v01/figures/raw_relationships/precipitation__site_cwd.png,"Complete-case raw observations and descriptive GAM for Saplings, Adults, Combined saplings + adults",15,3,Descriptive GAM 95% confidence interval
marginal_effect,temperature,Temperature CWM change,fire_cumulative_mortality_pct,Fire mortality,09_analysis/results/model_runs/20260905_cumulative_mortality_site_cwd_no_seedlings_v01/figures/marginal_effects/temperature__fire_mortality.png,"HC1 plot-clustered ggpredict estimates for Saplings, Adults, Combined saplings + adults",2,3,HC1 standard errors clustered by stable_plot_id
marginal_effect,temperature,Temperature CWM change,insect_cumulative_mortality_pct,Insect mortality,09_analysis/results/model_runs/20260905_cumulative_mortality_site_cwd_no_seedlings_v01/figures/marginal_effects/temperature__insect_mortality.png,"HC1 plot-clustered ggpredict estimates for Saplings, Adults, Combined saplings + adults",4,3,HC1 standard errors clustered by stable_plot_id
marginal_effect,temperature,Temperature CWM change,disease_cumulative_mortality_pct,Disease mortality,09_analysis/results/model_runs/20260905_cumulative_mortality_site_cwd_no_seedlings_v01/figures/marginal_effects/temperature__disease_mortality.png,"HC1 plot-clustered ggpredict estimates for Saplings, Adults, Combined saplings + adults",6,3,HC1 standard errors clustered by stable_plot_id
marginal_effect,temperature,Temperature CWM change,cumulative_site_CWD_mm,Cumulative site CWD,09_analysis/results/model_runs/20260905_cumulative_mortality_site_cwd_no_seedlings_v01/figures/marginal_effects/temperature__site_cwd.png,"HC1 plot-clustered ggpredict estimates for Saplings, Adults, Combined saplings + adults",8,3,HC1 standard errors clustered by stable_plot_id
raw_relationship,temperature,Temperature CWM change,fire_cumulative_mortality_pct,Fire mortality,09_analysis/results/model_runs/20260905_cumulative_mortality_site_cwd_no_seedlings_v01/figures/raw_relationships/temperature__fire_mortality.png,"Complete-case raw observations and descriptive GAM for Saplings, Adults, Combined saplings + adults",1,3,Descriptive GAM 95% confidence interval
raw_relationship,temperature,Temperature CWM change,insect_cumulative_mortality_pct,Insect mortality,09_analysis/results/model_runs/20260905_cumulative_mortality_site_cwd_no_seedlings_v01/figures/raw_relationships/temperature__insect_mortality.png,"Complete-case raw observations and descriptive GAM for Saplings, Adults, Combined saplings + adults",3,3,Descriptive GAM 95% confidence interval
raw_relationship,temperature,Temperature CWM change,disease_cumulative_mortality_pct,Disease mortality,09_analysis/results/model_runs/20260905_cumulative_mortality_site_cwd_no_seedlings_v01/figures/raw_relationships/temperature__disease_mortality.png,"Complete-case raw observations and descriptive GAM for Saplings, Adults, Combined saplings + adults",5,3,Descriptive GAM 95% confidence interval
raw_relationship,temperature,Temperature CWM change,cumulative_site_CWD_mm,Cumulative site CWD,09_analysis/results/model_runs/20260905_cumulative_mortality_site_cwd_no_seedlings_v01/figures/raw_relationships/temperature__site_cwd.png,"Complete-case raw observations and descriptive GAM for Saplings, Adults, Combined saplings + adults",7,3,Descriptive GAM 95% confidence interval
