scenario,response,group,group_label,term,estimate,std_error,statistic,p_value,conf_low,conf_high,n,stable_plots
baseline,CWD,community,Combined saplings + adults,cumulative_site_CWD_mm,0.000287673508532651,5.60147573361182e-05,5.13567356556518,2.81837717292373e-07,0.000177884826968316,0.000397462190096986,74888,73685
baseline,CWD,community,Combined saplings + adults,disease_cumulative_mortality_pct,0.178632370002177,0.0379297440281009,4.7095590697853,2.48697467597888e-06,0.104290236126096,0.252974503878259,74888,73685
baseline,CWD,community,Combined saplings + adults,fire_cumulative_mortality_pct,0.104627870380963,0.0352860801469838,2.96513157440942,0.00302648843309269,0.0354673062520375,0.173788434509888,74888,73685
baseline,CWD,community,Combined saplings + adults,full_survey_period_years,-0.0949058213207433,0.0338129194320727,-2.80679169130607,0.00500505102186258,-0.161178996834345,-0.028632645807142,74888,73685
baseline,CWD,community,Combined saplings + adults,insect_cumulative_mortality_pct,0.130925099732772,0.0295175262293753,4.4355037991794,9.1987831564145e-06,0.0730708762766576,0.188779323188886,74888,73685
condition_prop_80,CWD,community,Combined saplings + adults,cumulative_site_CWD_mm,0.000267963567261995,6.22274088339472e-05,4.30619838240495,1.66390784112606e-05,0.000145997221729344,0.000389929912794646,51526,51524
condition_prop_80,CWD,community,Combined saplings + adults,disease_cumulative_mortality_pct,0.123569473912669,0.0390947525270662,3.16076879696625,0.00157444416104557,0.0469433667907472,0.20019558103459,51526,51524
condition_prop_80,CWD,community,Combined saplings + adults,fire_cumulative_mortality_pct,0.11511833706046,0.0411694954369521,2.79620471027523,0.00517257844070282,0.0344257130229169,0.195810961098003,51526,51524
condition_prop_80,CWD,community,Combined saplings + adults,full_survey_period_years,-0.132114019227118,0.0389030572469097,-3.39598038243157,0.000684348694021957,-0.208364401676991,-0.0558636367772445,51526,51524
condition_prop_80,CWD,community,Combined saplings + adults,insect_cumulative_mortality_pct,0.119485549110419,0.0347856090755175,3.43491323814462,0.000593210284760236,0.0513054063795879,0.187665691841249,51526,51524
state_fixed_effects,CWD,community,Combined saplings + adults,cumulative_site_CWD_mm,0.000340005748592458,9.64825165761947e-05,3.52401409766241,0.00042531510860822,0.000150900432336949,0.000529111064847966,74888,73685
state_fixed_effects,CWD,community,Combined saplings + adults,disease_cumulative_mortality_pct,0.177855887847292,0.0388959963934754,4.57260140730387,4.82476103308057e-06,0.101619902716737,0.254091872977847,74888,73685
state_fixed_effects,CWD,community,Combined saplings + adults,fire_cumulative_mortality_pct,0.10863218353877,0.0355871329532468,3.05256913169956,0.00226971019130096,0.0388815564763428,0.178382810601196,74888,73685
state_fixed_effects,CWD,community,Combined saplings + adults,full_survey_period_years,-0.260619823668958,0.051573579218248,-5.05335925137312,4.35125910425203e-07,-0.36170381644389,-0.159535830894026,74888,73685
state_fixed_effects,CWD,community,Combined saplings + adults,insect_cumulative_mortality_pct,0.141711329623719,0.0301903819875175,4.69392304086485,2.68488685152506e-06,0.0825383111720768,0.200884348075362,74888,73685
mean_monthly_CWD,CWD,community,Combined saplings + adults,disease_cumulative_mortality_pct,0.180830394119966,0.0379434893703934,4.76578188038407,1.88475012067029e-06,0.106461319432576,0.255199468807357,74888,73685
mean_monthly_CWD,CWD,community,Combined saplings + adults,fire_cumulative_mortality_pct,0.106540772339562,0.0352612396478722,3.02146984631016,0.00251635599995057,0.0374288954812161,0.175652649197909,74888,73685
mean_monthly_CWD,CWD,community,Combined saplings + adults,full_survey_period_years,-0.0216941787777788,0.0358197827070805,-0.605647972663176,0.544750374806165,-0.091900797610984,0.0485124400554264,74888,73685
mean_monthly_CWD,CWD,community,Combined saplings + adults,insect_cumulative_mortality_pct,0.134095430597102,0.0294602787007624,4.55173666071365,5.32884351268575e-06,0.0763534120489104,0.191837449145293,74888,73685
