scenario,response,group,group_label,term,estimate,std_error,statistic,p_value,conf_low,conf_high,n,stable_plots
baseline,CWD,community,Combined saplings + adults,cumulative_site_CWD_mm,0.000274351531662348,5.11986353496606e-05,5.35857117652975,8.41242300138922e-08,0.000174002464569403,0.000374700598755294,76600,75377
baseline,CWD,community,Combined saplings + adults,disease_cumulative_mortality_pct,0.171256064229742,0.0370848921964218,4.61794693436554,3.88184029861112e-06,0.0985698625421802,0.243942265917304,76600,75377
baseline,CWD,community,Combined saplings + adults,fire_cumulative_mortality_pct,0.100159079923044,0.0345676977183838,2.89747615646896,0.00376284897677697,0.0324065667183387,0.167911593127749,76600,75377
baseline,CWD,community,Combined saplings + adults,full_survey_period_years,-0.100074446843862,0.0333212557205606,-3.00332159397317,0.00267136277251501,-0.165383940018583,-0.03476495366914,76600,75377
baseline,CWD,community,Combined saplings + adults,insect_cumulative_mortality_pct,0.132033394146316,0.0293190769441384,4.50332711353359,6.69963518585523e-06,0.074568151190576,0.189498637102055,76600,75377
mean_monthly_CWD,CWD,community,Combined saplings + adults,disease_cumulative_mortality_pct,0.173614689972863,0.0371010051218366,4.67951446066559,2.88045886247337e-06,0.100896907032744,0.246332472912981,76600,75377
mean_monthly_CWD,CWD,community,Combined saplings + adults,fire_cumulative_mortality_pct,0.102209344595941,0.0345457253708111,2.9586683590758,0.00309065852555372,0.034499897081673,0.169918792110209,76600,75377
mean_monthly_CWD,CWD,community,Combined saplings + adults,full_survey_period_years,-0.0254875689275044,0.0351836829542083,-0.724414466804868,0.468813533623198,-0.0944474100880399,0.0434722722330311,76600,75377
mean_monthly_CWD,CWD,community,Combined saplings + adults,insect_cumulative_mortality_pct,0.135296249868931,0.0292642826672762,4.6232552974969,3.78379847437036e-06,0.0779384034195164,0.192654096318346,76600,75377
mean_monthly_CWD,CWD,community,Combined saplings + adults,mean_monthly_site_CWD_mm,0.0388236844155534,0.00707951381986067,5.48394782515129,4.17247653248441e-08,0.0249478730302927,0.0526994958008141,76600,75377
no_survey_period,CWD,community,Combined saplings + adults,cumulative_site_CWD_mm,0.000275512937980656,5.11957276736262e-05,5.38156112824603,7.40588060084322e-08,0.000175169569938777,0.000375856306022535,76600,75377
no_survey_period,CWD,community,Combined saplings + adults,disease_cumulative_mortality_pct,0.167010113382431,0.0369278530148664,4.52260556050188,6.11744813591461e-06,0.0946317077137086,0.239388519051153,76600,75377
no_survey_period,CWD,community,Combined saplings + adults,fire_cumulative_mortality_pct,0.101169944979582,0.0345745126134079,2.92614233238241,0.00343294642189761,0.0334040746289784,0.168935815330186,76600,75377
no_survey_period,CWD,community,Combined saplings + adults,insect_cumulative_mortality_pct,0.132603174070377,0.0293033098800607,4.52519441022621,6.04305730147034e-06,0.0751688344925667,0.190037513648188,76600,75377
baseline,CWD,saplings,Saplings,cumulative_site_CWD_mm,0.000217896279716769,8.08099904358677e-05,2.69640274106573,0.0070116118615808,5.95078094434949e-05,0.000376284749990042,50463,50031
baseline,CWD,saplings,Saplings,disease_cumulative_mortality_pct,0.00623781649819615,0.0505784416459183,0.12332955099457,0.901846632365392,-0.0928964855589332,0.105372118555325,50463,50031
baseline,CWD,saplings,Saplings,fire_cumulative_mortality_pct,0.00274429505341309,0.0827786000457265,0.0331522283766233,0.973553324525841,-0.159502671712547,0.164991261819373,50463,50031
baseline,CWD,saplings,Saplings,full_survey_period_years,-0.123999933545565,0.0471127288469283,-2.63198368212649,0.0084913771119327,-0.216341400389156,-0.0316584667019753,50463,50031
baseline,CWD,saplings,Saplings,insect_cumulative_mortality_pct,0.194713906363038,0.055360330874062,3.51720994598079,0.000436491657067091,0.0862070488115111,0.303220763914565,50463,50031
mean_monthly_CWD,CWD,saplings,Saplings,disease_cumulative_mortality_pct,0.00865045928975958,0.0505964424561619,0.170969713873749,0.864248265312276,-0.0905191245534804,0.107820043133,50463,50031
