response,predictor,comparison,estimate,std_error,conf_low,conf_high,p_value
temperature,fire_cumulative_mortality_pct,Adults - Saplings,-0.000275367419150773,0.00159371155051307,-0.00339912192181407,0.00284838708351253,0.86282269926166
temperature,insect_cumulative_mortality_pct,Adults - Saplings,-0.00264100673899444,0.00194071437762626,-0.00644490417171479,0.00116289069372591,0.173574579821257
temperature,disease_cumulative_mortality_pct,Adults - Saplings,-0.000818472522521861,0.00220850148456274,-0.0051472461041154,0.00351030105907167,0.71093770028693
temperature,cumulative_site_CWD_mm,Adults - Saplings,-4.85949456101555e-07,2.34451012831091e-06,-5.08130679507119e-06,4.10940788286808e-06,0.835799587548
temperature,full_survey_period_years,Adults - Saplings,0.00206392171580095,0.00322925775753148,-0.00426558531268352,0.00839342874428542,0.522742429866561
precipitation,fire_cumulative_mortality_pct,Adults - Saplings,-0.376628166014631,0.203710962636963,-0.775911861093723,0.0226555290644607,0.0644922025895339
precipitation,insect_cumulative_mortality_pct,Adults - Saplings,-0.0565597913476883,0.109055288675496,-0.270313622101853,0.157194039406476,0.604020091965261
precipitation,disease_cumulative_mortality_pct,Adults - Saplings,-0.306282293980945,0.164331129910432,-0.628379543524126,0.0158149555622364,0.0623587738751023
precipitation,cumulative_site_CWD_mm,Adults - Saplings,-0.000410993631343306,0.000152391821977053,-0.000709689239037578,-0.000112298023649034,0.00700196401872823
precipitation,full_survey_period_years,Adults - Saplings,0.19932326457689,0.193399396395593,-0.179749243938598,0.578395773092377,0.302723303093338
CWD,fire_cumulative_mortality_pct,Adults - Saplings,0.208210577961866,0.184223227668072,-0.152876180013906,0.569297335937638,0.2583984027343
CWD,insect_cumulative_mortality_pct,Adults - Saplings,-0.0937380795834821,0.141504108049373,-0.37109322237722,0.183617063210256,0.507694373239776
CWD,disease_cumulative_mortality_pct,Adults - Saplings,0.286070667501558,0.151856028395813,-0.0115747579239358,0.583716092927052,0.0595987424046685
CWD,cumulative_site_CWD_mm,Adults - Saplings,0.000526830574269899,0.000171794757373009,0.000190104240884713,0.000863556907655086,0.00216698021365366
CWD,full_survey_period_years,Adults - Saplings,-0.113349850848857,0.155235669627732,-0.417619542448614,0.1909198407509,0.465286889148906
