scenario,response,group,n,stable_plots,r_squared,adjusted_r_squared
baseline,CWD,community,76600,75377,0.00228761598443119,0.00222248605362607
condition_prop_80,CWD,community,52564,52562,0.00224484304707212,0.00214992360978838
state_fixed_effects,CWD,community,76600,75377,0.00418066708223091,0.00347814903431709
mean_monthly_CWD,CWD,community,76600,75377,0.00222695399570559,0.00216182010493049
no_survey_period,CWD,community,76600,75377,0.00218720972248241,0.00213510121460181
baseline,CWD,saplings,50463,50031,0.000756101636045661,0.000657082283095245
common_histories,CWD,saplings,48294,47936,0.000914676858892087,0.000811226175167379
condition_prop_80,CWD,saplings,35675,35673,0.000723309285570821,0.000583232932054645
state_fixed_effects,CWD,saplings,50463,50031,0.00423225048962446,0.00316552579367224
mean_monthly_CWD,CWD,saplings,50463,50031,0.000728258707270476,0.000629236595245053
no_survey_period,CWD,saplings,50463,50031,0.000634399425150357,0.000555175864916047
baseline,CWD,trees,73981,72893,0.00346840456141425,0.00340104859011048
common_histories,CWD,trees,48294,47936,0.00218554819030934,0.00208222909945766
condition_prop_80,CWD,trees,50936,50934,0.00352542150057739,0.00342759364091705
state_fixed_effects,CWD,trees,73981,72893,0.0052457770171567,0.00451914865851333
mean_monthly_CWD,CWD,trees,73981,72893,0.00337464870633052,0.0033072863980308
no_survey_period,CWD,trees,73981,72893,0.00346605226324632,0.00341216808741984
baseline,precipitation,community,76600,75377,0.00212898245337157,0.00206384216708622
condition_prop_80,precipitation,community,52564,52562,0.00254007629007963,0.00244518493921886
state_fixed_effects,precipitation,community,76600,75377,0.00597785205852793,0.00527660186597667
mean_monthly_CWD,precipitation,community,76600,75377,0.00189628075346887,0.00183112527658758
no_survey_period,precipitation,community,76600,75377,0.00152136668448318,0.00146922340446143
baseline,precipitation,saplings,50463,50031,0.00121825189348973,0.00111927833698555
common_histories,precipitation,saplings,48294,47936,0.00124795884774464,0.00114454267383479
condition_prop_80,precipitation,saplings,35675,35673,0.00165539569511828,0.00151544999937348
state_fixed_effects,precipitation,saplings,50463,50031,0.00776091620913146,0.00669797162643215
mean_monthly_CWD,precipitation,saplings,50463,50031,0.000959310092785796,0.000860310876630743
no_survey_period,precipitation,saplings,50463,50031,0.000947237177338631,0.000868038416957817
baseline,precipitation,trees,73981,72893,0.00335604823159155,0.00328868466607823
common_histories,precipitation,trees,48294,47936,0.0022135241851792,0.00211020799111294
condition_prop_80,precipitation,trees,50936,50934,0.00363184339762749,0.00353402598582664
state_fixed_effects,precipitation,trees,73981,72893,0.00742751577553648,0.00670248109020089
mean_monthly_CWD,precipitation,trees,73981,72893,0.00314620762928507,0.00307882988056107
no_survey_period,precipitation,trees,73981,72893,0.00264795823313822,0.00259402982166601
baseline,temperature,community,76600,75377,0.00228593537617568,0.00222080533566171
condition_prop_80,temperature,community,52564,52562,0.00289332563482716,0.00279846788963478
state_fixed_effects,temperature,community,76600,75377,0.00930756782016867,0.00860866663344573
mean_monthly_CWD,temperature,community,76600,75377,0.00218592601043626,0.00212078944138439
no_survey_period,temperature,community,76600,75377,0.0007674690941833,0.000715286443571328
baseline,temperature,saplings,50463,50031,0.00128061657886555,0.00118164920234487
common_histories,temperature,saplings,48294,47936,0.00127822137898111,0.00117480833861705
condition_prop_80,temperature,saplings,35675,35673,0.00198227124888895,0.00184237137382226
state_fixed_effects,temperature,saplings,50463,50031,0.00856414319822278,0.00750205907928736
mean_monthly_CWD,temperature,saplings,50463,50031,0.00105916410544408,0.000960174784250367
no_survey_period,temperature,saplings,50463,50031,0.000512978541470545,0.00043374535573526
baseline,temperature,trees,73981,72893,0.00336703422486261,0.00329967140189702
common_histories,temperature,trees,48294,47936,0.00280822004628036,0.00270496543023147
condition_prop_80,temperature,trees,50936,50934,0.00355831978913345,0.00346049515922853
state_fixed_effects,temperature,trees,73981,72893,0.0106024192983006,0.00987970375359526
mean_monthly_CWD,temperature,trees,73981,72893,0.00329069152043921,0.00322332353743959
no_survey_period,temperature,trees,73981,72893,0.000537622347009694,0.000483579826319081
