response,group,group_label,term,estimate_baseline,estimate_common_histories,estimate_condition_prop_80,estimate_state_fixed_effects,estimate_mean_monthly_CWD,estimate_no_survey_period,conf_low_baseline,conf_low_common_histories,conf_low_condition_prop_80,conf_low_state_fixed_effects,conf_low_mean_monthly_CWD,conf_low_no_survey_period,conf_high_baseline,conf_high_common_histories,conf_high_condition_prop_80,conf_high_state_fixed_effects,conf_high_mean_monthly_CWD,conf_high_no_survey_period,p_value_baseline,p_value_common_histories,p_value_condition_prop_80,p_value_state_fixed_effects,p_value_mean_monthly_CWD,p_value_no_survey_period,n_baseline,n_common_histories,n_condition_prop_80,n_state_fixed_effects,n_mean_monthly_CWD,n_no_survey_period,sign_consistent
CWD,community,Combined saplings + adults,disease_cumulative_mortality_pct,0.171256026918771,,0.124803362586029,0.170344712523767,0.173614652096178,0.167010075742846,0.0985698278459318,,0.0498937685556372,0.095733192715357,0.100896871781796,0.0946316726584903,0.243942225991611,,0.19971295661642,0.244956232332178,0.24633243241056,0.239388478827201,3.88185600337198e-06,,0.00109348906062424,7.65777759848315e-06,2.88047082727139e-06,6.11747292914902e-06,76600,,52564,76600,76600,76600,TRUE
CWD,community,Combined saplings + adults,fire_cumulative_mortality_pct,0.100159059812902,,0.113077761733013,0.103856296358433,0.102209323681655,0.101169924947676,0.0324065542170663,,0.0342316902383287,0.0354910100402235,0.0344998837776055,0.0334040622137117,0.167911565408738,,0.191923833227698,0.172221582676643,0.169918763585704,0.168935787681641,0.00376285205173948,,0.0049411631792132,0.00290698119455475,0.00309066126164398,0.00343294918589185,76600,,52564,76600,76600,76600,TRUE
CWD,community,Combined saplings + adults,insect_cumulative_mortality_pct,0.132033281656646,,0.119669247564477,0.143811818250604,0.135296136370883,0.132603061624805,0.0745680452698052,,0.0519737308431173,0.0850557142807747,0.0779382964958121,0.0751687286290202,0.189498518043487,,0.187364764285837,0.202567922220433,0.192653976245953,0.190037394620591,6.69973992898674e-06,,0.000531008367170545,1.6112381441099e-06,3.78385956340676e-06,6.04315210832061e-06,76600,,52564,76600,76600,76600,TRUE
CWD,saplings,Saplings,disease_cumulative_mortality_pct,0.00623780085964039,0.0263419765329863,-0.0340242326945479,-0.00699022446825623,0.00865044246082245,-0.000154755627752187,-0.0928964962882183,-0.076534241297493,-0.153140025488406,-0.108596286033582,-0.0905191364373851,-0.0989811706688623,0.105372098007499,0.129218194363466,0.0850915600993103,0.0946158370970691,0.10782002135903,0.0986716594133579,0.90184687236019,0.615760354930397,0.57557635467482,0.892736148565077,0.864248520142203,0.99755111074059,50463,48294,35675,50463,50463,50463,FALSE
CWD,saplings,Saplings,fire_cumulative_mortality_pct,0.00274437434640876,0.0757172509707607,-0.0231934638398278,-0.00202167734749523,0.00484112154393446,0.00354189021608786,-0.159502568343601,-0.0885952736293739,-0.224342409002223,-0.164637276936825,-0.157302600650968,-0.158751873783689,0.164991317036418,0.240029775570895,0.177955481322567,0.160593922241835,0.166984843738837,0.165835654215865,0.973552556738821,0.366425126951907,0.821201807374312,0.980559694324396,0.953334659602555,0.965880924426103,50463,48294,35675,50463,50463,50463,FALSE
CWD,saplings,Saplings,insect_cumulative_mortality_pct,0.194713884823114,0.198426841940703,0.176218371919247,0.216178808258704,0.196867874775506,0.19492295252014,0.0862070342778742,0.0892862966646396,0.0513925419323937,0.103347674703516,0.0883179088334062,0.0864601586127044,0.303220735368354,0.307567387216767,0.3010442019061,0.329009941813892,0.305417840717606,0.303385746427576,0.000436491923382891,0.000366335201467488,0.00566034592005235,0.000173340161940481,0.000378747865917486,0.000428009375574989,50463,48294,35675,50463,50463,50463,TRUE
CWD,trees,Adults,disease_cumulative_mortality_pct,0.189783924414325,0.170220354489214,0.159901842714351,0.188584623276039,0.191395945015896,0.190303960761377,0.128063794959154,0.107991809747815,0.101303788744582,0.125273051276599,0.129645307582742,0.128844112239283,0.251504053869495,0.232448899230613,0.21849989668412,0.251896195275479,0.25314658244905,0.251763809283472,1.68010998606179e-09,8.29428415801409e-08,8.90877319794796e-08,5.29900169484073e-09,1.24588089143263e-09,1.29395216727899e-09,73981,48294,50936,73981,73981,73981,TRUE
CWD,trees,Adults,fire_cumulative_mortality_pct,0.132605867037333,0.126433640197801,0.140784040785463,0.135706011575498,0.134296665424992,0.132481905744041,0.0799589185635104,0.00799880251461031,0.0818321022452855,0.0824782286739187,0.08167199929832,0.0798218457817986,0.185252815511156,0.244868477880992,0.199735979325641,0.188933794477077,0.186921331551664,0.185141965706284,7.95909979468238e-07,0.0364090593458377,2.86587583894234e-06,5.83388238735417e-07,5.69110644134568e-07,8.20084405797708e-07,73981,48294,50936,73981,73981,73981,TRUE
CWD,trees,Adults,insect_cumulative_mortality_pct,0.100562237218777,0.0814344939303925,0.0892856610811648,0.0852017818023489,0.103035181635161,0.100503748111276,0.0566479762644302,0.0196193405719628,0.0396065189410627,0.040267942685748,0.0591745787695992,0.0566019301546323,0.144476498173124,0.143249647288822,0.138964803221267,0.13013562091895,0.146895784500723,0.144405566067919,7.1892608400397e-06,0.00982313595650469,0.000427674208668607,0.000202176346198484,4.1448946356253e-06,7.23456644854085e-06,73981,48294,50936,73981,73981,73981,TRUE
precipitation,community,Combined saplings + adults,disease_cumulative_mortality_pct,-0.0675388270614023,,-0.0468381327730398,-0.0341294775694873,-0.0703822150255784,-0.0553733921690404,-0.135927101954551,,-0.116674767614184,-0.104598220830492,-0.138783493111722,-0.123579937782356,0.000849447831746189,,0.0229985020681043,0.0363392656915172,-0.00198093693943457,0.012833153444275,0.0529142645209944,,0.188669716711367,0.342488175542263,0.0437243150227856,0.111564365543755,76600,,52564,76600,76600,76600,TRUE
